doc_index,register,topic
0,formal,2
1,formal,1
2,formal,0
3,formal,1
4,formal,1
5,formal,1
6,formal,1
7,formal,1
8,formal,4
9,formal,-1
10,formal,-1
11,formal,0
12,formal,0
13,formal,-1
14,formal,-1
15,formal,2
16,formal,2
17,formal,2
18,formal,1
19,formal,0
20,formal,0
21,formal,0
22,formal,4
23,formal,-1
24,formal,2
25,formal,2
26,formal,-1
27,formal,4
28,formal,0
29,formal,1
30,formal,-1
31,formal,1
32,formal,0
33,formal,5
34,formal,2
35,formal,4
36,formal,0
37,formal,-1
38,formal,2
39,formal,0
40,formal,-1
41,formal,1
42,formal,-1
43,formal,2
44,formal,3
45,formal,3
46,formal,1
47,formal,1
48,formal,0
49,formal,1
50,formal,0
51,formal,0
52,formal,-1
53,formal,2
54,formal,0
55,formal,1
56,formal,1
57,formal,-1
58,formal,0
59,formal,0
60,formal,0
61,formal,0
62,formal,0
63,formal,0
64,formal,0
65,formal,4
66,formal,1
67,formal,2
68,formal,1
69,formal,5
70,formal,1
71,formal,0
72,formal,4
73,formal,5
74,formal,-1
75,formal,3
76,formal,6
77,formal,1
78,formal,2
79,formal,0
80,formal,3
81,formal,1
82,formal,-1
83,formal,4
84,formal,2
85,formal,2
86,formal,-1
87,formal,1
88,formal,0
89,formal,0
90,formal,2
91,formal,5
92,formal,2
93,formal,6
94,formal,-1
95,formal,4
96,formal,0
97,formal,3
98,formal,-1
99,formal,0
100,formal,1
101,formal,3
102,formal,1
103,formal,-1
104,formal,1
105,formal,1
106,formal,6
107,formal,3
108,formal,0
109,formal,-1
110,formal,0
111,formal,2
112,formal,0
113,formal,0
114,formal,0
115,formal,1
116,formal,2
117,formal,0
118,formal,-1
119,formal,0
120,formal,2
121,formal,-1
122,formal,5
123,formal,6
124,formal,1
125,formal,3
126,formal,0
127,formal,1
128,formal,1
129,formal,0
130,formal,0
131,formal,0
132,formal,0
133,formal,2
134,formal,0
135,formal,0
136,formal,2
137,formal,1
138,formal,2
139,formal,0
140,formal,1
141,formal,1
142,formal,0
143,formal,-1
144,formal,0
145,formal,5
146,formal,6
147,formal,-1
148,formal,4
149,formal,-1
150,formal,1
151,formal,3
152,formal,-1
153,formal,1
154,formal,6
155,formal,2
156,formal,-1
157,formal,0
158,formal,2
159,formal,6
160,formal,3
161,formal,5
162,formal,0
163,formal,2
164,formal,0
165,formal,2
166,formal,-1
167,formal,1
168,formal,1
169,formal,-1
