doc_index,register,pca1,pca2,explained_var_pc1,explained_var_pc2
0,formal,0.04053947,-0.13863969,0.07960813,0.064204134
1,formal,-0.10472202,-0.20165055,0.07960813,0.064204134
2,formal,0.29790032,0.19376817,0.07960813,0.064204134
3,formal,0.11157036,0.27278122,0.07960813,0.064204134
4,formal,0.09825357,-0.15939462,0.07960813,0.064204134
5,formal,0.38079882,0.06756758,0.07960813,0.064204134
6,formal,0.088269405,-0.03402651,0.07960813,0.064204134
7,formal,0.048226226,-0.08981415,0.07960813,0.064204134
8,formal,0.45418426,0.06985982,0.07960813,0.064204134
9,formal,-0.19890921,-0.14404483,0.07960813,0.064204134
10,formal,-0.005085951,-0.16484612,0.07960813,0.064204134
11,formal,-0.13209656,0.1335384,0.07960813,0.064204134
12,formal,-0.15530773,0.25095516,0.07960813,0.064204134
13,formal,-0.3874251,0.21505867,0.07960813,0.064204134
14,formal,-0.08403839,-0.5366379,0.07960813,0.064204134
15,formal,-0.17045468,-0.24974394,0.07960813,0.064204134
16,formal,-0.1350458,-0.33808738,0.07960813,0.064204134
17,formal,-0.100783326,-0.09301762,0.07960813,0.064204134
18,formal,-0.20528068,-0.35811067,0.07960813,0.064204134
19,formal,0.41528782,0.21781184,0.07960813,0.064204134
20,formal,-0.25764716,0.13809216,0.07960813,0.064204134
21,formal,-0.4945311,0.055138554,0.07960813,0.064204134
22,formal,-0.1841307,-0.0027164605,0.07960813,0.064204134
23,formal,0.08810847,-0.16760777,0.07960813,0.064204134
24,formal,-0.2505182,-0.34433776,0.07960813,0.064204134
25,formal,0.03748206,-0.23123263,0.07960813,0.064204134
26,formal,0.09198819,-0.34949228,0.07960813,0.064204134
27,formal,0.06410271,0.013668842,0.07960813,0.064204134
28,formal,-0.17490649,-0.03069376,0.07960813,0.064204134
29,formal,-0.08786506,0.17293474,0.07960813,0.064204134
30,formal,0.4943242,0.06414178,0.07960813,0.064204134
31,formal,0.20721659,-0.0028894818,0.07960813,0.064204134
32,formal,0.37411088,0.001768716,0.07960813,0.064204134
33,formal,0.111570366,0.27278128,0.07960813,0.064204134
34,formal,0.08197522,0.12668295,0.07960813,0.064204134
35,formal,0.1962438,-0.219998,0.07960813,0.064204134
36,formal,-0.18888238,-0.06658898,0.07960813,0.064204134
37,formal,-0.19521417,0.050846674,0.07960813,0.064204134
38,formal,0.09879059,-0.20476495,0.07960813,0.064204134
39,formal,-0.21047634,-0.260493,0.07960813,0.064204134
40,formal,-0.33272928,0.0716566,0.07960813,0.064204134
41,formal,-0.23797102,0.025935099,0.07960813,0.064204134
42,formal,0.24646308,0.05517029,0.07960813,0.064204134
43,formal,-0.09552005,-0.0031658597,0.07960813,0.064204134
44,formal,0.103421696,-0.28221297,0.07960813,0.064204134
45,formal,0.101358816,-0.2516127,0.07960813,0.064204134
46,formal,-0.027517645,-0.013609371,0.07960813,0.064204134
47,formal,0.47089824,0.22072648,0.07960813,0.064204134
48,formal,0.32810998,0.21680212,0.07960813,0.064204134
49,formal,-0.13017231,0.0906008,0.07960813,0.064204134
50,formal,0.4912563,0.13952796,0.07960813,0.064204134
51,formal,-0.46352634,0.32876682,0.07960813,0.064204134
52,formal,-0.14232892,0.1871303,0.07960813,0.064204134
53,formal,0.3018416,-0.074766256,0.07960813,0.064204134
54,formal,-0.103090756,-0.53720766,0.07960813,0.064204134
55,formal,-0.3162165,0.24213244,0.07960813,0.064204134
56,formal,-0.12770443,-0.07323224,0.07960813,0.064204134
57,formal,0.23113579,0.19656824,0.07960813,0.064204134
58,formal,-0.18072233,0.027328437,0.07960813,0.064204134
59,formal,-0.23140042,0.20767732,0.07960813,0.064204134
60,formal,-0.16351436,0.2803228,0.07960813,0.064204134
61,formal,-0.48589003,0.21953675,0.07960813,0.064204134
62,formal,-0.12749134,0.04508271,0.07960813,0.064204134
63,formal,-0.29779294,0.1394251,0.07960813,0.064204134
64,formal,-0.2783895,0.10025516,0.07960813,0.064204134
65,formal,-0.17970482,0.33701885,0.07960813,0.064204134
66,formal,0.029163826,-0.04414841,0.07960813,0.064204134
67,formal,0.10639271,-0.19019683,0.07960813,0.064204134
68,formal,0.17259663,-0.22163288,0.07960813,0.064204134
69,formal,0.42765355,0.07541392,0.07960813,0.064204134
70,formal,0.07699654,0.06673593,0.07960813,0.064204134
71,formal,0.350488,0.23440792,0.07960813,0.064204134
72,formal,-0.0083436575,0.13206547,0.07960813,0.064204134
73,formal,0.027136777,-0.26336867,0.07960813,0.064204134
74,formal,0.013576627,0.146507,0.07960813,0.064204134
75,formal,0.11887873,-0.14823925,0.07960813,0.064204134
76,formal,-0.0255616,0.12490375,0.07960813,0.064204134
77,formal,-0.17762427,-0.31309345,0.07960813,0.064204134
78,formal,0.4269023,0.13599388,0.07960813,0.064204134
79,formal,0.09117297,-0.3565681,0.07960813,0.064204134
80,formal,0.05985352,-0.008400611,0.07960813,0.064204134
81,formal,0.27357474,-0.06479208,0.07960813,0.064204134
82,formal,0.46457085,0.038376335,0.07960813,0.064204134
83,formal,0.25967073,0.12310104,0.07960813,0.064204134
84,formal,-0.12256511,-0.24702027,0.07960813,0.064204134
85,formal,-0.21395487,-0.054320697,0.07960813,0.064204134
86,formal,-0.13796544,-0.2165841,0.07960813,0.064204134
87,formal,-0.10085756,-0.10957407,0.07960813,0.064204134
88,formal,0.34445518,0.17236076,0.07960813,0.064204134
89,formal,-0.24003637,0.33065882,0.07960813,0.064204134
90,formal,-0.23027435,0.36759892,0.07960813,0.064204134
91,formal,0.2158746,-0.20105515,0.07960813,0.064204134
92,formal,0.09044744,0.25754288,0.07960813,0.064204134
93,formal,0.100763686,-0.3162566,0.07960813,0.064204134
94,formal,-0.016861081,-0.07225743,0.07960813,0.064204134
95,formal,0.0027662525,-0.18105708,0.07960813,0.064204134
96,formal,0.02701924,-0.29575518,0.07960813,0.064204134
97,formal,-0.09430494,0.23102453,0.07960813,0.064204134
98,formal,0.23449923,-0.063591495,0.07960813,0.064204134
99,formal,0.12883618,0.22304489,0.07960813,0.064204134
100,formal,-0.17653364,0.09944385,0.07960813,0.064204134
101,formal,0.41485003,0.106529914,0.07960813,0.064204134
102,formal,0.026509328,0.041959636,0.07960813,0.064204134
103,formal,0.33078048,0.015146792,0.07960813,0.064204134
104,formal,-0.10350295,-0.5191946,0.07960813,0.064204134
105,formal,0.37844405,0.20607811,0.07960813,0.064204134
106,formal,0.3078912,0.19398503,0.07960813,0.064204134
107,formal,-0.07683438,-0.13175687,0.07960813,0.064204134
108,formal,-0.011785156,0.045213036,0.07960813,0.064204134
109,formal,-0.30929297,0.2444482,0.07960813,0.064204134
110,formal,-0.25268993,-0.08951563,0.07960813,0.064204134
111,formal,-0.16338332,0.1754966,0.07960813,0.064204134
112,formal,0.13715371,-0.29982275,0.07960813,0.064204134
113,formal,-0.29596958,0.22592466,0.07960813,0.064204134
114,formal,-0.15115319,0.19681759,0.07960813,0.064204134
115,formal,-0.35083166,0.07343309,0.07960813,0.064204134
116,formal,0.23068526,-0.062012073,0.07960813,0.064204134
117,formal,-0.037040576,-0.06469173,0.07960813,0.064204134
118,formal,-0.2972821,0.292096,0.07960813,0.064204134
119,formal,-0.035940655,-0.4227953,0.07960813,0.064204134
120,formal,-0.024686858,0.2379977,0.07960813,0.064204134
121,formal,0.0027887195,-0.21114922,0.07960813,0.064204134
122,formal,-0.08790376,-0.25185144,0.07960813,0.064204134
123,formal,0.007245226,0.059204664,0.07960813,0.064204134
124,formal,-0.32991502,-0.0074226214,0.07960813,0.064204134
125,formal,0.02180726,-0.01279023,0.07960813,0.064204134
126,formal,0.31147406,-0.10807028,0.07960813,0.064204134
127,formal,0.012228931,0.19022135,0.07960813,0.064204134
128,formal,0.38634273,0.15311499,0.07960813,0.064204134
129,formal,0.16899267,0.12632577,0.07960813,0.064204134
130,formal,-0.10097035,0.16822046,0.07960813,0.064204134
131,formal,-0.3753407,0.13717985,0.07960813,0.064204134
132,formal,0.10065044,0.10228975,0.07960813,0.064204134
133,formal,-0.15064465,0.3568172,0.07960813,0.064204134
134,formal,-0.030219821,-0.39695323,0.07960813,0.064204134
135,formal,-0.44262445,0.23839284,0.07960813,0.064204134
136,formal,-0.31934872,-0.018189987,0.07960813,0.064204134
137,formal,-0.13961975,-0.47590035,0.07960813,0.064204134
138,formal,0.34030545,0.2695317,0.07960813,0.064204134
