doc_index,register,n_tokens,n_sents,pos_counts_json,n_unique_lemmas,top_deprel_json
0,formal,146,8,"{""ADJ"": 15, ""ADP"": 27, ""ADV"": 1, ""AUX"": 3, ""CCONJ"": 6, ""DET"": 6, ""NOUN"": 51, ""NUM"": 1, ""PART"": 3, ""PRON"": 3, ""PUNCT"": 11, ""SCONJ"": 4, ""VERB"": 15}",90,"{""case"": 23, ""nmod"": 14, ""amod"": 12, ""punct"": 11, ""mark"": 10, ""nsubj"": 8, ""ROOT"": 8, ""fixed"": 7, ""obj"": 7, ""obl"": 7, ""conj"": 6, ""det"": 6}"
1,formal,218,12,"{""ADJ"": 21, ""ADP"": 34, ""ADV"": 7, ""AUX"": 6, ""CCONJ"": 10, ""DET"": 6, ""NOUN"": 69, ""NUM"": 7, ""PART"": 1, ""PRON"": 12, ""PROPN"": 2, ""PUNCT"": 18, ""SCONJ"": 4, ""VERB"": 21}",107,"{""case"": 32, ""nmod"": 18, ""punct"": 17, ""amod"": 16, ""nsubj"": 15, ""obl"": 15, ""conj"": 13, ""ROOT"": 12, ""cc"": 11, ""nmod:poss"": 8, ""mark"": 7, ""obj"": 7}"
2,formal,255,11,"{""ADJ"": 12, ""ADP"": 38, ""ADV"": 16, ""AUX"": 22, ""CCONJ"": 11, ""DET"": 9, ""NOUN"": 56, ""NUM"": 2, ""PART"": 7, ""PRON"": 29, ""PUNCT"": 16, ""SCONJ"": 9, ""VERB"": 28}",99,"{""case"": 32, ""nsubj"": 24, ""obl"": 22, ""aux"": 17, ""punct"": 16, ""advmod"": 16, ""mark"": 16, ""obj"": 12, ""ROOT"": 11, ""amod"": 11, ""cc"": 11, ""det"": 10}"
3,formal,105,5,"{""ADJ"": 11, ""ADP"": 14, ""ADV"": 3, ""AUX"": 6, ""CCONJ"": 8, ""DET"": 5, ""NOUN"": 30, ""NUM"": 2, ""PART"": 1, ""PRON"": 6, ""PUNCT"": 7, ""SCONJ"": 4, ""VERB"": 8}",68,"{""case"": 14, ""cc"": 10, ""obl"": 9, ""amod"": 8, ""nsubj"": 8, ""punct"": 7, ""conj"": 7, ""obj"": 7, ""advmod"": 5, ""ROOT"": 5, ""det"": 5, ""nmod:poss"": 4}"
4,formal,134,6,"{""ADJ"": 11, ""ADP"": 19, ""ADV"": 4, ""AUX"": 1, ""CCONJ"": 9, ""DET"": 9, ""NOUN"": 40, ""NUM"": 3, ""PART"": 1, ""PRON"": 7, ""PUNCT"": 12, ""SCONJ"": 3, ""SYM"": 1, ""VERB"": 14}",69,"{""case"": 18, ""punct"": 12, ""obl"": 11, ""amod"": 10, ""det"": 9, ""nmod"": 8, ""cc"": 8, ""conj"": 8, ""nsubj"": 7, ""ROOT"": 6, ""nsubj:pass"": 6, ""mark"": 4}"
5,formal,104,7,"{""ADJ"": 6, ""ADP"": 13, ""ADV"": 6, ""AUX"": 6, ""CCONJ"": 2, ""DET"": 7, ""NOUN"": 22, ""NUM"": 2, ""PART"": 1, ""PRON"": 11, ""PROPN"": 7, ""PUNCT"": 9, ""SCONJ"": 1, ""VERB"": 11}",51,"{""nsubj"": 11, ""det"": 9, ""amod"": 9, ""case"": 9, ""punct"": 9, ""obj"": 8, ""ROOT"": 7, ""advmod"": 7, ""obl"": 6, ""nmod"": 6, ""nmod:poss"": 4, ""mark"": 3}"
6,formal,255,12,"{""ADJ"": 26, ""ADP"": 36, ""ADV"": 20, ""AUX"": 11, ""CCONJ"": 10, ""DET"": 20, ""NOUN"": 61, ""NUM"": 6, ""PART"": 4, ""PRON"": 16, ""PROPN"": 2, ""PUNCT"": 18, ""SCONJ"": 4, ""VERB"": 21}",117,"{""case"": 29, ""amod"": 22, ""det"": 21, ""punct"": 18, ""obl"": 18, ""advmod"": 17, ""nsubj"": 15, ""nmod"": 13, ""ROOT"": 12, ""mark"": 12, ""cc"": 10, ""conj"": 9}"
7,formal,163,8,"{""ADJ"": 28, ""ADP"": 23, ""ADV"": 8, ""AUX"": 4, ""CCONJ"": 11, ""DET"": 10, ""NOUN"": 46, ""PART"": 2, ""PRON"": 2, ""PROPN"": 1, ""PUNCT"": 10, ""SCONJ"": 6, ""VERB"": 12}",87,"{""case"": 21, ""amod"": 20, ""conj"": 12, ""det"": 11, ""cc"": 11, ""obl"": 11, ""nsubj"": 10, ""punct"": 10, ""mark"": 9, ""ROOT"": 8, ""advmod"": 8, ""nmod"": 7}"
8,formal,226,11,"{""ADJ"": 19, ""ADP"": 38, ""ADV"": 10, ""AUX"": 11, ""CCONJ"": 9, ""DET"": 17, ""NOUN"": 57, ""NUM"": 2, ""PART"": 8, ""PRON"": 8, ""PROPN"": 4, ""PUNCT"": 14, ""SCONJ"": 5, ""VERB"": 24}",112,"{""case"": 28, ""mark"": 20, ""amod"": 19, ""obl"": 18, ""det"": 17, ""punct"": 14, ""nmod"": 13, ""nsubj"": 13, ""ROOT"": 11, ""obj"": 11, ""aux"": 8, ""cc"": 8}"
9,formal,130,9,"{""ADJ"": 6, ""ADP"": 19, ""ADV"": 5, ""AUX"": 5, ""CCONJ"": 6, ""DET"": 5, ""NOUN"": 43, ""NUM"": 2, ""PRON"": 6, ""PROPN"": 9, ""PUNCT"": 14, ""SCONJ"": 1, ""VERB"": 9}",76,"{""case"": 17, ""punct"": 15, ""nmod"": 13, ""nsubj"": 10, ""conj"": 10, ""ROOT"": 9, ""amod"": 6, ""cc"": 6, ""obl"": 6, ""obj"": 6, ""cop"": 5, ""det"": 5}"
