doc_index,register,char_count,word_count,rough_syllable_count_sv,textstat_flesch_reading_ease,textstat_flesch_kincaid_grade,textstat_gunning_fog,textstat_smog_index
0,formal,1023,135,303,30.533541666666707,13.192731481481484,16.824074074074076,14.90622815163357
1,formal,1468,199,432,35.002375513933345,12.871484696208316,16.080584741891276,14.554592549557764
2,formal,1608,239,490,46.02365918600228,12.237611259033859,15.050741726892355,13.747043046817236
3,formal,729,98,226,23.78385714285716,14.811142857142862,17.63591836734694,15.6451
4,formal,933,120,291,20.155000000000058,15.416666666666668,18.333333333333332,16.11434528070225
5,formal,634,95,178,50.061008771929835,10.21026315789474,13.491228070175438,12.745084868956482
6,formal,1611,237,488,35.756237054085176,13.624541618718833,16.550671269658615,14.937675812826573
7,formal,1130,152,368,26.698684210526324,14.255526315789478,17.863157894736844,15.742502247213078
8,formal,1440,212,443,54.02220125786164,10.113207547169814,12.915723270440253,12.311054993355175
9,formal,817,116,235,42.808218390804626,12.091379310344827,14.629885057471265,13.5591
10,formal,1069,124,320,12.350887096774244,15.387258064516129,19.748387096774195,16.218646115125612
11,formal,2361,328,712,38.076378986866786,14.216463414634148,16.92157598499062,14.985893962826673
12,formal,1346,207,400,57.02959866220738,9.260579710144928,12.746042363433668,12.230961643895458
13,formal,706,101,207,36.39734653465351,13.200871287128713,16.000792079207923,14.554592549557764
14,formal,2144,311,626,45.668473561986445,11.181773847802788,13.85644873168989,13.023866798666859
15,formal,1640,214,500,38.75395320197046,11.456133004926112,14.272906403940887,13.140968706690074
16,formal,1461,226,441,58.57314896755162,9.768274336283188,11.95811209439528,11.37473899888905
17,formal,1728,239,524,32.74192307692309,13.164188034188033,15.747008547008546,14.332717204346928
18,formal,794,126,237,61.665000000000006,9.130000000000003,11.326984126984128,10.914260884657427
19,formal,958,143,301,38.88332750582751,13.756748251748252,16.52634032634033,14.790194502661404
20,formal,649,103,199,39.42496359223304,14.15735436893204,18.066990291262137,15.903189008614273
21,formal,382,52,118,21.668589743589763,14.543076923076928,16.933333333333334,15.021129683784007
