doc_index,register,n_tokens,n_sents,pos_counts_json,n_unique_lemmas,top_deprel_json
0,informal,24,3,"{""ADP"": 4, ""DET"": 3, ""NOUN"": 8, ""PRON"": 2, ""PUNCT"": 4, ""SPACE"": 1, ""VERB"": 2}",15,"{""case"": 4, ""punct"": 4, ""obj"": 3, ""ROOT"": 3, ""det"": 3, ""nmod"": 3, ""nsubj"": 1, ""obl"": 1, ""amod"": 1, ""dep"": 1}"
1,informal,136,6,"{""ADJ"": 14, ""ADP"": 9, ""ADV"": 15, ""AUX"": 8, ""CCONJ"": 7, ""DET"": 6, ""NOUN"": 19, ""PART"": 1, ""PRON"": 18, ""PROPN"": 3, ""PUNCT"": 15, ""SCONJ"": 5, ""SPACE"": 1, ""VERB"": 15}",78,"{""nsubj"": 18, ""punct"": 15, ""advmod"": 12, ""conj"": 8, ""cc"": 7, ""case"": 7, ""mark"": 7, ""ROOT"": 6, ""cop"": 6, ""obj"": 6, ""advcl"": 6, ""amod"": 5}"
2,informal,64,5,"{""ADJ"": 12, ""ADP"": 5, ""ADV"": 2, ""AUX"": 2, ""CCONJ"": 5, ""DET"": 2, ""NOUN"": 13, ""PRON"": 6, ""PROPN"": 1, ""PUNCT"": 8, ""SCONJ"": 1, ""SPACE"": 1, ""SYM"": 1, ""VERB"": 5}",36,"{""punct"": 10, ""conj"": 7, ""cc"": 6, ""ROOT"": 5, ""nsubj"": 5, ""case"": 5, ""obj"": 5, ""amod"": 4, ""acl:relcl"": 3, ""obl"": 3, ""det"": 2, ""cop"": 2}"
3,informal,56,6,"{""ADJ"": 10, ""ADP"": 4, ""ADV"": 2, ""AUX"": 2, ""CCONJ"": 4, ""DET"": 1, ""NOUN"": 9, ""PART"": 1, ""PRON"": 6, ""PROPN"": 1, ""PUNCT"": 10, ""SCONJ"": 1, ""SPACE"": 1, ""VERB"": 4}",34,"{""punct"": 10, ""ROOT"": 6, ""conj"": 6, ""nsubj"": 4, ""cc"": 4, ""case"": 4, ""acl:relcl"": 3, ""obj"": 3, ""advmod"": 3, ""cop"": 2, ""obl"": 2, ""nmod:poss"": 2}"
4,informal,49,5,"{""ADJ"": 8, ""ADP"": 3, ""ADV"": 1, ""AUX"": 2, ""CCONJ"": 4, ""DET"": 2, ""NOUN"": 9, ""PRON"": 5, ""PROPN"": 1, ""PUNCT"": 8, ""SCONJ"": 1, ""SPACE"": 1, ""VERB"": 4}",31,"{""punct"": 8, ""ROOT"": 5, ""conj"": 5, ""nsubj"": 4, ""cc"": 4, ""acl:relcl"": 3, ""case"": 3, ""obj"": 3, ""det"": 2, ""cop"": 2, ""obl"": 2, ""amod"": 2}"
5,informal,42,4,"{""ADJ"": 1, ""ADP"": 5, ""ADV"": 3, ""AUX"": 3, ""CCONJ"": 1, ""DET"": 1, ""NOUN"": 4, ""PART"": 1, ""PRON"": 9, ""PROPN"": 2, ""PUNCT"": 5, ""SCONJ"": 1, ""SPACE"": 1, ""VERB"": 5}",31,"{""obl"": 5, ""nsubj"": 5, ""punct"": 5, ""ROOT"": 4, ""case"": 4, ""advmod"": 4, ""cc"": 1, ""conj"": 1, ""advcl"": 1, ""mark"": 1, ""aux"": 1, ""ccomp"": 1}"
6,informal,33,3,"{""ADJ"": 1, ""ADP"": 3, ""ADV"": 4, ""AUX"": 2, ""CCONJ"": 1, ""NOUN"": 3, ""PRON"": 5, ""PROPN"": 2, ""PUNCT"": 5, ""SCONJ"": 1, ""SPACE"": 1, ""VERB"": 5}",25,"{""punct"": 5, ""nsubj"": 4, ""advmod"": 4, ""ROOT"": 3, ""case"": 3, ""obl"": 3, ""cc"": 1, ""conj"": 1, ""advcl"": 1, ""mark"": 1, ""aux"": 1, ""ccomp"": 1}"
7,informal,32,4,"{""ADJ"": 1, ""ADP"": 3, ""ADV"": 3, ""AUX"": 2, ""CCONJ"": 1, ""NOUN"": 2, ""PRON"": 6, ""PROPN"": 2, ""PUNCT"": 6, ""SCONJ"": 1, ""SPACE"": 1, ""VERB"": 4}",23,"{""punct"": 6, ""ROOT"": 4, ""case"": 3, ""nsubj"": 3, ""advmod"": 3, ""obl"": 2, ""cc"": 1, ""conj"": 1, ""advcl"": 1, ""mark"": 1, ""aux"": 1, ""ccomp"": 1}"
8,informal,48,4,"{""ADJ"": 1, ""ADP"": 3, ""ADV"": 3, ""AUX"": 2, ""CCONJ"": 4, ""DET"": 3, ""NOUN"": 7, ""NUM"": 2, ""PRON"": 6, ""PROPN"": 5, ""PUNCT"": 5, ""SCONJ"": 1, ""SPACE"": 1, ""VERB"": 5}",30,"{""cc"": 5, ""ROOT"": 4, ""nsubj"": 4, ""punct"": 4, ""case"": 4, ""obl"": 4, ""det"": 3, ""conj"": 3, ""cop"": 2, ""expl"": 2, ""advmod"": 2, ""flat:name"": 2}"
9,informal,49,5,"{""ADJ"": 3, ""ADP"": 4, ""ADV"": 4, ""AUX"": 3, ""CCONJ"": 4, ""DET"": 3, ""NOUN"": 6, ""PRON"": 8, ""PROPN"": 5, ""PUNCT"": 3, ""SPACE"": 1, ""VERB"": 5}",33,"{""ROOT"": 5, ""nsubj"": 5, ""advmod"": 4, ""cc"": 4, ""det"": 3, ""conj"": 3, ""punct"": 3, ""case"": 3, ""obl"": 3, ""cop"": 2, ""expl"": 2, ""flat:name"": 2}"
