doc_index,register,char_count,word_count,rough_syllable_count_sv,textstat_flesch_reading_ease,textstat_flesch_kincaid_grade,textstat_gunning_fog,textstat_smog_index
0,informal,98,19,27,99.60322368421055,0.5467105263157919,1.9000000000000001,3.1291
1,informal,643,121,181,75.93000000000002,6.927380952380954,9.19047619047619,8.841846274778883
2,informal,289,53,79,76.86172169811324,5.830330188679245,6.809433962264151,7.168621630094336
3,informal,244,45,70,79.26000000000003,4.440000000000001,5.377777777777778,6.742157984588678
4,informal,219,40,62,76.97666666666669,5.835000000000001,7.333333333333335,7.793537801064561
5,informal,197,36,55,67.75500000000001,6.790000000000003,9.244444444444445,9.725611199111238
6,informal,155,27,42,69.23333333333335,5.838518518518523,8.044444444444444,8.841846274778883
7,informal,141,25,38,68.93950000000002,6.749000000000002,8.200000000000001,8.841846274778883
8,informal,254,42,69,73.30607142857146,5.643095238095238,7.057142857142857,8.07648339933343
9,informal,271,45,76,73.62000000000003,5.226666666666667,5.377777777777778,6.742157984588678
10,informal,1208,223,335,78.15750000000003,6.24404761904762,8.083626875407697,7.957251820313856
11,informal,1302,238,365,78.82908653846158,5.897510683760686,7.730341880341881,7.865858978985526
12,informal,1359,250,383,75.3255853658537,6.827138211382117,8.348617886178863,8.021203637495837
13,informal,1101,203,311,76.9388983378431,6.330753768844222,8.133127174333206,8.139509932561175
14,informal,1304,242,366,76.85250000000002,6.745476190476193,8.45919228450874,7.957251820313856
15,informal,296,53,81,84.53709119496857,3.6625471698113223,5.042767295597485,6.42735559955562
16,informal,349,61,99,80.01747267759565,4.624180327868853,6.033879781420765,7.168621630094336
17,informal,192,34,57,62.68000000000002,8.740000000000002,10.329411764705883,10.125756701596842
18,informal,232,39,68,52.550192307692356,10.77397435897436,11.902564102564103,11.20814326018867
19,informal,242,41,69,49.842134146341465,11.400121951219514,14.053658536585367,13.023866798666859
20,informal,196,34,57,57.70352941176472,9.434117647058823,11.505882352941178,11.20814326018867
21,informal,235,40,66,53.29000000000005,10.795000000000002,13.0,12.161744961471694
22,informal,77,12,22,80.89500000000001,3.4666666666666686,2.4000000000000004,3.1291
23,informal,101,16,30,61.24000000000001,6.705000000000002,8.200000000000001,8.841846274778883
24,informal,129,21,36,75.32035714285716,5.362142857142857,6.104761904761905,7.168621630094336
25,informal,76,14,23,76.59134615384617,4.191153846153846,2.6,3.1291
26,informal,64,10,18,74.86000000000003,4.060000000000002,2.0,3.1291
27,informal,142,16,35,50.66500000000002,8.180000000000003,10.700000000000001,10.125756701596842
28,informal,167,24,51,57.715,7.196666666666669,8.200000000000001,8.841846274778883
29,informal,178,16,44,10.820000000000022,15.725000000000005,8.9,8.841846274778883
30,informal,243,41,71,73.28528455284555,6.432682926829269,8.39349593495935,8.841846274778883
31,informal,209,40,60,76.55500000000004,7.550000000000001,10.0,8.841846274778883
32,informal,133,21,38,62.75857142857146,6.244761904761905,10.41904761904762,9.725611199111238
33,informal,151,24,44,60.70500000000001,7.773333333333333,8.133333333333335,8.841846274778883
34,informal,519,83,144,69.53125000000001,6.107500000000002,9.465853658536586,9.827888789773866
35,informal,571,94,163,66.90483870967745,7.227987711213519,10.47557603686636,10.608840637214634
36,informal,507,82,143,67.66777777777779,6.695696649029983,10.554497354497355,10.608840637214634
37,informal,196,38,54,86.86456140350879,2.716842105263158,4.63859649122807,6.42735559955562
38,informal,630,101,187,52.86633333333336,10.026000000000003,11.866666666666667,11.538034831475386
39,informal,134,24,37,84.42000000000002,2.9750000000000014,4.066666666666667,5.985473137389441
40,informal,350,31,80,2.47842741935483,14.83895161290323,6.970967741935485,8.07648339933343
41,informal,1290,246,371,66.57441838649159,8.674552845528456,10.658661663539712,10.035473477838034
42,informal,1155,219,332,68.43752370916756,7.898721461187215,9.843484369511769,9.661875296680812
43,informal,1440,272,416,68.92382352941179,8.472436974789915,10.859663865546219,10.125756701596842
44,informal,2711,496,787,66.23544504181602,8.584525089605737,11.057825567502988,10.585719281625629
45,informal,1183,219,338,67.66492096944154,8.006484018264842,9.843484369511769,9.661875296680812
46,informal,493,82,147,61.854756097560994,7.541986062717772,10.539372822299653,10.608840637214634
47,informal,357,52,104,50.470769230769264,9.44923076923077,9.815384615384616,10.125756701596842
48,informal,409,81,114,79.68088888888889,6.169975308641977,7.961481481481481,7.554174236665414
49,informal,465,75,137,61.890000000000015,8.353333333333339,11.333333333333336,11.20814326018867
50,informal,201,28,58,40.24738095238098,9.964285714285715,12.304761904761904,11.20814326018867
51,informal,308,45,93,50.65625000000003,8.988611111111112,12.5,11.698219412168324
52,informal,124,19,34,80.18561403508772,3.64842105263158,6.7438596491228076,7.793537801064561
53,informal,1211,203,350,69.32428243021347,6.952039408866998,9.748308702791462,10.047579312681364
