Row,POS_Diff_ADJ,POS_Diff_ADP,POS_Diff_ADV,POS_Diff_AUX,POS_Diff_CCONJ,POS_Diff_DET,POS_Diff_NOUN,POS_Diff_NUM,POS_Diff_PART,POS_Diff_PRON,POS_Diff_PROPN,POS_Diff_PUNCT,POS_Diff_SCONJ,POS_Diff_SPACE,POS_Diff_SYM,POS_Diff_VERB
1,0.1056,0.1197,0.0282,0.0423,0.0423,0.0845,0.2746,0.0,0.007,0.0845,0.0,0.0563,0.0493,0.0,0.0,0.1056
2,0.1027,0.1849,0.0137,0.0205,0.0479,0.0411,0.3425,0.0068,0.0205,0.0137,0.0,0.0753,0.0274,0.0,0.0,0.1027
3,0.0963,0.156,0.0321,0.0275,0.0459,0.0321,0.3211,0.0367,0.0046,0.055,0.0046,0.078,0.0138,0.0,0.0,0.0963
4,0.051,0.1412,0.0667,0.0863,0.0431,0.0353,0.2157,0.0078,0.0275,0.1137,0.0,0.0627,0.0392,0.0,0.0,0.1098
5,0.1048,0.1333,0.0286,0.0381,0.0857,0.0476,0.2952,0.019,0.0095,0.0476,0.0095,0.0667,0.0286,0.0,0.0,0.0857
6,0.0746,0.1493,0.0299,0.0,0.0672,0.0672,0.2985,0.0224,0.0075,0.0522,0.0,0.0896,0.0149,0.0,0.0075,0.1194
7,0.0865,0.0769,0.0673,0.0288,0.0192,0.0673,0.2212,0.0096,0.0192,0.1058,0.0769,0.0673,0.0096,0.0,0.0,0.1442
8,0.102,0.1451,0.0863,0.0392,0.0392,0.0745,0.2275,0.0235,0.0157,0.0706,0.0078,0.0706,0.0157,0.0,0.0,0.0824
9,0.1656,0.1411,0.0552,0.0245,0.0736,0.0613,0.2577,0.0,0.0123,0.0123,0.0061,0.0613,0.0307,0.0,0.0,0.0982
10,0.0796,0.1681,0.0398,0.0398,0.0398,0.0796,0.2522,0.0088,0.0354,0.0354,0.0177,0.0619,0.0265,0.0,0.0,0.115
11,0.0538,0.1462,0.0385,0.0385,0.0538,0.0385,0.3308,0.0,0.0,0.0462,0.0538,0.1077,0.0077,0.0,0.0,0.0846
12,0.1064,0.1348,0.0284,0.0355,0.0284,0.0426,0.3121,0.0355,0.0071,0.0213,0.0,0.1206,0.0142,0.0,0.0,0.1135
