Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.1056 | ADP:0.1197 | ADV:0.0282 | AUX:0.0423 | CCONJ:0.0423 | DET:0.0845 | NOUN:0.2746 | PART:0.0070 | PRON:0.0845 | PUNCT:0.0563 | SCONJ:0.0493 | VERB:0.1056,ADJ:0.0903 | ADP:0.0903 | ADV:0.0452 | AUX:0.0194 | CCONJ:0.0581 | DET:0.0903 | NOUN:0.2968 | PART:0.0065 | PRON:0.0581 | PUNCT:0.0903 | SCONJ:0.0452 | VERB:0.1097,142,155
ADJ:0.1027 | ADP:0.1849 | ADV:0.0137 | AUX:0.0205 | CCONJ:0.0479 | DET:0.0411 | NOUN:0.3425 | NUM:0.0068 | PART:0.0205 | PRON:0.0137 | PUNCT:0.0753 | SCONJ:0.0274 | VERB:0.1027,ADJ:0.1216 | ADP:0.1351 | ADV:0.0405 | AUX:0.0541 | CCONJ:0.0338 | DET:0.0541 | NOUN:0.3041 | NUM:0.0068 | PART:0.0135 | PRON:0.0135 | PROPN:0.0068 | PUNCT:0.0878 | SCONJ:0.0203 | VERB:0.1081,146,148
ADJ:0.0963 | ADP:0.1560 | ADV:0.0321 | AUX:0.0275 | CCONJ:0.0459 | DET:0.0321 | NOUN:0.3211 | NUM:0.0367 | PART:0.0046 | PRON:0.0550 | PROPN:0.0046 | PUNCT:0.0780 | SCONJ:0.0138 | VERB:0.0963,ADJ:0.0968 | ADP:0.1521 | ADV:0.0461 | AUX:0.0092 | CCONJ:0.0599 | DET:0.0369 | NOUN:0.3041 | NUM:0.0369 | PART:0.0046 | PRON:0.0415 | PROPN:0.0046 | PUNCT:0.0829 | SCONJ:0.0092 | VERB:0.1152,218,217
ADJ:0.0510 | ADP:0.1412 | ADV:0.0667 | AUX:0.0863 | CCONJ:0.0431 | DET:0.0353 | NOUN:0.2157 | NUM:0.0078 | PART:0.0275 | PRON:0.1137 | PUNCT:0.0627 | SCONJ:0.0392 | VERB:0.1098,ADJ:0.0609 | ADP:0.1217 | ADV:0.0696 | AUX:0.0696 | CCONJ:0.0348 | DET:0.0522 | NOUN:0.2478 | NUM:0.0174 | PART:0.0304 | PRON:0.0609 | PUNCT:0.0826 | SCONJ:0.0348 | VERB:0.1174,255,230
ADJ:0.1048 | ADP:0.1333 | ADV:0.0286 | AUX:0.0381 | CCONJ:0.0857 | DET:0.0476 | NOUN:0.2952 | NUM:0.0190 | PART:0.0095 | PRON:0.0476 | PROPN:0.0095 | PUNCT:0.0667 | SCONJ:0.0286 | VERB:0.0857,ADJ:0.0952 | ADP:0.1333 | ADV:0.0381 | AUX:0.0095 | CCONJ:0.0667 | DET:0.0286 | NOUN:0.3048 | NUM:0.0190 | PART:0.0190 | PRON:0.0095 | PUNCT:0.1333 | SCONJ:0.0286 | VERB:0.1143,105,105
ADJ:0.0746 | ADP:0.1493 | ADV:0.0299 | CCONJ:0.0672 | DET:0.0672 | NOUN:0.2985 | NUM:0.0224 | PART:0.0075 | PRON:0.0522 | PUNCT:0.0896 | SCONJ:0.0149 | SYM:0.0075 | VERB:0.1194,ADJ:0.0625 | ADP:0.1172 | ADV:0.0547 | CCONJ:0.0703 | DET:0.0547 | NOUN:0.2812 | NUM:0.0234 | PART:0.0078 | PRON:0.0469 | PUNCT:0.1094 | SCONJ:0.0156 | SYM:0.0078 | VERB:0.1484,134,128
ADJ:0.0865 | ADP:0.0769 | ADV:0.0673 | AUX:0.0288 | CCONJ:0.0192 | DET:0.0673 | NOUN:0.2212 | NUM:0.0096 | PART:0.0192 | PRON:0.1058 | PROPN:0.0769 | PUNCT:0.0673 | SCONJ:0.0096 | VERB:0.1442,ADJ:0.0708 | ADP:0.1593 | ADV:0.0796 | AUX:0.0531 | CCONJ:0.0177 | DET:0.0442 | NOUN:0.2478 | PART:0.0088 | PRON:0.0708 | PROPN:0.0619 | PUNCT:0.0708 | SCONJ:0.0088 | VERB:0.1062,104,113
ADJ:0.1020 | ADP:0.1451 | ADV:0.0863 | AUX:0.0392 | CCONJ:0.0392 | DET:0.0745 | NOUN:0.2275 | NUM:0.0235 | PART:0.0157 | PRON:0.0706 | PROPN:0.0078 | PUNCT:0.0706 | SCONJ:0.0157 | VERB:0.0824,ADJ:0.1080 | ADP:0.1127 | ADV:0.0751 | AUX:0.0423 | CCONJ:0.0563 | DET:0.0563 | NOUN:0.2535 | NUM:0.0282 | PART:0.0047 | PRON:0.0469 | PROPN:0.0188 | PUNCT:0.0986 | SCONJ:0.0188 | VERB:0.0798,255,213
ADJ:0.1718 | ADP:0.1411 | ADV:0.0552 | AUX:0.0245 | CCONJ:0.0675 | DET:0.0675 | NOUN:0.2515 | PART:0.0123 | PRON:0.0123 | PROPN:0.0061 | PUNCT:0.0613 | SCONJ:0.0307 | VERB:0.0982,ADJ:0.1346 | ADP:0.1346 | ADV:0.0513 | AUX:0.0128 | CCONJ:0.0577 | DET:0.0705 | NOUN:0.2628 | PART:0.0128 | PRON:0.0321 | PROPN:0.0128 | PUNCT:0.0833 | SCONJ:0.0321 | VERB:0.1026,163,156
ADJ:0.0796 | ADP:0.1681 | ADV:0.0398 | AUX:0.0398 | CCONJ:0.0398 | DET:0.0796 | NOUN:0.2522 | NUM:0.0088 | PART:0.0354 | PRON:0.0354 | PROPN:0.0177 | PUNCT:0.0619 | SCONJ:0.0265 | VERB:0.1150,ADJ:0.1150 | ADP:0.1450 | ADV:0.0550 | AUX:0.0250 | CCONJ:0.0300 | DET:0.0550 | NOUN:0.2850 | NUM:0.0050 | PART:0.0300 | PRON:0.0250 | PROPN:0.0100 | PUNCT:0.0800 | SCONJ:0.0400 | VERB:0.1000,226,200
