Abstract_POS_Counts,Generated_Abstract_POS_Counts
ADJ:6 | ADP:14 | ADV:10 | AUX:5 | CCONJ:3 | DET:6 | NOUN:17 | NUM:1 | PART:4 | PRON:10 | PUNCT:13 | SCONJ:1 | SPACE:1 | VERB:10,ADJ:1 | ADP:2 | ADV:3 | AUX:3 | CCONJ:5 | DET:1 | NOUN:8 | PART:2 | PRON:10 | PUNCT:5 | SCONJ:3 | VERB:6
ADV:1 | AUX:1 | CCONJ:1 | DET:1 | NOUN:6 | PRON:1 | PROPN:2 | PUNCT:5 | SCONJ:1 | VERB:4,ADJ:3 | ADP:3 | ADV:6 | AUX:3 | CCONJ:4 | DET:2 | NOUN:6 | PRON:9 | PUNCT:5 | VERB:4
ADJ:2 | ADP:8 | ADV:6 | AUX:2 | DET:4 | NOUN:11 | NUM:3 | PART:1 | PRON:7 | PROPN:1 | PUNCT:3 | SCONJ:3 | VERB:7,ADJ:6 | ADP:4 | ADV:4 | AUX:2 | CCONJ:3 | DET:2 | NOUN:5 | PART:1 | PRON:6 | PROPN:1 | PUNCT:6 | VERB:4
ADV:1 | DET:1 | PUNCT:1,ADJ:3 | ADP:1 | ADV:2 | AUX:3 | CCONJ:3 | DET:4 | NOUN:7 | PART:2 | PRON:3 | PUNCT:6 | VERB:3
ADJ:13 | ADP:16 | ADV:10 | AUX:5 | CCONJ:9 | DET:6 | NOUN:31 | NUM:2 | PART:3 | PRON:13 | PROPN:2 | PUNCT:18 | SCONJ:3 | SPACE:9 | VERB:13,ADJ:5 | ADP:1 | ADV:3 | AUX:4 | CCONJ:3 | DET:2 | NOUN:7 | PART:1 | PRON:6 | PROPN:1 | PUNCT:5 | SCONJ:2 | VERB:2
ADJ:3 | ADP:4 | ADV:12 | CCONJ:3 | DET:4 | NOUN:11 | PART:3 | PRON:4 | PROPN:3 | PUNCT:6 | SCONJ:2 | VERB:9,ADJ:3 | ADP:1 | ADV:6 | AUX:1 | CCONJ:1 | DET:2 | NOUN:5 | PART:1 | PRON:2 | PUNCT:5 | VERB:4
ADJ:1 | ADP:4 | ADV:6 | AUX:1 | CCONJ:1 | DET:2 | NOUN:5 | PART:2 | PRON:1 | PUNCT:4 | VERB:3,ADJ:2 | ADP:2 | ADV:3 | AUX:2 | CCONJ:1 | INTJ:1 | NOUN:4 | PART:3 | PRON:2 | PROPN:1 | PUNCT:5 | VERB:5
ADJ:3 | ADP:2 | ADV:2 | AUX:1 | CCONJ:3 | NOUN:5 | PART:1 | PRON:4 | PROPN:1 | PUNCT:3 | SCONJ:1 | VERB:5,ADJ:4 | ADP:7 | ADV:8 | AUX:3 | CCONJ:1 | DET:1 | NOUN:9 | PART:2 | PRON:10 | PROPN:1 | PUNCT:6 | SCONJ:5 | VERB:6
ADJ:1 | ADV:2 | AUX:1 | DET:1 | NOUN:1 | PRON:2 | PROPN:1 | PUNCT:4 | VERB:1,ADJ:6 | ADP:4 | ADV:10 | AUX:3 | CCONJ:4 | DET:1 | INTJ:1 | NOUN:7 | PRON:9 | PROPN:1 | PUNCT:6 | SCONJ:1 | VERB:6
AUX:1 | NOUN:1 | PRON:2 | PUNCT:2 | VERB:1,ADJ:2 | ADP:7 | ADV:13 | AUX:3 | CCONJ:4 | DET:2 | NOUN:7 | PART:2 | PRON:8 | PUNCT:5 | SCONJ:5 | VERB:8
ADJ:11 | ADP:11 | ADV:8 | AUX:7 | CCONJ:2 | DET:8 | NOUN:16 | NUM:1 | PART:6 | PRON:14 | PROPN:1 | PUNCT:6 | SCONJ:4 | VERB:15,ADJ:5 | ADP:8 | ADV:13 | AUX:3 | CCONJ:2 | DET:1 | NOUN:8 | PART:2 | PRON:11 | PROPN:1 | PUNCT:6 | SCONJ:3 | VERB:9
ADJ:1 | ADV:1 | NOUN:1 | PUNCT:1 | SCONJ:1,ADJ:3 | ADP:6 | ADV:10 | AUX:2 | CCONJ:3 | NOUN:11 | PART:1 | PRON:14 | PUNCT:8 | SCONJ:6 | VERB:13
ADJ:1 | ADV:1 | CCONJ:1 | NOUN:2 | PROPN:1 | PUNCT:2,ADJ:2 | ADV:1 | AUX:1 | CCONJ:1 | NOUN:3 | PRON:1 | PROPN:2 | PUNCT:3 | VERB:1
ADJ:1 | PROPN:1,ADJ:1 | ADV:1 | AUX:1 | CCONJ:1 | NOUN:3 | PRON:1 | PROPN:2 | PUNCT:2 | VERB:2
NOUN:2 | PROPN:4 | PUNCT:4 | VERB:1,ADJ:4 | ADV:2 | CCONJ:2 | NOUN:5 | PRON:4 | PROPN:2 | PUNCT:3 | VERB:3
ADJ:3 | ADV:4 | AUX:1 | NOUN:6 | PRON:2 | PROPN:2 | PUNCT:7 | SYM:1 | VERB:2,ADJ:4 | ADV:3 | CCONJ:2 | NOUN:4 | NUM:1 | PRON:1 | PROPN:2 | PUNCT:2 | VERB:1
ADJ:17 | ADP:21 | ADV:27 | AUX:3 | CCONJ:2 | DET:10 | NOUN:64 | PART:4 | PRON:20 | PROPN:6 | PUNCT:20 | SPACE:6 | SYM:2 | VERB:21,ADJ:1 | ADV:1 | AUX:1 | CCONJ:1 | NOUN:2 | PRON:1 | PROPN:2 | PUNCT:2 | VERB:3
ADP:1 | NOUN:1 | PRON:1 | PUNCT:1,ADJ:4 | ADV:4 | AUX:2 | CCONJ:1 | NOUN:3 | PRON:3 | PUNCT:3 | VERB:3
ADP:1 | AUX:3 | CCONJ:1 | INTJ:2 | NOUN:2 | PART:1 | PRON:3 | PUNCT:4 | VERB:3,ADJ:1 | ADP:1 | ADV:5 | AUX:3 | DET:1 | NOUN:2 | PRON:4 | PUNCT:3 | VERB:4
ADJ:2 | ADP:1 | ADV:2 | AUX:2 | INTJ:1 | NOUN:4 | PART:1 | PRON:4 | PUNCT:8 | SPACE:1 | VERB:1,ADJ:1 | ADP:1 | ADV:5 | AUX:3 | DET:1 | NOUN:3 | PRON:2 | PUNCT:3 | SCONJ:2 | VERB:2
ADJ:10 | ADP:1 | ADV:7 | AUX:8 | CCONJ:3 | DET:3 | NOUN:9 | PART:3 | PRON:12 | PROPN:2 | PUNCT:14 | SCONJ:1 | SPACE:1 | VERB:9,ADJ:2 | ADP:1 | ADV:6 | AUX:2 | CCONJ:1 | NOUN:5 | NUM:1 | PRON:4 | PUNCT:3 | VERB:3
ADJ:1 | AUX:1 | PRON:1 | PUNCT:1,ADJ:1 | ADP:2 | ADV:4 | AUX:2 | INTJ:1 | NOUN:3 | PRON:4 | PUNCT:3 | SCONJ:1 | VERB:4
ADP:3 | ADV:2 | DET:1 | NOUN:2 | PART:1 | PUNCT:2 | VERB:2,ADJ:5 | ADP:3 | ADV:2 | CCONJ:2 | DET:3 | NOUN:6 | PART:1 | PRON:1 | PROPN:4 | PUNCT:4 | VERB:3
