Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.0594 | ADP:0.1386 | ADV:0.0990 | AUX:0.0495 | CCONJ:0.0297 | DET:0.0594 | NOUN:0.1683 | NUM:0.0099 | PART:0.0396 | PRON:0.0990 | PUNCT:0.1287 | SCONJ:0.0099 | SPACE:0.0099 | VERB:0.0990,ADJ:0.0204 | ADP:0.0408 | ADV:0.0612 | AUX:0.0612 | CCONJ:0.1020 | DET:0.0204 | NOUN:0.1633 | PART:0.0408 | PRON:0.2041 | PUNCT:0.1020 | SCONJ:0.0612 | VERB:0.1224,101,49
ADV:0.0435 | AUX:0.0435 | CCONJ:0.0435 | DET:0.0435 | NOUN:0.2609 | PRON:0.0435 | PROPN:0.0870 | PUNCT:0.2174 | SCONJ:0.0435 | VERB:0.1739,ADJ:0.0667 | ADP:0.0667 | ADV:0.1333 | AUX:0.0667 | CCONJ:0.0889 | DET:0.0444 | NOUN:0.1333 | PRON:0.2000 | PUNCT:0.1111 | VERB:0.0889,23,45
ADJ:0.0345 | ADP:0.1379 | ADV:0.1034 | AUX:0.0345 | DET:0.0690 | NOUN:0.1897 | NUM:0.0517 | PART:0.0172 | PRON:0.1207 | PROPN:0.0172 | PUNCT:0.0517 | SCONJ:0.0517 | VERB:0.1207,ADJ:0.1364 | ADP:0.0909 | ADV:0.0909 | AUX:0.0455 | CCONJ:0.0682 | DET:0.0455 | NOUN:0.1136 | PART:0.0227 | PRON:0.1364 | PROPN:0.0227 | PUNCT:0.1364 | VERB:0.0909,58,44
ADV:0.3333 | DET:0.3333 | PUNCT:0.3333,ADJ:0.0811 | ADP:0.0270 | ADV:0.0541 | AUX:0.0811 | CCONJ:0.0811 | DET:0.1081 | NOUN:0.1892 | PART:0.0541 | PRON:0.0811 | PUNCT:0.1622 | VERB:0.0811,3,37
ADJ:0.0850 | ADP:0.1046 | ADV:0.0654 | AUX:0.0327 | CCONJ:0.0588 | DET:0.0392 | NOUN:0.2026 | NUM:0.0131 | PART:0.0196 | PRON:0.0850 | PROPN:0.0131 | PUNCT:0.1176 | SCONJ:0.0196 | SPACE:0.0588 | VERB:0.0850,ADJ:0.1190 | ADP:0.0238 | ADV:0.0714 | AUX:0.0952 | CCONJ:0.0714 | DET:0.0476 | NOUN:0.1667 | PART:0.0238 | PRON:0.1429 | PROPN:0.0238 | PUNCT:0.1190 | SCONJ:0.0476 | VERB:0.0476,153,42
ADJ:0.0469 | ADP:0.0625 | ADV:0.1875 | CCONJ:0.0469 | DET:0.0625 | NOUN:0.1719 | PART:0.0469 | PRON:0.0625 | PROPN:0.0469 | PUNCT:0.0938 | SCONJ:0.0312 | VERB:0.1406,ADJ:0.0968 | ADP:0.0323 | ADV:0.1935 | AUX:0.0323 | CCONJ:0.0323 | DET:0.0645 | NOUN:0.1613 | PART:0.0323 | PRON:0.0645 | PUNCT:0.1613 | VERB:0.1290,64,31
ADJ:0.0333 | ADP:0.1333 | ADV:0.2000 | AUX:0.0333 | CCONJ:0.0333 | DET:0.0667 | NOUN:0.1667 | PART:0.0667 | PRON:0.0333 | PUNCT:0.1333 | VERB:0.1000,ADJ:0.0645 | ADP:0.0645 | ADV:0.0968 | AUX:0.0645 | CCONJ:0.0323 | INTJ:0.0323 | NOUN:0.1290 | PART:0.0968 | PRON:0.0645 | PROPN:0.0323 | PUNCT:0.1613 | VERB:0.1613,30,31
ADJ:0.0968 | ADP:0.0645 | ADV:0.0645 | AUX:0.0323 | CCONJ:0.0968 | NOUN:0.1613 | PART:0.0323 | PRON:0.1290 | PROPN:0.0323 | PUNCT:0.0968 | SCONJ:0.0323 | VERB:0.1613,ADJ:0.0635 | ADP:0.1111 | ADV:0.1270 | AUX:0.0476 | CCONJ:0.0159 | DET:0.0159 | NOUN:0.1429 | PART:0.0317 | PRON:0.1587 | PROPN:0.0159 | PUNCT:0.0952 | SCONJ:0.0794 | VERB:0.0952,31,63
ADJ:0.0714 | ADV:0.1429 | AUX:0.0714 | DET:0.0714 | NOUN:0.0714 | PRON:0.1429 | PROPN:0.0714 | PUNCT:0.2857 | VERB:0.0714,ADJ:0.1017 | ADP:0.0678 | ADV:0.1695 | AUX:0.0508 | CCONJ:0.0678 | DET:0.0169 | INTJ:0.0169 | NOUN:0.1186 | PRON:0.1525 | PROPN:0.0169 | PUNCT:0.1017 | SCONJ:0.0169 | VERB:0.1017,14,59
AUX:0.1429 | NOUN:0.1429 | PRON:0.2857 | PUNCT:0.2857 | VERB:0.1429,ADJ:0.0303 | ADP:0.1061 | ADV:0.1970 | AUX:0.0455 | CCONJ:0.0606 | DET:0.0303 | NOUN:0.1061 | PART:0.0303 | PRON:0.1212 | PUNCT:0.0758 | SCONJ:0.0758 | VERB:0.1212,7,66
ADJ:0.1000 | ADP:0.1000 | ADV:0.0727 | AUX:0.0636 | CCONJ:0.0182 | DET:0.0727 | NOUN:0.1455 | NUM:0.0091 | PART:0.0545 | PRON:0.1273 | PROPN:0.0091 | PUNCT:0.0545 | SCONJ:0.0364 | VERB:0.1364,ADJ:0.0694 | ADP:0.1111 | ADV:0.1806 | AUX:0.0417 | CCONJ:0.0278 | DET:0.0139 | NOUN:0.1111 | PART:0.0278 | PRON:0.1528 | PROPN:0.0139 | PUNCT:0.0833 | SCONJ:0.0417 | VERB:0.1250,110,72
ADJ:0.2000 | ADV:0.2000 | NOUN:0.2000 | PUNCT:0.2000 | SCONJ:0.2000,ADJ:0.0390 | ADP:0.0779 | ADV:0.1299 | AUX:0.0260 | CCONJ:0.0390 | NOUN:0.1429 | PART:0.0130 | PRON:0.1818 | PUNCT:0.1039 | SCONJ:0.0779 | VERB:0.1688,5,77
ADJ:0.1250 | ADV:0.1250 | CCONJ:0.1250 | NOUN:0.2500 | PROPN:0.1250 | PUNCT:0.2500,ADJ:0.1333 | ADV:0.0667 | AUX:0.0667 | CCONJ:0.0667 | NOUN:0.2000 | PRON:0.0667 | PROPN:0.1333 | PUNCT:0.2000 | VERB:0.0667,8,15
ADJ:0.5000 | PROPN:0.5000,ADJ:0.0714 | ADV:0.0714 | AUX:0.0714 | CCONJ:0.0714 | NOUN:0.2143 | PRON:0.0714 | PROPN:0.1429 | PUNCT:0.1429 | VERB:0.1429,2,14
NOUN:0.1818 | PROPN:0.3636 | PUNCT:0.3636 | VERB:0.0909,ADJ:0.1600 | ADV:0.0800 | CCONJ:0.0800 | NOUN:0.2000 | PRON:0.1600 | PROPN:0.0800 | PUNCT:0.1200 | VERB:0.1200,11,25
ADJ:0.1071 | ADV:0.1429 | AUX:0.0357 | NOUN:0.2143 | PRON:0.0714 | PROPN:0.0714 | PUNCT:0.2500 | SYM:0.0357 | VERB:0.0714,ADJ:0.2000 | ADV:0.1500 | CCONJ:0.1000 | NOUN:0.2000 | NUM:0.0500 | PRON:0.0500 | PROPN:0.1000 | PUNCT:0.1000 | VERB:0.0500,28,20
ADJ:0.0762 | ADP:0.0942 | ADV:0.1211 | AUX:0.0135 | CCONJ:0.0090 | DET:0.0448 | NOUN:0.2870 | PART:0.0179 | PRON:0.0897 | PROPN:0.0269 | PUNCT:0.0897 | SPACE:0.0269 | SYM:0.0090 | VERB:0.0942,ADJ:0.0714 | ADV:0.0714 | AUX:0.0714 | CCONJ:0.0714 | NOUN:0.1429 | PRON:0.0714 | PROPN:0.1429 | PUNCT:0.1429 | VERB:0.2143,223,14
ADP:0.2500 | NOUN:0.2500 | PRON:0.2500 | PUNCT:0.2500,ADJ:0.1739 | ADV:0.1739 | AUX:0.0870 | CCONJ:0.0435 | NOUN:0.1304 | PRON:0.1304 | PUNCT:0.1304 | VERB:0.1304,4,23
ADP:0.0500 | AUX:0.1500 | CCONJ:0.0500 | INTJ:0.1000 | NOUN:0.1000 | PART:0.0500 | PRON:0.1500 | PUNCT:0.2000 | VERB:0.1500,ADJ:0.0417 | ADP:0.0417 | ADV:0.2083 | AUX:0.1250 | DET:0.0417 | NOUN:0.0833 | PRON:0.1667 | PUNCT:0.1250 | VERB:0.1667,20,24
ADJ:0.0741 | ADP:0.0370 | ADV:0.0741 | AUX:0.0741 | INTJ:0.0370 | NOUN:0.1481 | PART:0.0370 | PRON:0.1481 | PUNCT:0.2963 | SPACE:0.0370 | VERB:0.0370,ADJ:0.0435 | ADP:0.0435 | ADV:0.2174 | AUX:0.1304 | DET:0.0435 | NOUN:0.1304 | PRON:0.0870 | PUNCT:0.1304 | SCONJ:0.0870 | VERB:0.0870,27,23
ADJ:0.1205 | ADP:0.0120 | ADV:0.0843 | AUX:0.0964 | CCONJ:0.0361 | DET:0.0361 | NOUN:0.1084 | PART:0.0361 | PRON:0.1446 | PROPN:0.0241 | PUNCT:0.1687 | SCONJ:0.0120 | SPACE:0.0120 | VERB:0.1084,ADJ:0.0714 | ADP:0.0357 | ADV:0.2143 | AUX:0.0714 | CCONJ:0.0357 | NOUN:0.1786 | NUM:0.0357 | PRON:0.1429 | PUNCT:0.1071 | VERB:0.1071,83,28
ADJ:0.2500 | AUX:0.2500 | PRON:0.2500 | PUNCT:0.2500,ADJ:0.0400 | ADP:0.0800 | ADV:0.1600 | AUX:0.0800 | INTJ:0.0400 | NOUN:0.1200 | PRON:0.1600 | PUNCT:0.1200 | SCONJ:0.0400 | VERB:0.1600,4,25
ADP:0.2308 | ADV:0.1538 | DET:0.0769 | NOUN:0.1538 | PART:0.0769 | PUNCT:0.1538 | VERB:0.1538,ADJ:0.1471 | ADP:0.0882 | ADV:0.0588 | CCONJ:0.0588 | DET:0.0882 | NOUN:0.1765 | PART:0.0294 | PRON:0.0294 | PROPN:0.1176 | PUNCT:0.1176 | VERB:0.0882,13,34
ADJ:0.0385 | ADP:0.0769 | ADV:0.2308 | AUX:0.0385 | CCONJ:0.0385 | DET:0.0769 | NOUN:0.1538 | PRON:0.0769 | PUNCT:0.1154 | SPACE:0.0385 | VERB:0.1154,ADJ:0.0714 | ADP:0.1071 | ADV:0.1071 | CCONJ:0.0714 | DET:0.1071 | NOUN:0.2857 | PRON:0.0357 | PROPN:0.0357 | PUNCT:0.1071 | VERB:0.0714,26,28
ADJ:0.1818 | ADV:0.1818 | AUX:0.0909 | NOUN:0.1818 | PART:0.0909 | PRON:0.0909 | PUNCT:0.1818,ADJ:0.1818 | ADP:0.0455 | ADV:0.0909 | CCONJ:0.0909 | NOUN:0.1818 | PART:0.0455 | PRON:0.0455 | PUNCT:0.1364 | VERB:0.1818,11,22
ADJ:0.0862 | ADP:0.1034 | ADV:0.1207 | AUX:0.1034 | CCONJ:0.0345 | DET:0.0345 | NOUN:0.1552 | PART:0.0517 | PRON:0.0517 | PROPN:0.0345 | PUNCT:0.1034 | SCONJ:0.0172 | SPACE:0.0172 | VERB:0.0862,ADJ:0.0667 | ADP:0.1333 | ADV:0.1000 | AUX:0.0333 | CCONJ:0.0667 | DET:0.0667 | NOUN:0.2667 | PART:0.0333 | PRON:0.0333 | PUNCT:0.1000 | VERB:0.1000,58,30
ADJ:0.0714 | ADP:0.1429 | ADV:0.1429 | AUX:0.0357 | CCONJ:0.0357 | DET:0.0714 | NOUN:0.1786 | PART:0.0357 | PRON:0.0714 | PUNCT:0.0714 | VERB:0.1429,ADJ:0.1154 | ADP:0.1538 | ADV:0.0769 | CCONJ:0.0385 | DET:0.0385 | NOUN:0.3077 | PART:0.0385 | PROPN:0.0385 | PUNCT:0.1154 | VERB:0.0769,28,26
