row_index,raw_topic,canonical_topic,ssif_domain,source,low_confidence,title_misaligned,title
0,Social Sciences,Social Sciences,Social Sciences,diva,False,,Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen
1,Social Sciences,Social Sciences,Social Sciences,diva,False,,Det är så brett så jag vet inte vart jag ska börja
2,Social Sciences,Social Sciences,Social Sciences,diva,False,,Handledningsprocesser i Medarbetarsamtalet
3,Humanities and the Arts,Humanities and the Arts,Humanities and the Arts,diva,False,,Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans t
4,Humanities and the Arts,Humanities and the Arts,Humanities and the Arts,diva,False,,Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker
5,Humanities and the Arts,Humanities and the Arts,Humanities and the Arts,diva,False,,Paulus lagsyn i Rom 3:21-31
6,Humanities and the Arts,Humanities and the Arts,Humanities and the Arts,diva,False,,Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det
7,Humanities and the Arts,Humanities and the Arts,Humanities and the Arts,diva,False,,Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och kon
8,Engineering and Technology,Engineering and Technology,Engineering and Technology,diva,False,,Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett mil
9,Engineering and Technology,Engineering and Technology,Engineering and Technology,diva,False,,1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”
10,Engineering and Technology,Engineering and Technology,Engineering and Technology,diva,False,,3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse
11,Engineering and Technology,Engineering and Technology,Engineering and Technology,diva,False,,3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen
12,Engineering and Technology,Engineering and Technology,Engineering and Technology,diva,False,,3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation
13,Medical and Health Sciences,Medical and Health Sciences,Medical and Health Sciences,diva,False,,Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstud
14,Medical and Health Sciences,Medical and Health Sciences,Medical and Health Sciences,diva,False,,Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi
15,Medical and Health Sciences,Medical and Health Sciences,Medical and Health Sciences,diva,False,,Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal o
16,Medical and Health Sciences,Medical and Health Sciences,Medical and Health Sciences,diva,False,,Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bak
17,Medical and Health Sciences,Medical and Health Sciences,Medical and Health Sciences,diva,False,,Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS
18,Natural Sciences,Natural Sciences,Natural Sciences,diva,False,,3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning
19,Natural Sciences,Natural Sciences,Natural Sciences,diva,False,,Artificiell intelligens - ANN och evolution i shooterspel
20,Natural Sciences,Natural Sciences,Natural Sciences,diva,False,,Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm
21,Natural Sciences,Natural Sciences,Natural Sciences,diva,False,,Användarverifiering från webbkamera
22,Natural Sciences,Natural Sciences,Natural Sciences,diva,False,,IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn
23,Agricultural and Veterinary Sciences,Agricultural and Veterinary Sciences,Agricultural and Veterinary Sciences,diva,False,,När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv
24,Agricultural and Veterinary Sciences,Agricultural and Veterinary Sciences,Agricultural and Veterinary Sciences,diva,False,,"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under gravidi"
25,Agricultural and Veterinary Sciences,Agricultural and Veterinary Sciences,Agricultural and Veterinary Sciences,diva,False,,Treåringars matvanor; fysiska aktivitet; samt Body Mass Index i Västerbotten: I relation till amningsduration och familj
26,Social Sciences,Social Sciences,Social Sciences,diva,False,,Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande
27,Social Sciences,Social Sciences,Social Sciences,diva,False,,En ny arbetsmarknadspolitik
