Human_Thesis_Title,AI_Thesis_Title,Human_Abstract,AI_Abstract
Visionen om det narkotikafria samhället: En diskursanalys,Föreställningen om ett narkotikafritt samhälle: En socialkonstruktivistisk diskursanalys av nolltolerans och svensk narkotikadebatt,Syftet med denna uppsats är att belysa hur visionen om det narkotikafria samhället uppenbarar sig i diskurser som behandlar narkotikamissbruk som socialt problem. Empiriskt material i form av ett policydokument och en debattföljetong har analyserats utifrån ett socialkonstruktivistiskt och diskursanalytiskt perspektiv. Analysen pekar mot att definitionskampen om narkotikamissbruk som socialt problem finns över många diskurser; samtidigt ses visionen om det narkotikafria samhället ofta vara närvarande. En nationell diskurs som kan ses utgå från vad vi som nation anser och vill ha i vårt land. En moraldiskurs som lägger värde i olika beteenden och åsikter. En juridisk och polisiär diskurs som utifrån narkotikas juridiska status ramar in fenomenet och en barn-och ungdomsdiskurs som formulerar narkotikan som det största hotet. Alla dessa kan enligt studien ses som en del i konstruktionen av narkotikamissbruk som socialt problem.,"Uppsatsen behandlar visionen om det narkotikafria samhället och undersöker hur denna idé formas, upprätthålls och legitimeras i svensk narkotikadebatt och narkotikapolicy. Med utgångspunkt i en socialkonstruktivistisk ansats förstås narkotikamissbruk inte enbart som ett medicinskt eller juridiskt problem, utan som ett fenomen vars betydelser skapas genom språk, normer och samhälleliga föreställningar. Studien analyserar hur olika diskurser definierar vad “narkotika”, “missbruk” och “normalitet” innebär, samt vilka problemformuleringar och lösningar som blir möjliga inom ramen för dessa definitioner.

Genom diskursanalys granskas hur nolltolerans och målet om ett narkotikafritt samhälle framställs som självklara eller önskvärda utgångspunkter, och vilka antaganden om moral, risk, ansvar och samhällsordning som därigenom reproduceras. Särskild vikt läggs vid hur språkbruket i debatt och policy skapar gränser mellan “vi” och “de”, mellan ordning och avvikelse, samt hur vissa aktörer och perspektiv ges tolkningsföreträde. Uppsatsen belyser även vilka konsekvenser dessa diskurser kan få för synen på personer med narkotikamissbruk och för vilka politiska åtgärder som prioriteras.

Sammanfattningsvis syftar arbetet till att bidra med en fördjupad förståelse av hur visionen om ett narkotikafritt samhälle fungerar som politisk och kulturell riktning, och hur den påverkar både debattklimat och utformningen av narkotikapolicy."
Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,Beröringens stressdämpande effekt i arbetslivet: massage och fysisk kontakt som komplement till avslappning vid arbetsrelaterad stress,Arbetsmarknadens förändringar i form av högre arbetstakt; tillfälliga anställningar och krav på flexibla arbetsvillkor; gör att allt fler upplever stress i arbetslivet. Långvarig stress medför stora hälsorisker för individen. Eftersom många av dagens sjukskrivningar beror på stressrelaterade sjukdomar; såsom depression och utmattning är det viktigt att studera metoder för stresshantering på arbetsplatsen. Beröring i form av massage kan minska stress hos individer samt fungerar som ett komplement i behandlingen för stressrelaterade sjukdomar. Ett fältexperiment med 28 tjänstemän utfördes för att undersöka om en kortvarig massage på arbetstid kunde inverka positivt på den arbetsrelaterade stressen jämfört med en avslappningsövning och vanlig rast. Studien visade signifikant minskning av stressnivån efter massageinterventionen. Resultatet ger en antydan om att upplevelsen av stress går att reducera med hjälp av fysisk beröring. Stickprovets storlek samt förväntnings- effektens inverkan på resultatet diskuteras.,"Denna uppsats undersöker kraften i fysisk beröring som ett komplementärt verktyg för att minska arbetsrelaterad stress. Utifrån antagandet att stress på arbetsplatsen påverkar både välbefinnande och prestation, fokuserar arbetet på hur strukturerad beröring—särskilt massage—kan bidra till ökad avslappning och återhämtning i en arbetskontext. 

I centrum står frågan om beröringens potentiella stressreducerande effekter kan fungera som ett praktiskt och lågtröskligt komplement till mer etablerade insatser, såsom organisatoriska förändringar och individuella stresshanteringsstrategier. Särskild vikt läggs vid att belysa möjliga mekanismer bakom effekten, exempelvis sänkt muskelspänning, förbättrad kroppsmedvetenhet och en upplevelse av lugn som kan underlätta återgång till arbetsuppgifter. Samtidigt problematiseras beröring i arbetslivet utifrån aspekter som integritet, samtycke och kulturella normer, vilket påverkar metodens genomförbarhet och acceptans.

Sammanfattningsvis positionerar uppsatsen beröring och massage som en potentiellt verksam metod för att främja avslappning och därigenom dämpa stress, men betonar att insatsen behöver utformas med tydliga ramar, frivillighet och etiska riktlinjer för att vara relevant och hållbar på arbetsplatsen."
Det är så brett så jag vet inte vart jag ska börja,"När hållbar utveckling känns överväldigande – förskollärares handlingskompetens, kunskaper och värderingar i miljöundervisning",Syftet med studien är att få en fördjupad förståelse för hur pedagoger tolkar och utvecklar arbetet kring begreppet hållbar utveckling utifrån den kunskap de besitter. Teorier om kunskap och hållbar utveckling samt begreppet handlingskompetens är centrala delar i föreliggande studie. Studien utgår från en kvalitativ metod och är grundad på semistrukturerade intervjuer med sammanlagt sex pedagoger från två förskolor i södra Sverige. Studien utgår från två forskningsfrågor: (1) hur förhåller sig pedagoger till begreppet hållbar utveckling ur ett lärandeperspektiv samt (2) om normer och värderingar synliggörs; hur speglas dessa i pedagogernas arbete med kunskapsbildning för hållbar utveckling. Resultatet av studien visar att pedagogers uppfattningar av begreppet hållbar utveckling riktar sig åt de tre dimensionerna ekologisk; ekonomisk och social. Pedagogernas kunskapsbildning grundar sig i fortbildningen Grön flagg eller pedagogernas eget intresse. Främst sker lärandet för hållbar utveckling utifrån ämnen som kan göras konkreta för barnen; till exempel källsortering och skräpplockning. Pedagogerna beskriver situationer där barnens handlingskompetens speglas. Pedagogerna anser att de verkar som förebilder för barnen. Det är främst den normerande undervisningsformen som synliggörs i pedagogernas beskrivningar av arbetet för lärandet av hållbar utveckling. Den styrs av attityder och värderingar som är grunden för om de agerar för hållbar utveckling.,"Denna studie tar sin utgångspunkt i upplevelsen att arbetet med hållbar utveckling i förskolan kan framstå som omfattande och svåröverskådligt – “det är så brett så jag vet inte vart jag ska börja”. Syftet är att undersöka hur förskollärare och/eller arbetslag förstår, motiverar och genomför undervisning om hållbar utveckling, samt vilka förutsättningar som påverkar arbetets inriktning och innehåll.

Med fokus på begreppet handlingskompetens analyseras hur barn ges möjligheter att utveckla både kunskaper och praktisk handlingsberedskap i relation till miljö- och hållbarhetsfrågor. Studien belyser spänningsfältet mellan att förmedla fakta och att samtidigt arbeta med känslor som oro, hopp och engagemang, vilka kan påverka barns lärande och vilja att agera. Vidare uppmärksammas hur normer och värderingar kommer till uttryck i undervisningen, exempelvis genom vardagsrutiner, val av teman och sättet att tala om ansvar, natur och konsumtion.

Sammanfattningsvis visar studien att undervisning om hållbar utveckling i förskolan inte enbart handlar om innehåll (vad barn ska lära), utan också om process och förhållningssätt (hur lärandet formas). Ett centralt resultat är att tydlighet kring mål, begrepp och pedagogiska strategier kan minska känslan av att området är “för brett”, och istället stödja ett medvetet och meningsfullt arbete där kunskap, känslor och värdegrund vävs samman. Detta möjliggör att hållbarhetsundervisningen blir både begriplig för barn och relevant i deras vardag, samtidigt som den lägger grund för tidig utveckling av handlingskompetens."
Handledningsprocesser i Medarbetarsamtalet,Hur handledning tar form i medarbetarsamtal: en studie om handledningsprocesser och kompetensutveckling,I detta arbete har jag tittat på handledning på arbetsplatser. Handledning är idag ett svårdefinierbart begrepp som används allt mer på arbetsplatser. Syftet med detta arbete är att studera handledning och olika handledningsprocesser och se hur man skulle kunna använda sig av dem på arbetsplatser och i medarbetarsamtalet. Jag kommer att avgränsa mig genom att titta på momentet som rör medarbetarens utveckling i medarbetarsamtalet. I min teoretiska utgångspunkt har jag utgått ifrån att det kan förekomma handledning i medarbetarsamtalet; men att man inte kan se hela samtalet som handledning. För att undersöka detta har jag intervjuat 8 personer; fördelat på 2 arbetsplatser; om medarbetarsamtalet. Hälften har varit chefer och hälften medarbetare. I intervjuerna har det framkommit att man definitivt kan se handledande förhållningssätt i medarbetarsamtalet på båda företagen och att man också kan använda sig av de metoder och tankesätt som finns inom handledning för att utveckla medarbetarsamtalet ytterligare. Om man säger att själva medarbetarsamtalet i sig inte är handledning fullt ut; men att man kan se handledning förekomma på arbetsplatser; så skulle man kunna säga att medarbetarsamtalet är själva startskottet för den handledning som sedan sker under det dagliga arbetet. En utgångspunkt för medarbetare och chefer där man på medarbetarsamtalet har stämt av varandras förväntningar och samtyckt om var det behövs utveckling samt hur arbetet fungerar i stort på arbetsplatsen. Utefter detta kan man sedan arbeta med dessa saker i det dagliga arbetet under tiden till nästa medarbetarsamtal.,"Denna uppsats undersöker handledningsprocesser inom ramen för medarbetarsamtalet och hur dessa kan bidra till medarbetares kompetensutveckling. Utifrån antagandet att medarbetarsamtalet inte enbart är ett administrativt uppföljningsmoment, utan också en potentiell arena för lärande och professionell utveckling, fokuserar studien på hur handledning tar form i samtalet mellan chef och medarbetare.

Centralt i arbetet är att analysera vilka moment och förhållningssätt som kännetecknar en fungerande handledningsprocess i medarbetarsamtal, exempelvis målsättning, reflektion, återkoppling och gemensam planering av utvecklingsinsatser. Vidare belyses vilka kompetenser som krävs hos den som leder samtalet för att skapa ett stödjande och utvecklingsinriktat klimat, samt vilka organisatoriska villkor som påverkar samtalets kvalitet och genomslag i praktiken.

Sammanfattningsvis syftar uppsatsen till att synliggöra medarbetarsamtalets roll som handledningsliknande process och att diskutera hur ett mer medvetet handledningsperspektiv kan stärka kompetensutveckling på individ- och verksamhetsnivå."
Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,Samkönade äktenskap i Svenska kyrkan – en argumentationsanalys av debatten i Kyrkans Tidning och Dagens Nyheter,I Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan utförs en argumentationsanalys; baserad på hermeneutiks metod och kvalitativ textanalys; av debattartiklar som behandlat frågan som Svenska kyrkan ska behålla vigselrätten efter att svenska staten har gjort äktenskapsbalken könsneutral. Alla undersökta debattartiklar är publicerade mellan 2008-12-11 och 2009-10-31 i Kyrkans tidning och Dagens Nyheter. I resultatanalysen framgår det att både ja- och nej-sidan använder sig av ungefär samma typer av argument men med olika vinklingar och tolkningar. Nej-sidan använder sig dock mer av ett toleransperspektiv än ja-sidan. I ja-sidans argumenterande kan man hitta en underliggande normkritik av heteronormativiteten.,"Denna studie undersöker frågan om samkönade äktenskaps vara eller icke vara inom Svenska kyrkan genom en argumentationsanalys av debattartiklar publicerade i Kyrkans Tidning och Dagens Nyheter. Utifrån ett urval texter från de båda forumen analyseras hur skribenter positionerar sig i debatten, vilka huvudteser som förs fram samt vilka typer av skäl, antaganden och värderingar som används för att legitimera respektive ståndpunkt.

Uppsatsen fokuserar på att synliggöra argumentens struktur och funktion: vilka premisser som kopplas till vilka slutsatser, hur motargument bemöts, och vilka auktoriteter (exempelvis bibeltolkning, tradition, kyrkoordning, mänskliga rättigheter eller pastoral omsorg) som åberopas. Genom att jämföra argumentationen i Kyrkans Tidning och Dagens Nyheter belyser studien också hur val av offentlighet påverkar debattens uttryck—till exempel om argumenten i en kyrklig kontext tenderar att formuleras mer teologiskt och kyrkorättsligt, medan argument i en bredare dagspress oftare anknyter till samhälleliga normer, jämlikhetsideal och politiska principer.

Sammantaget syftar arbetet till att klargöra vilka argumentativa mönster som präglar diskussionen om samkönade äktenskap i relation till Svenska kyrkans identitet, uppdrag och roll i ett föränderligt samhälle. Genom analysen bidrar uppsatsen med en fördjupad förståelse av hur konflikten konstrueras språkligt och idépolitiskt, samt vilka centrala spänningsfält—mellan tradition och förändring, mellan teologisk övertygelse och inkluderingsideal—som formar debatten."
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,"Intersektionella perspektiv i gymnasiets religionsläroböcker: En läroboksanalys av kön, sexualitet, etnicitet och socioekonomisk bakgrund i frågor om identitet, etik och moral",I uppsatsen kopplas styrdokumentens uppmaning om undervisning kring intersektionalitet med det innehåll som finns i religionskunskapsläroböcker för gymnasiet som publicerats efter gymnasiereformen 2011. Syftet var att studera om läroböckerna tar upp intersektionalitet uttalat eller indirekt och/eller om de olika kategorierna kön; sexualitet; socioekonomisk bakgrund och etnicitet behandlas var för sig samt i vilka sammanhang det i sådana fall sker. Tre frågeställningar formulerades. Den första handlade om hur gymnasiets religionsläroböcker med utgivning från och med 2011 beskriver förhållandet mellan världsreligionerna och kategorierna kön; sexualitet; socioekonomisk bakgrund och etnicitet. Den andra frågan handlade om i vilka andra sammanhang (kapitel) de olika kategorierna beskrivs i läroböckerna. Den tredje frågan gällde vad som tas upp om själva begreppet samt fenomenet intersektionalitet i dessa religionsläroböcker.,"Uppsatsen undersöker hur intersektionalitet kommer till uttryck i gymnasiets religionsläroböcker genom att analysera hur kön, sexualitet, etnicitet och socioekonomisk bakgrund skildras – var för sig och i kombination. Med utgångspunkt i ett intersektionellt perspektiv problematiseras hur läroböckerna konstruerar identitet och normalitet i framställningar av religion, livsåskådningar samt etik och moral. Särskilt fokus ligger på vilka erfarenheter som synliggörs eller osynliggörs, vilka kategorier som framställs som självklara och vilka som avviker, samt hur makt och ojämlikhet kan reproduceras genom språk, exempel och bildmaterial.

Metodiskt genomförs en läroboksanalys där såväl explicita beskrivningar (t.ex. av familj, relationer, religiösa praktiker och moraliska dilemman) som mer implicita antaganden granskas. Studien belyser hur representation kan påverka elevers förståelse av religion i relation till samhälleliga strukturer och hur vissa kombinationer av identitetsmarkörer riskerar att stereotypiseras eller reduceras. Genom att koppla analysen till skolans värdegrund och religionsämnets mål diskuteras även konsekvenser för undervisning: vilka tolkningsramar elever erbjuds, hur etiska frågor formuleras, och i vilken mån läromedlen ger utrymme för mångfald och komplexitet. Sammantaget syftar uppsatsen till att bidra med kunskap om läroböckers roll i skapandet av föreställningar om religion, moral och identitet i gymnasieskolan, samt att tydliggöra behovet av kritisk medvetenhet kring intersektionella perspektiv i läromedelsproduktion och undervisningspraktik."
Paulus lagsyn i Rom 3:21-31,"Paulus och lagen i Romarbrevet 3:21–31: en analys i ljuset av modern paulusforskning (Sanders, Dunn, Wright, Fitzmyer, Moo, Ware och Jewett)",Denna uppsats behandlar Paulus syn på lagen vilket är ett mycket omdebatterat område inom paulusforskningen. Frågan om Paulus lagsyn är så central för den övergripande paulustolkingen att alla som vill förstå Paulus och hans texter måste bilda sig en uppfattning om detta. Det har skrivits många hyllmeter och diskussionen verkar långt ifrån avslutad. Frågan kräver dock tydliga avgränsningar för att kunna behandlas i denna relativt korta uppsats. Därför kommer jag fokusera på en perikop i ett av Paulus brev som behandlar denna fråga. Min frågeställning blir då: Vad menar Paulus med ”lagen” i Rom 3:21-31? ,"Denna uppsats undersöker Paulus syn på lagen i Rom 3:21–31, en nyckeltext i Romarbrevet där relationen mellan “lagen”, rättfärdiggörelse och tro formuleras med särskild skärpa. Syftet är att analysera hur Paulus beskriver lagens funktion “nu” i ljuset av Kristushändelsen, samt att pröva i vilken mening Paulus både kan kritisera lagen och samtidigt upprätthålla dess giltighet. Studien söker därmed belysa spänningsfältet mellan diskontinuitet (lagen kan inte rättfärdiggöra) och kontinuitet (lagen “upprättas”) i Paulus argument.

Uppsatsen tar sin utgångspunkt i paulusforskningens centrala tolkningslinjer, där debatten ofta rör vad Paulus avser med “lagens gärningar”, vad “rättfärdighet” innebär, och hur judars och hedningars gemensamma ställning inför Gud ska förstås. Mot bakgrund av E. P. Sanders betonas frågan om judendomens karaktär och den historiska ramen för Paulus polemik, medan James D. G. Dunn och N. T. Wright representerar den s.k. “nya Paulusforskningen”, där “lagens gärningar” ofta förstås som identitetsmarkörer kopplade till förbundstillhörighet. Dessa perspektiv ställs i dialog med mer traditionellt reformatoriskt orienterade tolkningar, såsom Joseph A. Fitzmyer och Douglas J. Moo, som tenderar att läsa texten i mer uttalat soteriologiska termer: lagen kan inte ge rättfärdighet eftersom människan är under synd, och rättfärdiggörelse ges av nåd genom tro.

Analysen fokuserar på hur Rom 3:21–31 framställer att Guds rättfärdighet har uppenbarats “utan lagen”, men samtidigt “bevittnad av lagen och profeterna”. Uppsatsen behandlar hur denna dubbla formulering kan förstås: dels som ett avståndstagande från lagen som frälsningsväg, dels som en bekräftelse på Skriftens vittnesbörd och Guds trofasthet. Vidare undersöks hur Paulus universaliserar syndens problem och därmed också universaliserar behovet av rättfärdiggörelse, vilket blir ett huvudargument för att både judar och hedningar omfattas av samma frälsningsordning. I detta sammanhang diskuteras Jewetts betoning av Romarbrevets retoriska och församlingsteologiska dimension, där frågan om gemenskap och enhet mellan grupper blir en bärande bakgrund till lagargumentationen.

Uppsatsen uppmärksammar även den exegetiska diskussionen kring nyckeluttryck som “genom tro på Jesus Kristus/Jesu Kristi trohet” och hur detta påverkar förståelsen av rättfärdiggörelsens grund. Här relateras även nyare bidrag, såsom Gregory Wares betoning av Kristi trofasthet och lydnad, till textens logik om hur Gud kan vara både rättfärdig och den som rättfärdiggör. Sammantaget argumenterar uppsatsen för att Paulus lagsyn i Rom 3:21–31 inte bäst förstås som ett enkelt avskaffande av lagen, utan som en ompositionering av lagen i frälsningshistorien: lagen avslöjar synd och kan inte skapa rättfärdighet, men den får en bekräftande funktion som vittne om Guds handlande och som del av den större berättelsen som kulminerar i Kristus. Genom denna omtolkning kan Paulus samtidigt förklara rättfärdiggörelse utan laggärningar och hävda att lagen “upprättas” när den förstås i relation till evangeliet."
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,Gudakungar i forntida Mesopotamien: En teologisk analys av två gudomligförklarade härskares legitimitet och kungamakt,Ämnet för denna undersökning är de teologiska perspektiven runt två gudomligförklarade kungar i det forntida Mesopotamien; nämligen den gammalakkadiske kungen Naram-Sin (ca. 2254-2218 f.kr.) och den nysumeriske kungen Shulgi (ca. 2094-2047 f.kr.). De teologiska perspektiven behandlas här med hjälp av en induktionsbaserad historisk undersökning som utgår från vad olika forskare har skrivit i ämnet. Eftersom detta är en c-uppsats och det inte har varit möjligt att använda sig av primärkällor såsom arkeologiskt material och historiska källor på originalspråk så utgår denna undersökning uteslutande från forskningslitteratur. Undersökningen består av tre delar; i de två första delarna behandlas de teologiska perspektiven på kungarna var för sig och i det tredje görs en jämförelse mellan perspektiven. Undersökningens upplägg ser ut på så sätt att först har det gjorts observationer av vad som står om de teologiska perspektiven på monarkerna i de olika forskarnas verk. Sedan har perspektiven brutits ner i olika delämnen och därefter har informationen om dem sorterats in i de olika delämnena. Utifrån detta försöker sedan undersökningen att skissa fram en bild av de teologiska perspektivens karaktär. Uppsatsens tyngdpunkt ligger framförallt på att peka på olika tendenser i de religiösa föreställningarna runt dem med avseende på vilka teman de kretsar kring. I undersökningen framkommer det att perspektiven är ganska spretiga och går i många olika riktningar och även att det finns skillnader och likheter i perspektiven mellan kungarna. Två teman som dock ofta återkommer är fruktbarhet och himlen.,"Denna studie undersöker fenomenet gudomligförklaring av kungar i det forntida Mesopotamien och hur detta kan förstås utifrån samtida teologiska perspektiv på kungamakt. Med fokus på två specifika gudomligförklarade härskare analyseras vilka religiösa föreställningar och ideologiska behov som möjliggjorde att en mänsklig kung kunde tillskrivas gudomlig status. Utgångspunkten är att gudomligförklaring inte enbart var ett uttryck för personlig kult eller propagandistisk överdrift, utan att den fungerade som ett teologiskt och politiskt verktyg för att legitimera och stabilisera kungens roll i relation till gudarna, städerna och riket.

Studien belyser hur kungamakt i Mesopotamien ofta formulerades genom ett religiöst språk där härskaren framställdes som gudarnas utvalde, deras representant på jorden eller – i vissa fall – som gudomlig i egen rätt. Genom att jämföra de två kungarnas gudomligförklaring framträder både kontinuitet och variation i hur gudomlighet knöts till kunglig auktoritet: exempelvis hur titlar, kultpraxis och rituella uttryck kunde användas för att konstruera en särskild status som översteg det mänskliga. Samtidigt diskuteras vilka gränser som fanns för denna typ av kunglig gudomlighet och hur den kan ha samspelat med etablerade föreställningar om den mesopotamiska gudavärldens hierarkier.

Sammanfattningsvis argumenterar uppsatsen för att gudomligförklarade kungar bör förstås som ett uttryck för en teologiskt förankrad legitimeringsstrategi där religion och politik inte kan skiljas åt. Genom att analysera två fallstudier visar arbetet hur gudomligförklaring bidrog till att befästa kungens centrala funktion som garant för kosmisk ordning, samhällelig stabilitet och gudomlig välvilja, och hur kungamakt därigenom kunde framstå som både nödvändig och heligt grundad."
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,"Skolavslutning i kyrkan? Lärares och lärarstudenters syn på kyrkorum, konfessionella inslag och sekularisering i skolans högtidsfirande",Denna studie syftar till att undersöka vad blivande lärare och aktiva lärare har för attityder tillskolavslutning och högtidsfirande i kyrkan samt skolavslutning och högtidsfirande i kyrkan medkonfessionella inslag. Studien baseras på en internetenkät som blivande lärare och aktiva läraresvarat på. Resultatet visar att den största andelen av de aktiva lärarna och blivande lärarna varpositiva till vistelsen i kyrkolokalerna i samband med skolavslutningar och högtidsfirande. Denstörsta andelen var däremot negativa till företeelsen med konfessionella inslag vid dessahögtidsfiranden. Äldre aktiva lärare och blivande lärare var i högre grad positiva till bådevistelsen i kyrkan och de konfessionella inslagen än de yngre. Slutsatserna är att sekulariseringeni Sverige ser ut att fortsätta i linje med de reviderade sekulariseringsteorierna; då konfessionalitetinte länge ses som något önskvärt bland den största andelen av aktiva lärare och blivande lärare.Dock finns det också nämnvärda avvikelser från detta mönster. Kyrkan fortsätter samtidigt ha ensekulär; traditionsbunden roll i skolan och är därför fortfarande relevant.,"Denna studie undersöker hur lärare och lärarstudenter förhåller sig till skolavslutningar och högtidsfirande som förläggs till kyrkor, med särskilt fokus på attityder till kyrkovistelse och eventuella konfessionella inslag. Utifrån en skolkontext präglad av sekularisering och krav på icke-konfessionalitet problematiseras kyrkan både som kulturell mötesplats och som religiöst rum, vilket kan skapa spänningar mellan tradition, värdegrundsuppdrag och juridiska/etiska riktlinjer.

Studiens utgångspunkt är att skolavslutningar ofta bär starka traditionella inslag som för många uppfattas som kulturarv och gemenskap, samtidigt som samma inslag av andra kan upplevas som exkluderande eller som ett avsteg från skolans religiösa neutralitet. Genom att belysa lärare och lärarstudenters perspektiv synliggörs hur professionella bedömningar formas i skärningspunkten mellan personliga övertygelser, tolkningar av skolans styrdokument och hänsyn till elevers olika religiösa och icke-religiösa bakgrunder.

Sammanfattningsvis visar studien att synen på kyrkan vid skolavslutningar ofta är ambivalent: många kan acceptera kyrkorummet som en praktisk och symboliskt laddad plats för gemensamt firande, under förutsättning att arrangemanget tydligt hålls inom ramen för ett icke-konfessionellt genomförande. Frågor om exempelvis bön, välsignelse, religiösa texter och psalmsång framträder som centrala markörer i gränsdragningen mellan tradition och konfession. Studien bidrar därmed med kunskap om hur skolans praktik förhandlas i ett sekulariserat samhälle, och pekar på behovet av tydlighet, didaktisk medvetenhet och inkluderande planering när skola och kyrka möts i samband med högtidsfirande."
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,Effektivare bygglovshantering vid ombyggnad av kulturhistoriskt värdefulla miljonprogramsområden: En fallstudie av Gavlegårdarnas Nya Nordost i Gävle,En stor del av Sveriges bebyggelse har byggts mellan 1965 och 1974 eftersom det rådde stor bostadsbrist i Sverige. Regeringen beslutade att en miljon bostäder skulle uppföras under denna tid; det s.k. miljonprogrammet. Det byggdes bostäder i varierande former och storlekar för att bygga bort bostadsbristen. Storskaligheten och en stor grad av upprepning av identiska hus är kännetecken för miljonprogrammets bebyggelser. Nu är det dags att renovera dessa byggnader. I och med att dessa byggnader är av allmänt intresse då de speglar en del av Sveriges arkitekturhistoria ställer kommunerna vissa krav vid renovering av dem. Det kommunala företaget Gavlegårdarna i Gävle tar initiativ till att utveckla bygglovsprocessen för sådana bebyggelser. Detta görs för att reducera tiden för framställande av ett godkänt bygglov samt effektivisera och underlätta kommunikationen med kommunen under hela projektet. För att kunna bevara dessa byggnader i högsta möjliga mån har Gavlegårdarna utarbetat en effektiviseringsprocess genom att hyra in en extern bevarandeexpert för att fungera som en bro mellan företaget och kommunen samt för att kunna dela med sig av sina erfarenheter gällande bevarandet av det eventuella området. Dessutom har Gavlegårdarna låtit kommunen vara med från ett tidigt skede; d.v.s. redan från den första presentationen av förslaget. Därmed har kommunen fått vara med och medverka i förslaget; redan innan bygglovsansökan.,"Denna studie undersöker hur bygglovsprocessen kan effektiviseras vid ändringar av kulturhistoriskt värdefull bebyggelse, med särskilt fokus på ett miljonprogramsområde inom ramen för Nya Nordostprojektet i Gävle. Utgångspunkten är den spänning som ofta uppstår mellan behovet av att utveckla och anpassa äldre bostadsbestånd—exempelvis genom renovering, energieffektivisering och trygghetsskapande åtgärder—och kraven på att bevara de kulturhistoriska värden som präglar miljonprogrammets arkitektur och planeringsideal.

Studien tar sin utgångspunkt i en fallstudie där bygglovsprocessens aktörer, steg och beslutsunderlag analyseras i relation till de praktiska förutsättningarna för ett större ombyggnads- och utvecklingsprojekt. Särskild vikt läggs vid hur roller och ansvar fördelas mellan fastighetsägare och projektorganisation (i detta fall Gavlegårdarna), kommunens handläggning samt bedömningar kopplade till kulturmiljö. Genom att belysa vilka moment som typiskt sett skapar ledtider—såsom otydliga kravbilder, iterativa kompletteringsrundor och svårtolkade avvägningar mellan bevarande och förändring—identifieras centrala flaskhalsar i processen.

Sammanfattningsvis visar studien att en mer förutsägbar och effektiv bygglovshantering i miljonprogramsområden kan uppnås genom tidigare dialog, tydligare riktlinjer för vilka förändringar som är förenliga med kulturhistoriska värden samt bättre samordning mellan projektets planering och bygglovets kravställning. En viktig slutsats är att effektivisering inte främst handlar om att minska prövningen, utan om att skapa gemensamma tolkningsramar och robusta beslutsunderlag som minskar osäkerhet, omtag och tidsförluster—särskilt i komplexa projekt där både utvecklingsmål och bevarandekrav måste hanteras parallellt."
