human_sentiment_label,human_sentiment_score,human_affective_extremity,human_is_subjective,human_emotion_neutral,human_emotion_surprise,human_emotion_anger,human_emotion_joy,human_emotion_disgust,human_emotion_fear,human_emotion_sadness,llm_sentiment_label,llm_sentiment_score,llm_affective_extremity,llm_is_subjective,llm_emotion_neutral,llm_emotion_joy,llm_emotion_surprise,llm_emotion_anger,llm_emotion_disgust,llm_emotion_sadness,llm_emotion_fear
NEUTRAL,0.8389950394630432,0.161005,0,0.29565081000328064,0.2912355363368988,0.17915067076683044,0.08162111043930054,0.05782535672187805,0.048224400728940964,0.046292103826999664,NEUTRAL,0.5695065259933472,0.430493,0,0.6308428049087524,0.22778794169425964,0.06228257715702057,0.03512350469827652,0.018808908760547638,0.014227673411369324,0.010926617309451103
NEUTRAL,0.8460039496421814,0.153996,0,0.07353746145963669,0.607117772102356,0.08546483516693115,0.0763176903128624,0.05975556746125221,0.05583226680755615,0.04197446256875992,NEUTRAL,0.8108832240104675,0.189117,0,0.17813019454479218,0.20595651865005493,0.38534095883369446,0.07044409215450287,0.07095492631196976,0.059223685413599014,0.029949603602290154
POSITIVE,0.8442267179489136,0.854066,1,0.028234900906682014,0.06794268637895584,0.017789505422115326,0.8626338243484497,0.007238992489874363,0.0062827724032104015,0.009877257980406284,POSITIVE,0.7616651654243469,0.785658,1,0.04866684973239899,0.8777863383293152,0.0225974190980196,0.014516890048980713,0.017711415886878967,0.010665718466043472,0.008055350743234158
NEUTRAL,0.8248903155326843,0.17511,0,0.8557031750679016,0.04740306735038757,0.020426103845238686,0.019040588289499283,0.013258961960673332,0.014863292686641216,0.029304813593626022,NEUTRAL,0.8610207438468933,0.138979,0,0.009528502821922302,0.036708246916532516,0.011869559064507484,0.45721131563186646,0.019221052527427673,0.011264883913099766,0.4541964828968048
NEUTRAL,0.9724326729774475,0.027567,0,0.08392315357923508,0.5612215995788574,0.06994982063770294,0.07697391510009766,0.07094525545835495,0.08475974202156067,0.05222654342651367,NEUTRAL,0.7567177414894104,0.243282,0,0.05186628922820091,0.2706989049911499,0.38689953088760376,0.10686343163251877,0.010576887056231499,0.14349809288978577,0.029596809297800064
NEUTRAL,0.8961010575294495,0.103899,0,0.12628991901874542,0.7597253918647766,0.026812393218278885,0.021566618233919144,0.03072230890393257,0.01917130872607231,0.015712065622210503,NEGATIVE,0.9723100662231445,0.973559,1,0.011147908866405487,0.015577470883727074,0.3133450746536255,0.008294712752103806,0.6377677917480469,0.0037105067167431116,0.010156538337469101
NEUTRAL,0.982311487197876,0.017689,0,0.11912807822227478,0.3260204792022705,0.10774063318967819,0.13896815478801727,0.14133332669734955,0.10786033421754837,0.05894901603460312,NEGATIVE,0.9598595499992371,0.961707,1,0.08315585553646088,0.2573513686656952,0.4107705354690552,0.02754342555999756,0.1371401697397232,0.04563009366393089,0.038408488035202026
NEUTRAL,0.9075153470039368,0.092485,0,0.06946117430925369,0.6499480605125427,0.04682217910885811,0.07840880751609802,0.07116576284170151,0.04113999381661415,0.04305403307080269,NEGATIVE,0.974922776222229,0.975726,1,0.06918732076883316,0.09880418330430984,0.3234740197658539,0.15578041970729828,0.1917695552110672,0.10965669900178909,0.05132786184549332
NEUTRAL,0.9505489468574524,0.049451,0,0.059496231377124786,0.8510926961898804,0.006796621717512608,0.06561268866062164,0.0080109853297472,0.005375897511839867,0.0036148710642009974,NEUTRAL,0.8927237391471863,0.107276,0,0.21114766597747803,0.28885307908058167,0.11616512387990952,0.13329194486141205,0.07167275995016098,0.06039784476161003,0.11847169697284698
NEUTRAL,0.9014967679977417,0.098503,0,0.037544962018728256,0.7390505075454712,0.0681743398308754,0.0599450021982193,0.04757015407085419,0.02244093269109726,0.025274066254496574,NEUTRAL,0.9613029956817627,0.038697,0,0.10251779109239578,0.11019665747880936,0.5051989555358887,0.08100248873233795,0.049228277057409286,0.05245925113558769,0.09939657896757126
