human_sentiment_label,human_p_pos,human_p_neg,human_p_neu,human_signed_polarity,human_affective_extremity,human_is_subjective,llm_sentiment_label,llm_p_pos,llm_p_neg,llm_p_neu,llm_signed_polarity,llm_affective_extremity,llm_is_subjective
NEUTRAL,0.108388,0.052617,0.838995,0.055771,0.161005,0,NEUTRAL,0.351255,0.02184,0.626905,0.329415,0.373095,0
NEUTRAL,0.106541,0.047456,0.846004,0.059085,0.153996,0,NEUTRAL,0.310474,0.055515,0.634011,0.254959,0.365989,0
POSITIVE,0.844227,0.009839,0.145934,0.834387,0.854066,1,POSITIVE,0.826581,0.006569,0.16685,0.820012,0.83315,1
NEUTRAL,0.140279,0.03483,0.82489,0.105449,0.17511,0,NEUTRAL,0.460826,0.025207,0.513967,0.435618,0.486033,0
NEUTRAL,0.008366,0.019202,0.972433,-0.010836,0.027567,0,NEUTRAL,0.144594,0.226293,0.629112,-0.081699,0.370888,0
NEUTRAL,0.016027,0.087872,0.896101,-0.071845,0.103899,0,NEGATIVE,0.002345,0.953744,0.043911,-0.951398,0.956089,1
NEUTRAL,0.007401,0.010288,0.982311,-0.002887,0.017689,0,NEGATIVE,0.00063,0.986987,0.012382,-0.986357,0.987618,1
NEUTRAL,0.011095,0.081389,0.907515,-0.070294,0.092485,0,NEGATIVE,0.001882,0.89124,0.106879,-0.889358,0.893121,1
NEUTRAL,0.025499,0.023952,0.950549,0.001547,0.049451,0,NEUTRAL,0.011289,0.02028,0.96843,-0.008991,0.03157,0
NEUTRAL,0.011312,0.087191,0.901497,-0.075879,0.098503,0,NEUTRAL,0.018584,0.020491,0.960925,-0.001906,0.039075,0
POSITIVE,0.969842,0.001946,0.028212,0.967895,0.971788,1,POSITIVE,0.464032,0.239705,0.296263,0.224327,0.703737,1
NEUTRAL,0.107951,0.134041,0.758008,-0.02609,0.241992,0,NEGATIVE,0.293406,0.372291,0.334303,-0.078884,0.665697,1
NEUTRAL,0.401404,0.013841,0.584755,0.387563,0.415245,0,NEUTRAL,0.370334,0.211997,0.417669,0.158337,0.582331,0
NEUTRAL,0.023705,0.044612,0.931683,-0.020908,0.068317,0,POSITIVE,0.486916,0.073542,0.439542,0.413374,0.560458,1
NEGATIVE,0.01719,0.633833,0.348977,-0.616644,0.651023,1,NEGATIVE,0.344301,0.357148,0.29855,-0.012847,0.70145,1
NEUTRAL,0.010454,0.04233,0.947216,-0.031875,0.052784,0,NEUTRAL,0.066816,0.037339,0.895845,0.029476,0.104155,0
NEUTRAL,0.020381,0.057021,0.922598,-0.03664,0.077402,0,NEUTRAL,0.095872,0.039702,0.864426,0.056169,0.135574,0
NEGATIVE,0.011376,0.873262,0.115361,-0.861886,0.884639,1,NEUTRAL,0.476516,0.04643,0.477054,0.430086,0.522946,0
NEUTRAL,0.291777,0.037975,0.670247,0.253802,0.329753,0,NEUTRAL,0.065393,0.031217,0.90339,0.034176,0.09661,0
NEUTRAL,0.186553,0.009394,0.804054,0.177159,0.195946,0,NEUTRAL,0.073858,0.088772,0.837371,-0.014914,0.162629,0
NEGATIVE,0.003433,0.966802,0.029765,-0.963368,0.970235,1,POSITIVE,0.734091,0.015949,0.24996,0.718142,0.75004,1
NEUTRAL,0.040065,0.066519,0.893415,-0.026454,0.106585,0,NEUTRAL,0.091322,0.044863,0.863815,0.046459,0.136185,0
POSITIVE,0.681089,0.005965,0.312947,0.675124,0.687053,1,NEUTRAL,0.030949,0.029994,0.939058,0.000955,0.060942,0
NEUTRAL,0.017701,0.318737,0.663561,-0.301036,0.336439,0,NEUTRAL,0.022103,0.016779,0.961118,0.005323,0.038882,0
NEUTRAL,0.008457,0.017548,0.973995,-0.009091,0.026005,0,NEUTRAL,0.021093,0.027231,0.951676,-0.006137,0.048324,0
POSITIVE,0.676406,0.009228,0.314367,0.667178,0.685633,1,NEUTRAL,0.019874,0.014636,0.96549,0.005237,0.03451,0
NEUTRAL,0.203986,0.042978,0.753036,0.161009,0.246964,0,NEUTRAL,0.028623,0.031743,0.939633,-0.00312,0.060367,0
POSITIVE,0.775746,0.005054,0.2192,0.770692,0.7808,1,NEUTRAL,0.011492,0.217742,0.770766,-0.206251,0.229234,0
NEUTRAL,0.01672,0.026979,0.956302,-0.010259,0.043698,0,NEUTRAL,0.013088,0.080452,0.90646,-0.067364,0.09354,0
NEUTRAL,0.101965,0.051639,0.846395,0.050326,0.153605,0,NEUTRAL,0.029286,0.092688,0.878025,-0.063402,0.121975,0
NEGATIVE,0.000514,0.992919,0.006566,-0.992405,0.993434,1,NEGATIVE,0.000591,0.993985,0.005424,-0.993393,0.994576,1
NEUTRAL,0.006412,0.460244,0.533344,-0.453832,0.466656,0,NEGATIVE,0.000352,0.995532,0.004116,-0.995181,0.995884,1
NEUTRAL,0.248239,0.020958,0.730803,0.227282,0.269197,0,NEGATIVE,0.000723,0.982177,0.0171,-0.981454,0.9829,1
NEUTRAL,0.022311,0.107479,0.87021,-0.085168,0.12979,0,NEGATIVE,0.000834,0.986424,0.012741,-0.98559,0.987259,1
NEUTRAL,0.121692,0.028454,0.849854,0.093238,0.150146,0,NEUTRAL,0.04723,0.128963,0.823806,-0.081733,0.176194,0
NEGATIVE,0.012724,0.59849,0.388786,-0.585766,0.611214,1,NEUTRAL,0.103396,0.015485,0.881119,0.087911,0.118881,0
POSITIVE,0.787861,0.004652,0.207487,0.783209,0.792513,1,NEUTRAL,0.054793,0.028862,0.916345,0.025931,0.083655,0
NEUTRAL,0.059463,0.056419,0.884118,0.003045,0.115882,0,NEUTRAL,0.241285,0.014021,0.744694,0.227264,0.255306,0
NEUTRAL,0.093806,0.015944,0.89025,0.077863,0.10975,0,NEUTRAL,0.187446,0.009753,0.802801,0.177693,0.197199,0
NEUTRAL,0.139604,0.037389,0.823007,0.102214,0.176993,0,NEUTRAL,0.069101,0.025286,0.905613,0.043814,0.094387,0
NEUTRAL,0.03417,0.010841,0.954988,0.023329,0.045012,0,NEUTRAL,0.237716,0.018919,0.743366,0.218797,0.256634,0
NEUTRAL,0.031952,0.068614,0.899433,-0.036662,0.100567,0,NEUTRAL,0.054621,0.056407,0.888973,-0.001786,0.111027,0
NEUTRAL,0.020354,0.074795,0.904851,-0.054441,0.095149,0,NEUTRAL,0.113139,0.054331,0.83253,0.058808,0.16747,0
NEGATIVE,0.038087,0.599755,0.362159,-0.561668,0.637841,1,NEUTRAL,0.07171,0.122784,0.805506,-0.051074,0.194494,0
NEUTRAL,0.042823,0.135899,0.821278,-0.093076,0.178722,0,NEUTRAL,0.081401,0.122372,0.796228,-0.040971,0.203772,0
NEUTRAL,0.081648,0.027793,0.890559,0.053855,0.109441,0,NEUTRAL,0.149555,0.068257,0.782188,0.081298,0.217812,0
NEGATIVE,0.000905,0.991946,0.007149,-0.99104,0.992851,1,NEGATIVE,0.001294,0.899682,0.099024,-0.898387,0.900976,1
NEUTRAL,0.004211,0.002329,0.993459,0.001882,0.006541,0,NEUTRAL,0.014057,0.008584,0.977359,0.005473,0.022641,0
NEGATIVE,0.075819,0.578697,0.345483,-0.502878,0.654517,1,NEUTRAL,0.45021,0.04593,0.503861,0.40428,0.496139,0
NEUTRAL,0.116304,0.133919,0.749776,-0.017615,0.250224,0,NEUTRAL,0.320691,0.03649,0.642819,0.284201,0.357181,0
NEUTRAL,0.062907,0.229805,0.707288,-0.166898,0.292712,0,NEUTRAL,0.359214,0.083118,0.557667,0.276096,0.442333,0
NEUTRAL,0.068878,0.285986,0.645136,-0.217108,0.354864,0,POSITIVE,0.521773,0.093284,0.384942,0.428489,0.615058,1
NEGATIVE,0.055125,0.491705,0.453169,-0.43658,0.546831,1,POSITIVE,0.454154,0.116755,0.429091,0.337399,0.570909,1
NEUTRAL,0.011478,0.016932,0.97159,-0.005454,0.02841,0,NEUTRAL,0.047529,0.030606,0.921865,0.016924,0.078135,0
NEUTRAL,0.009488,0.454205,0.536307,-0.444717,0.463693,0,NEUTRAL,0.037513,0.027359,0.935128,0.010153,0.064872,0
NEUTRAL,0.034155,0.028648,0.937197,0.005507,0.062803,0,NEUTRAL,0.040751,0.032035,0.927213,0.008716,0.072787,0
NEGATIVE,0.013656,0.661845,0.324499,-0.648188,0.675501,1,NEUTRAL,0.024675,0.010989,0.964336,0.013686,0.035664,0
NEGATIVE,0.007096,0.545319,0.447585,-0.538222,0.552415,1,NEUTRAL,0.011374,0.013183,0.975443,-0.001809,0.024557,0
NEUTRAL,0.007314,0.006831,0.985855,0.000483,0.014145,0,NEUTRAL,0.015295,0.011941,0.972763,0.003354,0.027237,0
NEUTRAL,0.00909,0.34427,0.646639,-0.33518,0.353361,0,NEUTRAL,0.039037,0.009797,0.951166,0.02924,0.048834,0
NEUTRAL,0.011197,0.234831,0.753972,-0.223633,0.246028,0,NEUTRAL,0.050433,0.009077,0.940489,0.041356,0.059511,0
NEGATIVE,0.005385,0.863958,0.130656,-0.858573,0.869344,1,NEUTRAL,0.016098,0.019492,0.96441,-0.003395,0.03559,0
NEGATIVE,0.005046,0.590749,0.404205,-0.585703,0.595795,1,NEUTRAL,0.008073,0.031662,0.960265,-0.023589,0.039735,0
NEUTRAL,0.014626,0.074802,0.910572,-0.060176,0.089428,0,NEUTRAL,0.020979,0.006173,0.972848,0.014806,0.027152,0
NEUTRAL,0.019611,0.055163,0.925226,-0.035552,0.074774,0,NEUTRAL,0.022829,0.005632,0.971539,0.017198,0.028461,0
NEUTRAL,0.194326,0.051765,0.75391,0.142561,0.24609,0,NEUTRAL,0.016594,0.013258,0.970148,0.003336,0.029852,0
NEGATIVE,0.003462,0.847476,0.149062,-0.844015,0.850938,1,NEUTRAL,0.033497,0.007641,0.958862,0.025856,0.041138,0
NEUTRAL,0.022654,0.021352,0.955994,0.001303,0.044006,0,NEGATIVE,0.004735,0.884783,0.110482,-0.880047,0.889518,1
NEUTRAL,0.013255,0.262624,0.72412,-0.249369,0.27588,0,NEUTRAL,0.053782,0.042834,0.903383,0.010948,0.096617,0
NEUTRAL,0.064639,0.1407,0.794661,-0.076062,0.205339,0,NEUTRAL,0.063621,0.028015,0.908364,0.035606,0.091636,0
NEUTRAL,0.010618,0.13164,0.857742,-0.121022,0.142258,0,NEUTRAL,0.097019,0.021626,0.881354,0.075393,0.118646,0
NEUTRAL,0.034678,0.224839,0.740483,-0.190161,0.259517,0,NEUTRAL,0.042431,0.01162,0.945948,0.030811,0.054052,0
NEGATIVE,0.013189,0.580529,0.406281,-0.56734,0.593719,1,NEUTRAL,0.064847,0.042507,0.892646,0.02234,0.107354,0
NEUTRAL,0.062406,0.373784,0.56381,-0.311378,0.43619,0,NEUTRAL,0.040117,0.00765,0.952233,0.032467,0.047767,0
POSITIVE,0.819897,0.003445,0.176658,0.816452,0.823342,1,NEUTRAL,0.041286,0.01635,0.942364,0.024936,0.057636,0
NEUTRAL,0.106157,0.027201,0.866643,0.078956,0.133357,0,NEUTRAL,0.030507,0.015865,0.953628,0.014642,0.046372,0
NEUTRAL,0.149105,0.010237,0.840658,0.138868,0.159342,0,NEUTRAL,0.029731,0.019398,0.95087,0.010333,0.04913,0
POSITIVE,0.981679,0.000307,0.018015,0.981372,0.981985,1,NEUTRAL,0.012471,0.032814,0.954715,-0.020343,0.045285,0
NEUTRAL,0.101593,0.062244,0.836164,0.039348,0.163836,0,NEUTRAL,0.024512,0.032118,0.94337,-0.007606,0.05663,0
NEUTRAL,0.015884,0.018893,0.965223,-0.003009,0.034777,0,NEUTRAL,0.029001,0.051276,0.919724,-0.022275,0.080276,0
NEUTRAL,0.017712,0.023457,0.958832,-0.005745,0.041168,0,NEUTRAL,0.014517,0.025271,0.960212,-0.010754,0.039788,0
