human_sentiment_label,human_p_pos,human_p_neg,human_p_neu,human_signed_polarity,human_affective_extremity,human_is_subjective,llm_sentiment_label,llm_p_pos,llm_p_neg,llm_p_neu,llm_signed_polarity,llm_affective_extremity,llm_is_subjective
NEUTRAL,0.108388,0.052617,0.838995,0.055771,0.161005,0,POSITIVE,0.876396,0.004432,0.119171,0.871964,0.880829,1
NEUTRAL,0.106541,0.047456,0.846004,0.059085,0.153996,0,NEUTRAL,0.118115,0.018363,0.863522,0.099752,0.136478,0
POSITIVE,0.844227,0.009839,0.145934,0.834387,0.854066,1,NEUTRAL,0.102288,0.063323,0.834389,0.038965,0.165611,0
NEUTRAL,0.140279,0.03483,0.82489,0.105449,0.17511,0,NEUTRAL,0.076857,0.02967,0.893473,0.047188,0.106527,0
NEUTRAL,0.008366,0.019202,0.972433,-0.010836,0.027567,0,NEUTRAL,0.117157,0.027974,0.854869,0.089182,0.145131,0
NEUTRAL,0.016027,0.087872,0.896101,-0.071845,0.103899,0,NEGATIVE,0.000764,0.977054,0.022182,-0.97629,0.977818,1
NEUTRAL,0.007401,0.010288,0.982311,-0.002887,0.017689,0,NEGATIVE,0.000599,0.985274,0.014127,-0.984675,0.985873,1
NEUTRAL,0.011095,0.081389,0.907515,-0.070294,0.092485,0,NEGATIVE,0.001903,0.975186,0.022911,-0.973283,0.977089,1
NEUTRAL,0.025499,0.023952,0.950549,0.001547,0.049451,0,NEGATIVE,0.001654,0.943226,0.05512,-0.941572,0.94488,1
NEUTRAL,0.011312,0.087191,0.901497,-0.075879,0.098503,0,NEUTRAL,0.010875,0.085601,0.903524,-0.074726,0.096476,0
POSITIVE,0.969842,0.001946,0.028212,0.967895,0.971788,1,NEGATIVE,0.076111,0.663617,0.260272,-0.587505,0.739728,1
NEUTRAL,0.107951,0.134041,0.758008,-0.02609,0.241992,0,NEUTRAL,0.097702,0.41471,0.487588,-0.317008,0.512412,0
NEUTRAL,0.401404,0.013841,0.584755,0.387563,0.415245,0,NEGATIVE,0.024038,0.895397,0.080565,-0.871359,0.919435,1
NEUTRAL,0.023705,0.044612,0.931683,-0.020908,0.068317,0,NEGATIVE,0.075769,0.500051,0.424181,-0.424282,0.575819,1
NEGATIVE,0.01719,0.633833,0.348977,-0.616644,0.651023,1,NEGATIVE,0.047155,0.787587,0.165259,-0.740432,0.834741,1
NEUTRAL,0.010454,0.04233,0.947216,-0.031875,0.052784,0,NEUTRAL,0.060471,0.184647,0.754882,-0.124176,0.245118,0
NEUTRAL,0.020381,0.057021,0.922598,-0.03664,0.077402,0,NEGATIVE,0.01187,0.716864,0.271266,-0.704994,0.728734,1
NEGATIVE,0.011376,0.873262,0.115361,-0.861886,0.884639,1,NEUTRAL,0.084977,0.065734,0.849289,0.019243,0.150711,0
NEUTRAL,0.291777,0.037975,0.670247,0.253802,0.329753,0,NEUTRAL,0.277277,0.095359,0.627364,0.181918,0.372636,0
NEUTRAL,0.186553,0.009394,0.804054,0.177159,0.195946,0,NEGATIVE,0.031174,0.623716,0.34511,-0.592542,0.65489,1
NEGATIVE,0.003433,0.966802,0.029765,-0.963368,0.970235,1,NEGATIVE,0.019842,0.815455,0.164702,-0.795613,0.835298,1
NEUTRAL,0.040065,0.066519,0.893415,-0.026454,0.106585,0,NEUTRAL,0.164533,0.400362,0.435106,-0.235829,0.564894,0
POSITIVE,0.681089,0.005965,0.312947,0.675124,0.687053,1,NEUTRAL,0.152925,0.084599,0.762476,0.068326,0.237524,0
NEUTRAL,0.017701,0.318737,0.663561,-0.301036,0.336439,0,NEUTRAL,0.04139,0.12753,0.83108,-0.086141,0.16892,0
NEUTRAL,0.008457,0.017548,0.973995,-0.009091,0.026005,0,NEUTRAL,0.150257,0.04746,0.802283,0.102798,0.197717,0
POSITIVE,0.676406,0.009228,0.314367,0.667178,0.685633,1,NEUTRAL,0.030769,0.465548,0.503683,-0.434779,0.496317,0
NEUTRAL,0.203986,0.042978,0.753036,0.161009,0.246964,0,NEUTRAL,0.017985,0.252524,0.72949,-0.234539,0.27051,0
POSITIVE,0.775746,0.005054,0.2192,0.770692,0.7808,1,NEUTRAL,0.009219,0.232537,0.758244,-0.223317,0.241756,0
NEUTRAL,0.01672,0.026979,0.956302,-0.010259,0.043698,0,NEUTRAL,0.013483,0.253371,0.733145,-0.239888,0.266855,0
NEUTRAL,0.101965,0.051639,0.846395,0.050326,0.153605,0,NEUTRAL,0.140391,0.22932,0.630289,-0.088929,0.369711,0
NEGATIVE,0.000514,0.992919,0.006566,-0.992405,0.993434,1,NEGATIVE,0.009011,0.807187,0.183802,-0.798176,0.816198,1
NEUTRAL,0.006412,0.460244,0.533344,-0.453832,0.466656,0,NEGATIVE,0.001875,0.959579,0.038545,-0.957704,0.961455,1
NEUTRAL,0.248239,0.020958,0.730803,0.227282,0.269197,0,NEGATIVE,0.001752,0.948871,0.049378,-0.947119,0.950622,1
