tag,Formal Human,Formal LLM,Informal Human,Informal LLM
ADJ,0.08659913784853221,0.10208038185780588,0.07504485190106173,0.09488488403074054
ADP,0.13339970663981204,0.11797541888347794,0.07785144079865881,0.06785083744068536
ADV,0.046923192611902614,0.06343653417032678,0.1003007370068573,0.11388884213584724
AUX,0.04225610414798626,0.024612021160819057,0.05090257378834448,0.045994193479804296
CCONJ,0.04489466077142928,0.07945192693507445,0.032251725924282014,0.044259021942260564
DET,0.05367091410263025,0.03518644770736364,0.0385872609743626,0.02570565880035896
NOUN,0.2706843992150121,0.3028583189982604,0.18834305617864303,0.17121629921134812
PRON,0.059343631257040064,0.026022404393800914,0.09850567285088817,0.08637839810807543
PUNCT,0.07440300074923449,0.08405344194698228,0.12919088207774257,0.13336651468889613
VERB,0.11509536245580597,0.11311593699885758,0.10969664130461541,0.11753045593622778
