dataset,feature,metric,value,human_tokens,llm_tokens
formal,dependency_distribution,JS_divergence,,29396.0,0.0
formal,NER_distribution,JS_divergence,,283.0,0.0
formal,sentiment_distribution,JS_divergence,0.0,,
formal,dep_distance_mean,Wasserstein,0.37844182706511886,,
formal,tree_depth_mean,Wasserstein,1.4672017802983333,,
formal,tree_depth_max,Wasserstein,1.0705882352941178,,
formal,subordinate_clause_rate,Wasserstein,0.4148662564868867,,
formal,n_sentences,Wasserstein,4.217647058823529,,
formal,bigram_repetition_rate,Wasserstein,0.031371189363035595,,
formal,trigram_repetition_rate,Wasserstein,0.014556236244777827,,
formal,function_word_rate,Wasserstein,0.04895988107691519,,
formal,ttr,Wasserstein,0.054668379777880936,,
formal,mattr,Wasserstein,0.06651551628633505,,
formal,mtld,Wasserstein,50.84721436276509,,
formal,punct_period,Wasserstein,1.8260792097979528,,
formal,punct_exclaim,Wasserstein,0.0,,
formal,punct_question,Wasserstein,0.10294806601733153,,
formal,punct_comma,Wasserstein,3.147145935723368,,
formal,punct_semicolon,Wasserstein,0.5541906505255311,,
formal,punct_colon,Wasserstein,0.2892951584399559,,
formal,punct_dash,Wasserstein,0.2556200785547278,,
formal,punct_ellipsis,Wasserstein,0.0,,
formal,hedge_rate,Wasserstein,0.0709015009948635,,
formal,hedge_count,Wasserstein,0.15294117647058814,,
formal,booster_rate,Wasserstein,0.039192675360473835,,
formal,booster_count,Wasserstein,0.06470588235294117,,
formal,negation_rate,Wasserstein,0.2044152371782317,,
formal,negation_count,Wasserstein,0.34705882352941186,,
formal,epistemic_rate,Wasserstein,0.26705596211539745,,
formal,epistemic_count,Wasserstein,0.4882352941176472,,
formal,discourse_particle_rate,Wasserstein,0.16016390353192997,,
formal,discourse_particle_count,Wasserstein,0.3529411764705881,,
formal,negation_sentence_rate,Wasserstein,0.011181428579867973,,
formal,n_alpha_tokens,Wasserstein,41.76470588235293,,
formal,n_sentences,Wasserstein,4.217647058823529,,
formal,sentiment_score,Wasserstein,0.023473017355974977,,
formal,affective_extremity,Wasserstein,0.023473041176470585,,
formal,is_subjective,Wasserstein,0.0,,
formal,emotion_neutral,Wasserstein,0.03989469519651988,,
formal,emotion_disgust,Wasserstein,0.039951120169066344,,
formal,emotion_surprise,Wasserstein,0.06048286427908084,,
formal,emotion_joy,Wasserstein,0.021987285796443337,,
formal,emotion_fear,Wasserstein,0.027824216670192352,,
formal,emotion_anger,Wasserstein,0.023093885139507407,,
formal,emotion_sadness,Wasserstein,0.014724925439804795,,
