dataset,condition,feature,metric,value,human_tokens,llm_tokens
informal,baseline,dependency_distribution,JS_divergence,0.10197768284506137,67147.0,134923.0
informal,baseline,NER_distribution,JS_divergence,0.13630612109199522,764.0,1069.0
informal,baseline,dep_distance_mean,Wasserstein,0.3426377670160109,,
informal,baseline,tree_depth_mean,Wasserstein,0.5122829118716801,,
informal,baseline,tree_depth_max,Wasserstein,1.3821603927986905,,
informal,baseline,subordinate_clause_rate,Wasserstein,0.3842775802572144,,
informal,baseline,n_sentences,Wasserstein,3.1669394435351883,,
informal,baseline,bigram_repetition_rate,Wasserstein,0.009132590181182211,,
informal,baseline,trigram_repetition_rate,Wasserstein,0.0013144949585990294,,
informal,baseline,function_word_rate,Wasserstein,0.05228243713503583,,
informal,baseline,ttr,Wasserstein,0.1191929279975145,,
informal,baseline,mattr,Wasserstein,0.10964269194544668,,
informal,baseline,mtld,Wasserstein,25.18011507875326,,
informal,baseline,punct_period,Wasserstein,5.587664408505601,,
informal,baseline,punct_exclaim,Wasserstein,1.5420224355934158,,
informal,baseline,punct_question,Wasserstein,1.3365791495730657,,
informal,baseline,punct_comma,Wasserstein,1.7080351391062358,,
informal,baseline,punct_semicolon,Wasserstein,0.06916407276666134,,
informal,baseline,punct_colon,Wasserstein,0.9355435757843845,,
informal,baseline,punct_dash,Wasserstein,0.1446811604600485,,
informal,baseline,punct_ellipsis,Wasserstein,0.3937891125168198,,
informal,baseline,hedge_rate,Wasserstein,1.080681484524549,,
informal,baseline,hedge_count,Wasserstein,1.0360065466448447,,
informal,baseline,booster_rate,Wasserstein,0.714353913503625,,
informal,baseline,booster_count,Wasserstein,0.6333878887070379,,
informal,baseline,negation_rate,Wasserstein,1.4181311098097533,,
informal,baseline,negation_count,Wasserstein,0.17839607201309388,,
informal,baseline,epistemic_rate,Wasserstein,0.30485596093084844,,
informal,baseline,epistemic_count,Wasserstein,0.23813420621931247,,
informal,baseline,discourse_particle_rate,Wasserstein,0.6517553598636546,,
informal,baseline,discourse_particle_count,Wasserstein,0.3256955810147302,,
informal,baseline,negation_sentence_rate,Wasserstein,0.12006871860254761,,
informal,baseline,n_alpha_tokens,Wasserstein,49.47135842880526,,
informal,baseline,n_sentences,Wasserstein,3.1669394435351883,,
informal,human_like,dependency_distribution,JS_divergence,0.10278769489643584,67147.0,129777.0
informal,human_like,NER_distribution,JS_divergence,0.0934066835295507,764.0,825.0
informal,human_like,dep_distance_mean,Wasserstein,0.3915170968672984,,
informal,human_like,tree_depth_mean,Wasserstein,0.39476869750388865,,
informal,human_like,tree_depth_max,Wasserstein,1.3036006546644845,,
informal,human_like,subordinate_clause_rate,Wasserstein,0.38062211743852375,,
informal,human_like,n_sentences,Wasserstein,3.7569558101473,,
informal,human_like,bigram_repetition_rate,Wasserstein,0.010744400034951977,,
