generator,register,condition,n_per_class,matched_cv_roc_auc,mean_pair_cosine,permutation_p_value,null_mean_auc,n_permutations,ci95_lo,ci95_hi,published_auc,published_n,delta
GPT-5.2,formal,baseline,100,0.643,0.7728,0.002997002997002997,0.503,1000,0.5668,0.7192,0.754,170.0,-0.111
GPT-5.2,formal,human_like,100,0.643,0.7719,0.004995004995004995,0.5027,1000,0.5668,0.7192,0.7642,170.0,-0.1212
GPT-5.2,formal,detector_evasive,100,0.813,0.7495,0.000999000999000999,0.5031,1000,0.7533,0.8727,0.8799,170.0,-0.0669
Mistral 3.2,formal,baseline,100,0.935,0.7754,0.000999000999000999,0.5037,1000,0.8992,0.9708,0.9652,170.0,-0.0302
Mistral 3.2,formal,human_like,100,0.925,0.7752,0.000999000999000999,0.5035,1000,0.8865,0.9635,0.9517,170.0,-0.0267
Mistral 3.2,formal,detector_evasive,100,0.909,0.7655,0.000999000999000999,0.5028,1000,0.8667,0.9513,0.9426,170.0,-0.0336
GPT-5.6,formal,baseline,100,0.792,0.7893,0.000999000999000999,0.5032,1000,0.7295,0.8545,0.792,100.0,0.0
GPT-5.6,formal,human_like,100,0.7275,0.7912,0.000999000999000999,0.5034,1000,0.6577,0.7973,0.7275,100.0,0.0
GPT-5.6,formal,detector_evasive,98,0.747,0.7833,0.000999000999000999,0.5015,1000,0.6785,0.8155,0.747,98.0,0.0
GPT-5.2,informal,baseline,100,0.886,0.4594,0.000999000999000999,0.514,1000,0.8387,0.9333,0.9596,1149.0,-0.0736
GPT-5.2,informal,human_like,100,0.898,0.4623,0.000999000999000999,0.511,1000,0.8532,0.9428,0.9629,1149.0,-0.0649
GPT-5.2,informal,detector_evasive,100,0.935,0.4583,0.000999000999000999,0.5146,1000,0.8992,0.9708,0.9812,1149.0,-0.0462
Mistral 3.2,informal,baseline,100,0.9165,0.4402,0.000999000999000999,0.5156,1000,0.8759,0.9571,0.9647,1149.0,-0.0482
Mistral 3.2,informal,human_like,100,0.9535,0.4583,0.000999000999000999,0.5143,1000,0.9233,0.9837,0.9762,1149.0,-0.0227
Mistral 3.2,informal,detector_evasive,100,0.874,0.4478,0.000999000999000999,0.5096,1000,0.8244,0.9236,0.9584,1149.0,-0.0844
GPT-5.6,informal,baseline,100,0.7895,0.4385,0.000999000999000999,0.5115,1000,0.7266,0.8524,0.7895,100.0,0.0
GPT-5.6,informal,human_like,100,0.7805,0.4413,0.000999000999000999,0.5122,1000,0.7165,0.8445,0.7805,100.0,0.0
GPT-5.6,informal,detector_evasive,100,0.823,0.4615,0.000999000999000999,0.514,1000,0.7648,0.8812,0.823,100.0,0.0
