feature_group,feature,analysis,purpose,equation,results_formal,results_informal,dz_formal_baseline,dz_formal_human_like,dz_formal_detector_aware,dz_formal_detector_evasive,dz_informal_baseline,dz_informal_human_like,dz_informal_detector_aware,dz_informal_detector_evasive,summary
syntactic_complexity,dep_distance_mean,Mean dependency distance,"Syntactic complexity: how far dependents sit from their heads (larger = more embedded, non-local structure).",mean over non-ROOT tokens of |token_index - head_index| per document.,base +1.02* | h-like +1.38* | det-aware +0.79* | det-evasive -1.17*,base +0.32* | h-like +0.91* | det-aware +0.77* | det-evasive -0.28*,1.02,1.383,0.795,-1.167,0.324,0.906,0.769,-0.281,mixed (direction varies by condition); up to large effect (|dz|max 1.38); significant in 8 of 8 tests
syntactic_complexity,tree_depth_mean,Parse-tree depth (mean),Average depth of syntactic nesting per sentence.,per sentence: longest ROOT-to-leaf path in the dependency tree; averaged over sentences.,base +1.27* | h-like +1.23* | det-aware +0.57* | det-evasive -1.33*,base +0.30* | h-like +0.63* | det-aware +0.45* | det-evasive -0.59*,1.27,1.232,0.572,-1.333,0.296,0.631,0.453,-0.595,mixed (direction varies by condition); up to large effect (|dz|max 1.33); significant in 8 of 8 tests
syntactic_complexity,tree_depth_max,Parse-tree depth (max),Deepest syntactic nesting reached in the document.,maximum over sentences of the longest ROOT-to-leaf path.,base +0.51* | h-like +0.75* | det-aware +0.54* | det-evasive -0.39*,base +0.66* | h-like +1.06* | det-aware +0.94* | det-evasive +0.27*,0.513,0.75,0.537,-0.39,0.662,1.064,0.938,0.269,mixed (direction varies by condition); up to large effect (|dz|max 1.06); significant in 8 of 8 tests
syntactic_complexity,subordinate_clause_rate,Subordinate clauses per sentence,Density of subordination / clausal embedding.,"count of subordinating arcs (advcl, relcl, acl, acl:relcl, csubj, csubj:pass, ccomp) / number of sentences.",base +0.48* | h-like +0.72* | det-aware +0.57* | det-evasive -0.89*,base +0.24* | h-like +0.32* | det-aware +0.19* | det-evasive -0.60*,0.479,0.721,0.566,-0.89,0.238,0.317,0.192,-0.602,mixed (direction varies by condition); up to large effect (|dz|max 0.89); significant in 8 of 8 tests
syntactic_complexity,n_sentences,Sentence count,Document length in sentences (structural size).,number of spaCy-segmented sentences in the document.,base -0.44* | h-like +0.36* | det-aware +0.65* | det-evasive +1.94*,base +0.78* | h-like +1.17* | det-aware +1.28* | det-evasive +1.65*,-0.443,0.356,0.655,1.938,0.782,1.167,1.284,1.646,mixed (direction varies by condition); up to large effect (|dz|max 1.94); significant in 8 of 8 tests
stylometric_surface,mtld,MTLD (lexical diversity),Length-robust lexical diversity (vocabulary variety independent of text length).,"bidirectional Measure of Textual Lexical Diversity: mean token-run length keeping sequential TTR > 0.72, averaged forward+backward (McCarthy & Jarvis 2010).",base +1.43* | h-like +1.51* | det-aware +1.80* | det-evasive -0.83*,base +0.34* | h-like +0.74* | det-aware +0.72* | det-evasive +0.83*,1.429,1.507,1.802,-0.826,0.342,0.745,0.72,0.829,mixed (direction varies by condition); up to large effect (|dz|max 1.80); significant in 8 of 8 tests
stylometric_surface,mattr,MATTR (moving-average TTR),Length-robust vocabulary richness via a sliding window.,mean of type-token ratio computed over every 100-token window.,base +1.22* | h-like +1.13* | det-aware +1.35* | det-evasive -0.45*,base -0.74* | h-like -0.71* | det-aware -0.75* | det-evasive -0.56*,1.223,1.126,1.351,-0.452,-0.739,-0.706,-0.745,-0.564,mixed (direction varies by condition); up to large effect (|dz|max 1.35); significant in 8 of 8 tests
stylometric_surface,ttr,Type-token ratio (TTR),Raw vocabulary richness (sensitive to text length).,unique lowercased alpha tokens / total alpha tokens.,base +0.54* | h-like -0.29* | det-aware -0.13 | det-evasive -1.67*,base -0.74* | h-like -1.16* | det-aware -1.17* | det-evasive -0.87*,0.542,-0.292,-0.126,-1.669,-0.741,-1.159,-1.168,-0.868,mixed (direction varies by condition); up to large effect (|dz|max 1.67); significant in 7 of 8 tests
stylometric_surface,function_word_rate,Function-word rate,Proportion of grammatical (closed-class) words vs content words.,alpha tokens found in a Swedish function-word list / total alpha tokens.,base -0.87* | h-like -0.51* | det-aware -0.10 | det-evasive +0.10,base +0.15* | h-like -0.09* | det-aware -0.00* | det-evasive -0.26*,-0.87,-0.505,-0.102,0.105,0.146,-0.089,-0.003,-0.265,mixed (direction varies by condition); up to large effect (|dz|max 0.87); significant in 6 of 8 tests
stylometric_surface,bigram_repetition_rate,Bigram repetition rate,Local repetitiveness / templated phrasing.,repeated bigram occurrences / total bigrams over alpha tokens (repeated = sum of count-1 for bigrams occurring more than once).,base -0.74* | h-like -0.40* | det-aware -0.69* | det-evasive +1.31*,base +0.27* | h-like +0.54* | det-aware +0.48* | det-evasive +0.21*,-0.741,-0.398,-0.692,1.309,0.265,0.542,0.478,0.206,mixed (direction varies by condition); up to large effect (|dz|max 1.31); significant in 8 of 8 tests
