feature,importance,abs_importance
syntactic_complexity::tree_depth_mean,1.6346070007201625,1.6346070007201625
stylometric_surface::punct_comma,1.5390899484253544,1.5390899484253544
syntactic_complexity::dep_distance_mean,1.0624822175398891,1.0624822175398891
stylometric_surface::function_word_rate,-1.0406052053217152,1.0406052053217152
stylometric_surface::mattr,0.8067215103345975,0.8067215103345975
stylometric_surface::punct_period,-0.7575294751854282,0.7575294751854282
syntactic_complexity::tree_depth_max,-0.6972892278544135,0.6972892278544135
pragmatic_markers::hedge_neutral_count,0.6864673266879424,0.6864673266879424
stylometric_surface::trigram_repetition_rate,-0.6627677637135021,0.6627677637135021
stylometric_surface::punct_dash,0.6553195930070036,0.6553195930070036
pragmatic_markers::hedge_count,0.5677503018551531,0.5677503018551531
stylometric_surface::mtld,0.5435689728727853,0.5435689728727853
syntactic_complexity::n_sentences,-0.5407207707807845,0.5407207707807845
pragmatic_markers::epistemic_count,-0.4988031418698544,0.4988031418698544
pragmatic_markers::hedge_neutral_rate,0.49505161944832526,0.49505161944832526
stylometric_surface::punct_semicolon,-0.47259741229803903,0.47259741229803903
stylometric_surface::bigram_repetition_rate,-0.4716614625622271,0.4716614625622271
pragmatic_markers::hedge_rate,0.4607430945377161,0.4607430945377161
pragmatic_markers::epistemic_rate,-0.44735158372881245,0.44735158372881245
pragmatic_markers::negation_rate,-0.38688178450535726,0.38688178450535726
pragmatic_markers::hedge_informal_count,-0.34336296027823443,0.34336296027823443
pragmatic_markers::n_alpha_tokens,0.30704068171546184,0.30704068171546184
ner::ner_total_rate,-0.2843847257856968,0.2843847257856968
ner::ner_PRS_rate,-0.21969175991588377,0.21969175991588377
ner::ner_LOC_rate,-0.1978712304687167,0.1978712304687167
pragmatic_markers::negation_sentence_rate,0.17359944806261554,0.17359944806261554
ner::ner_ORG_rate,-0.16520368814319372,0.16520368814319372
pragmatic_markers::hedge_formal_rate,-0.155180847696496,0.155180847696496
stylometric_surface::punct_colon,0.13917709170137743,0.13917709170137743
syntactic_complexity::subordinate_clause_rate,-0.1186205713180421,0.1186205713180421
pragmatic_markers::hedge_informal_rate,0.10765817199252503,0.10765817199252503
ner::ner_EVN_rate,0.07954543442465639,0.07954543442465639
pragmatic_markers::negation_count,-0.07514329617067304,0.07514329617067304
pragmatic_markers::hedge_formal_count,0.0644234128396004,0.0644234128396004
ner::ner_WRK_rate,0.04204529809111994,0.04204529809111994
ner::ner_TME_rate,-0.0413656605588863,0.0413656605588863
stylometric_surface::ttr,-0.03280011052754529,0.03280011052754529
ner::ner_MSR_rate,0.002641984415814735,0.002641984415814735
ner::ner_OBJ_rate,-0.0018496591402534983,0.0018496591402534983
