feature,importance,abs_importance
stylometric_surface::punct_comma,1.5654981222424025,1.5654981222424025
stylometric_surface::mtld,1.4548758751532822,1.4548758751532822
stylometric_surface::mattr,0.994904284653448,0.994904284653448
syntactic_complexity::tree_depth_mean,0.9782755338938807,0.9782755338938807
pragmatic_markers::negation_count,0.9640337888483753,0.9640337888483753
stylometric_surface::bigram_repetition_rate,-0.803515495552265,0.803515495552265
stylometric_surface::trigram_repetition_rate,-0.7111475056652728,0.7111475056652728
pragmatic_markers::hedge_neutral_count,0.6129148227651935,0.6129148227651935
pragmatic_markers::hedge_count,0.6101053693217244,0.6101053693217244
pragmatic_markers::negation_sentence_rate,0.5630105526866737,0.5630105526866737
stylometric_surface::punct_dash,0.5480581577630772,0.5480581577630772
pragmatic_markers::hedge_informal_rate,0.48262408862578726,0.48262408862578726
ner::ner_ORG_rate,-0.4735386382470122,0.4735386382470122
stylometric_surface::punct_colon,0.4690672506923218,0.4690672506923218
pragmatic_markers::hedge_rate,0.44766160542066485,0.44766160542066485
stylometric_surface::punct_semicolon,-0.392937749033112,0.392937749033112
pragmatic_markers::n_alpha_tokens,0.3756614276300601,0.3756614276300601
pragmatic_markers::hedge_neutral_rate,0.35048203539668926,0.35048203539668926
ner::ner_total_rate,-0.30424858009619954,0.30424858009619954
pragmatic_markers::hedge_informal_count,0.29984845944289695,0.29984845944289695
pragmatic_markers::hedge_formal_rate,-0.28920647731247734,0.28920647731247734
syntactic_complexity::dep_distance_mean,0.2535536620450579,0.2535536620450579
pragmatic_markers::epistemic_rate,-0.19620159670963058,0.19620159670963058
pragmatic_markers::hedge_formal_count,0.17470996305707454,0.17470996305707454
syntactic_complexity::tree_depth_max,-0.16019952301607476,0.16019952301607476
ner::ner_LOC_rate,-0.15963128674444815,0.15963128674444815
ner::ner_PRS_rate,-0.1329088423051531,0.1329088423051531
ner::ner_WRK_rate,0.12894982579226574,0.12894982579226574
syntactic_complexity::subordinate_clause_rate,0.1275230230444771,0.1275230230444771
syntactic_complexity::n_sentences,-0.11559530575522216,0.11559530575522216
stylometric_surface::function_word_rate,-0.106087412464349,0.106087412464349
stylometric_surface::punct_period,-0.09851977111351501,0.09851977111351501
ner::ner_EVN_rate,0.09277519628389223,0.09277519628389223
pragmatic_markers::epistemic_count,0.07461661671674068,0.07461661671674068
ner::ner_TME_rate,0.0573762453689108,0.0573762453689108
stylometric_surface::ttr,0.05460832052497731,0.05460832052497731
pragmatic_markers::negation_rate,0.007180946022840579,0.007180946022840579
ner::ner_MSR_rate,0.0054294455727550844,0.0054294455727550844
ner::ner_OBJ_rate,0.0021448407579716684,0.0021448407579716684
