feature,importance,abs_importance
stylometric_surface::punct_period,2.0738237939592836,2.0738237939592836
syntactic_complexity::n_sentences,1.73479577109626,1.73479577109626
stylometric_surface::mattr,1.3206166539116673,1.3206166539116673
stylometric_surface::ttr,-1.234599312303769,1.234599312303769
pragmatic_markers::hedge_informal_rate,1.1185039137694113,1.1185039137694113
stylometric_surface::punct_semicolon,-1.0491840093840112,1.0491840093840112
pragmatic_markers::hedge_informal_count,-0.9481544860385719,0.9481544860385719
stylometric_surface::function_word_rate,0.9023652173176163,0.9023652173176163
stylometric_surface::bigram_repetition_rate,0.8878223151564005,0.8878223151564005
stylometric_surface::mtld,-0.7619600219561127,0.7619600219561127
pragmatic_markers::n_alpha_tokens,0.5770352629679789,0.5770352629679789
stylometric_surface::trigram_repetition_rate,0.5241660084500405,0.5241660084500405
stylometric_surface::punct_dash,-0.5150386080772223,0.5150386080772223
ner::ner_PRS_rate,0.4141846064564492,0.4141846064564492
syntactic_complexity::tree_depth_mean,-0.38645203612777285,0.38645203612777285
pragmatic_markers::epistemic_count,-0.3764687075011109,0.3764687075011109
pragmatic_markers::negation_count,-0.36986506173136957,0.36986506173136957
syntactic_complexity::dep_distance_mean,0.36086985617276407,0.36086985617276407
pragmatic_markers::epistemic_rate,-0.3602380076527601,0.3602380076527601
pragmatic_markers::hedge_count,-0.2090694595251089,0.2090694595251089
pragmatic_markers::hedge_neutral_rate,-0.20865050272308253,0.20865050272308253
pragmatic_markers::negation_rate,0.19312684456981075,0.19312684456981075
ner::ner_LOC_rate,-0.17489613154126613,0.17489613154126613
stylometric_surface::punct_colon,-0.13112208003190956,0.13112208003190956
ner::ner_total_rate,0.11204165844846253,0.11204165844846253
syntactic_complexity::tree_depth_max,-0.11128927174617395,0.11128927174617395
ner::ner_EVN_rate,0.10512575783638992,0.10512575783638992
ner::ner_WRK_rate,0.09617477880249904,0.09617477880249904
pragmatic_markers::hedge_rate,0.09369860444923503,0.09369860444923503
pragmatic_markers::negation_sentence_rate,0.08949583855923772,0.08949583855923772
pragmatic_markers::hedge_formal_rate,-0.07909962768607816,0.07909962768607816
ner::ner_TME_rate,-0.0750097758449839,0.0750097758449839
pragmatic_markers::hedge_formal_count,-0.06099853643171541,0.06099853643171541
syntactic_complexity::subordinate_clause_rate,0.03725170276786227,0.03725170276786227
ner::ner_MSR_rate,-0.024210487195058146,0.024210487195058146
stylometric_surface::punct_comma,0.014037075610637849,0.014037075610637849
ner::ner_ORG_rate,0.01348003288756467,0.01348003288756467
ner::ner_OBJ_rate,-0.00998928980881176,0.00998928980881176
pragmatic_markers::hedge_neutral_count,-0.00490576563284267,0.00490576563284267
