feature,importance,abs_importance
syntactic_complexity::tree_depth_mean,1.4294573018344032,1.4294573018344032
stylometric_surface::punct_comma,1.1041384054222427,1.1041384054222427
stylometric_surface::mtld,0.8861338849848007,0.8861338849848007
stylometric_surface::function_word_rate,-0.8386205575342895,0.8386205575342895
stylometric_surface::punct_period,-0.8318819029325437,0.8318819029325437
syntactic_complexity::dep_distance_mean,0.8027031238404136,0.8027031238404136
stylometric_surface::mattr,0.7564954567896125,0.7564954567896125
pragmatic_markers::hedge_neutral_rate,0.7459547604072428,0.7459547604072428
pragmatic_markers::hedge_neutral_count,0.7358363025798413,0.7358363025798413
stylometric_surface::punct_dash,0.7161652297133408,0.7161652297133408
pragmatic_markers::hedge_rate,0.6808736972654799,0.6808736972654799
pragmatic_markers::n_alpha_tokens,0.6600207903647627,0.6600207903647627
pragmatic_markers::hedge_count,0.6321066162571217,0.6321066162571217
stylometric_surface::trigram_repetition_rate,-0.6159660509416804,0.6159660509416804
syntactic_complexity::tree_depth_max,-0.6067504493335864,0.6067504493335864
pragmatic_markers::negation_count,0.42726037941701434,0.42726037941701434
pragmatic_markers::epistemic_rate,-0.413934007204767,0.413934007204767
stylometric_surface::bigram_repetition_rate,-0.41322083523592856,0.41322083523592856
pragmatic_markers::hedge_formal_rate,-0.3811574231839054,0.3811574231839054
syntactic_complexity::n_sentences,-0.36200088190120044,0.36200088190120044
stylometric_surface::punct_semicolon,-0.3560275784957432,0.3560275784957432
pragmatic_markers::negation_sentence_rate,0.32702354546553486,0.32702354546553486
pragmatic_markers::epistemic_count,-0.3103070138341542,0.3103070138341542
pragmatic_markers::negation_rate,-0.3072720589957988,0.3072720589957988
stylometric_surface::ttr,-0.2769538696070096,0.2769538696070096
pragmatic_markers::hedge_informal_count,-0.25851111720659675,0.25851111720659675
stylometric_surface::punct_colon,0.2466420060493218,0.2466420060493218
ner::ner_WRK_rate,0.2437924610495445,0.2437924610495445
pragmatic_markers::hedge_informal_rate,0.2344343584950133,0.2344343584950133
ner::ner_total_rate,-0.1825760831720962,0.1825760831720962
ner::ner_LOC_rate,-0.17860529334345734,0.17860529334345734
ner::ner_PRS_rate,-0.12005536293089755,0.12005536293089755
syntactic_complexity::subordinate_clause_rate,0.10489479550903548,0.10489479550903548
ner::ner_ORG_rate,-0.09920949811512117,0.09920949811512117
pragmatic_markers::hedge_formal_count,-0.016774773150103284,0.016774773150103284
ner::ner_TME_rate,-0.005671106632338414,0.005671106632338414
ner::ner_MSR_rate,0.005167293107586252,0.005167293107586252
ner::ner_OBJ_rate,0.0014035811576962411,0.0014035811576962411
ner::ner_EVN_rate,0.0,0.0
