feature,importance,abs_importance
stylometric_surface::punct_ellipsis,-2.846929626074462,2.846929626074462
stylometric_surface::punct_dash,2.247715860445411,2.247715860445411
stylometric_surface::punct_period,-1.5590923663351959,1.5590923663351959
stylometric_surface::punct_semicolon,-1.2625915168752992,1.2625915168752992
stylometric_surface::mtld,0.9691269929683916,0.9691269929683916
stylometric_surface::punct_question,-0.8198944609944686,0.8198944609944686
pragmatic_markers::negation_rate,-0.7587798284414383,0.7587798284414383
pragmatic_markers::negation_count,0.6721969741014223,0.6721969741014223
stylometric_surface::mattr,-0.6531878163117629,0.6531878163117629
ner::ner_MSR_rate,-0.6417809529414404,0.6417809529414404
syntactic_complexity::subordinate_clause_rate,-0.5840705806577716,0.5840705806577716
stylometric_surface::punct_exclaim,-0.581654084119266,0.581654084119266
pragmatic_markers::hedge_informal_count,0.5787023132727069,0.5787023132727069
pragmatic_markers::n_alpha_tokens,0.4888705504699436,0.4888705504699436
stylometric_surface::punct_colon,0.4298129722620683,0.4298129722620683
syntactic_complexity::dep_distance_mean,0.4222813227454356,0.4222813227454356
stylometric_surface::ttr,-0.36300417697033244,0.36300417697033244
pragmatic_markers::hedge_informal_rate,0.31374545158432904,0.31374545158432904
pragmatic_markers::discourse_particle_count,-0.28938734094720275,0.28938734094720275
stylometric_surface::trigram_repetition_rate,-0.2876002845507711,0.2876002845507711
pragmatic_markers::epistemic_rate,-0.2693045829456415,0.2693045829456415
pragmatic_markers::hedge_neutral_count,-0.2670833082581059,0.2670833082581059
stylometric_surface::function_word_rate,-0.2629296505088029,0.2629296505088029
syntactic_complexity::tree_depth_mean,0.26165234088318845,0.26165234088318845
ner::ner_total_rate,-0.24190651784988668,0.24190651784988668
pragmatic_markers::hedge_rate,0.24079767209422612,0.24079767209422612
ner::ner_TME_rate,-0.2340627615410759,0.2340627615410759
pragmatic_markers::discourse_particle_rate,0.22119535451055755,0.22119535451055755
ner::ner_OBJ_rate,0.18279281221246296,0.18279281221246296
pragmatic_markers::epistemic_count,-0.1802031807462519,0.1802031807462519
stylometric_surface::punct_comma,0.17691323723395927,0.17691323723395927
ner::ner_LOC_rate,-0.13115671839825227,0.13115671839825227
ner::ner_PRS_rate,-0.1268257890077395,0.1268257890077395
stylometric_surface::bigram_repetition_rate,-0.1262792496566559,0.1262792496566559
syntactic_complexity::tree_depth_max,0.12507212164535889,0.12507212164535889
pragmatic_markers::hedge_formal_rate,-0.09816307782026214,0.09816307782026214
pragmatic_markers::hedge_count,0.09634935953764615,0.09634935953764615
ner::ner_ORG_rate,-0.0911942586495237,0.0911942586495237
ner::ner_EVN_rate,-0.0769863509338183,0.0769863509338183
syntactic_complexity::n_sentences,-0.07376698250728148,0.07376698250728148
pragmatic_markers::hedge_neutral_rate,0.06487537730807684,0.06487537730807684
pragmatic_markers::negation_sentence_rate,0.061371789293395214,0.061371789293395214
pragmatic_markers::booster_rate,-0.06107009988348197,0.06107009988348197
pragmatic_markers::booster_count,0.053175513409560254,0.053175513409560254
ner::ner_WRK_rate,-0.013759669289799641,0.013759669289799641
pragmatic_markers::hedge_formal_count,0.0035423211343340224,0.0035423211343340224
