feature,importance,abs_importance
stylometric_surface::punct_ellipsis,-3.080753757071082,3.080753757071082
pragmatic_markers::hedge_informal_count,2.0434904805575558,2.0434904805575558
stylometric_surface::punct_semicolon,-1.903499496849888,1.903499496849888
stylometric_surface::punct_period,-1.3580947679728796,1.3580947679728796
pragmatic_markers::hedge_count,0.8527452301241905,0.8527452301241905
pragmatic_markers::negation_count,0.8207792521037626,0.8207792521037626
stylometric_surface::punct_question,-0.8138675609301446,0.8138675609301446
stylometric_surface::punct_dash,0.788008500848,0.788008500848
stylometric_surface::trigram_repetition_rate,-0.7010198542901117,0.7010198542901117
ner::ner_MSR_rate,-0.6849944590967507,0.6849944590967507
syntactic_complexity::n_sentences,0.670986871269211,0.670986871269211
stylometric_surface::mattr,-0.6611774590515836,0.6611774590515836
stylometric_surface::punct_exclaim,-0.6408869607975161,0.6408869607975161
stylometric_surface::mtld,0.6094880798495079,0.6094880798495079
pragmatic_markers::negation_rate,-0.59269373051861,0.59269373051861
pragmatic_markers::hedge_neutral_count,-0.5819681152760401,0.5819681152760401
pragmatic_markers::n_alpha_tokens,-0.5482006496192088,0.5482006496192088
pragmatic_markers::epistemic_count,-0.43302254334906354,0.43302254334906354
syntactic_complexity::subordinate_clause_rate,-0.4095686208398261,0.4095686208398261
syntactic_complexity::tree_depth_max,0.362912363576254,0.362912363576254
pragmatic_markers::booster_rate,-0.32994702341602306,0.32994702341602306
syntactic_complexity::dep_distance_mean,0.3214331690310874,0.3214331690310874
pragmatic_markers::hedge_informal_rate,0.3188926192487506,0.3188926192487506
ner::ner_TME_rate,-0.3084897184814789,0.3084897184814789
pragmatic_markers::booster_count,0.30542737067230746,0.30542737067230746
stylometric_surface::punct_colon,0.2932669034221613,0.2932669034221613
pragmatic_markers::epistemic_rate,0.29073846829564204,0.29073846829564204
pragmatic_markers::discourse_particle_count,0.2854174899351558,0.2854174899351558
stylometric_surface::bigram_repetition_rate,-0.22917394748287986,0.22917394748287986
stylometric_surface::function_word_rate,-0.21086549377835054,0.21086549377835054
ner::ner_total_rate,-0.1989391315715759,0.1989391315715759
pragmatic_markers::hedge_formal_count,-0.16392633776818924,0.16392633776818924
pragmatic_markers::hedge_rate,0.15385431178444064,0.15385431178444064
stylometric_surface::punct_comma,0.14305070879053375,0.14305070879053375
ner::ner_ORG_rate,-0.10879744331380217,0.10879744331380217
pragmatic_markers::hedge_neutral_rate,-0.09797826954970662,0.09797826954970662
ner::ner_LOC_rate,-0.08827165821535103,0.08827165821535103
ner::ner_EVN_rate,0.08301274428767173,0.08301274428767173
syntactic_complexity::tree_depth_mean,-0.06927062912044601,0.06927062912044601
pragmatic_markers::hedge_formal_rate,0.05424381574357261,0.05424381574357261
ner::ner_PRS_rate,-0.03775324051301416,0.03775324051301416
pragmatic_markers::negation_sentence_rate,-0.034237071269269954,0.034237071269269954
ner::ner_OBJ_rate,-0.02571756921347794,0.02571756921347794
pragmatic_markers::discourse_particle_rate,0.010995506187796652,0.010995506187796652
stylometric_surface::ttr,-0.009907217722849193,0.009907217722849193
ner::ner_WRK_rate,0.002517473286713364,0.002517473286713364
