feature,importance,abs_importance
syntactic_complexity::n_sentences,4.211712993693488,4.211712993693488
stylometric_surface::mattr,-2.702985989560856,2.702985989560856
stylometric_surface::punct_semicolon,-1.970214931128984,1.970214931128984
stylometric_surface::punct_exclaim,-1.67556692482649,1.67556692482649
stylometric_surface::mtld,1.5872756529174443,1.5872756529174443
pragmatic_markers::negation_count,1.1612733920387017,1.1612733920387017
stylometric_surface::ttr,1.117714890207118,1.117714890207118
stylometric_surface::punct_colon,-1.0273204349278546,1.0273204349278546
syntactic_complexity::dep_distance_mean,-0.9511785171059916,0.9511785171059916
pragmatic_markers::negation_sentence_rate,-0.9024389425925867,0.9024389425925867
stylometric_surface::trigram_repetition_rate,-0.862199750200894,0.862199750200894
syntactic_complexity::subordinate_clause_rate,-0.8536855584648583,0.8536855584648583
pragmatic_markers::discourse_particle_count,-0.85301134401829,0.85301134401829
pragmatic_markers::booster_count,-0.6794829755726189,0.6794829755726189
stylometric_surface::punct_period,0.5773443954412162,0.5773443954412162
pragmatic_markers::negation_rate,0.5699845323895353,0.5699845323895353
pragmatic_markers::hedge_informal_count,0.5169533409749758,0.5169533409749758
stylometric_surface::function_word_rate,-0.44597831137004107,0.44597831137004107
pragmatic_markers::hedge_neutral_count,-0.42102292064161534,0.42102292064161534
stylometric_surface::bigram_repetition_rate,-0.32706580434770516,0.32706580434770516
pragmatic_markers::booster_rate,-0.3259741617117916,0.3259741617117916
ner::ner_EVN_rate,0.2966984176463537,0.2966984176463537
stylometric_surface::punct_ellipsis,0.2901162756556683,0.2901162756556683
pragmatic_markers::hedge_informal_rate,0.2872504256704555,0.2872504256704555
pragmatic_markers::discourse_particle_rate,-0.2640913184628879,0.2640913184628879
ner::ner_ORG_rate,0.24956592427425875,0.24956592427425875
ner::ner_MSR_rate,-0.24394269247096964,0.24394269247096964
syntactic_complexity::tree_depth_max,-0.22093977881385923,0.22093977881385923
stylometric_surface::punct_question,0.197880492635698,0.197880492635698
ner::ner_OBJ_rate,0.1938570814812043,0.1938570814812043
pragmatic_markers::epistemic_rate,-0.18670850773914371,0.18670850773914371
stylometric_surface::punct_comma,-0.15547738499816138,0.15547738499816138
ner::ner_WRK_rate,0.12764911099860418,0.12764911099860418
pragmatic_markers::epistemic_count,-0.12553646218672823,0.12553646218672823
ner::ner_TME_rate,-0.1150427636286978,0.1150427636286978
pragmatic_markers::hedge_rate,0.10859225168818618,0.10859225168818618
ner::ner_total_rate,0.10790997902377314,0.10790997902377314
pragmatic_markers::hedge_formal_rate,0.09378645376668225,0.09378645376668225
pragmatic_markers::hedge_neutral_rate,-0.0882288503145433,0.0882288503145433
pragmatic_markers::n_alpha_tokens,0.0795645930377578,0.0795645930377578
pragmatic_markers::hedge_count,-0.06722255425105852,0.06722255425105852
pragmatic_markers::hedge_formal_count,-0.0546652465642217,0.0546652465642217
stylometric_surface::punct_dash,0.04280541305177806,0.04280541305177806
ner::ner_LOC_rate,0.03589444882210634,0.03589444882210634
syntactic_complexity::tree_depth_mean,-0.02081008551861823,0.02081008551861823
ner::ner_PRS_rate,0.012209703649956726,0.012209703649956726
