dataset,condition,n_per_class,n_features,model,cv,roc_auc,roc_auc_sd,accuracy,f1,permutation_p
formal,baseline,170,39,logreg,grouped,0.9995,0.0007,0.9853,0.9854,0.0009990009990009
formal,baseline,170,39,logreg,stratified,0.9991,0.0017,0.9853,0.9853,
formal,detector_aware,170,39,logreg,grouped,0.9997,0.0007,0.9853,0.9857,0.0009990009990009
formal,detector_aware,170,39,logreg,stratified,0.9938,0.0116,0.9853,0.9856,
formal,detector_evasive,170,39,logreg,grouped,0.9978,0.0022,0.9794,0.9794,0.0009990009990009
formal,detector_evasive,170,39,logreg,stratified,0.9962,0.0042,0.9735,0.9736,
formal,human_like,170,39,logreg,grouped,0.9995,0.001,0.9882,0.9886,0.0009990009990009
formal,human_like,170,39,logreg,stratified,0.9991,0.0017,0.9853,0.9856,
informal,baseline,963,46,logreg,grouped,0.9755,0.0091,0.9301,0.9348,0.0009990009990009
informal,baseline,963,46,logreg,stratified,0.9781,0.0071,0.9332,0.9381,
informal,detector_aware,963,46,logreg,grouped,0.9789,0.0046,0.9378,0.9427,0.0009990009990009
informal,detector_aware,963,46,logreg,stratified,0.9806,0.0089,0.9389,0.9439,
informal,detector_evasive,963,46,logreg,grouped,0.9928,0.0028,0.954,0.9573,0.0009990009990009
informal,detector_evasive,963,46,logreg,stratified,0.9921,0.0037,0.9569,0.9602,
informal,human_like,963,46,logreg,grouped,0.974,0.0087,0.928,0.9332,0.0009990009990009
informal,human_like,963,46,logreg,stratified,0.9777,0.0067,0.9366,0.9413,
