tag,Formal Human,Formal LLM
OTHER,0.25156707475457263,0.20281073632458985
ROOT,0.05649937494763941,0.03467500673231228
advmod,0.04408811144531132,0.06228250086541267
amod,0.06836858053538991,0.08017635769353594
case,0.11339143464342785,0.09505554282030243
cc,0.04529661763493935,0.07975531635917119
conj,0.05327268012501522,0.10440008381682779
mark,0.054234404624128464,0.05892443684253727
nmod,0.05197366110721166,0.042470221844453905
nsubj,0.07134042943074519,0.05107826296675556
obj,0.049374911753633,0.049452645302929255
obl,0.06430801171409117,0.0536811709055931
punct,0.07628470728389465,0.08523771752557852
