tag,Informal Human,Informal LLM
OTHER,0.20954503600801413,0.21299232572681043
ROOT,0.10538720839539498,0.05303228520663765
advmod,0.10050953094622106,0.10524974119254656
amod,0.04156625735511981,0.046691530286327575
case,0.06553948348147941,0.05710532147639091
cc,0.038528031845963207,0.05911850270301478
conj,0.04697257276579799,0.0731560383568762
det,0.03882586584884313,0.025903765826415525
mark,0.038139870954439554,0.04957653808936519
nsubj,0.09466075170882447,0.08625564245079308
obj,0.0480207585381261,0.05283057918708284
obl,0.04351320484080807,0.043738348125012205
punct,0.12879142731096763,0.13434938137272706
