human_perplexity,human_n_tokens,human_burstiness,llm_perplexity,llm_n_tokens,llm_burstiness
2017.4249267578125,20,28441.698542451293,2450.772705078125,75,5492.474327733656
717.7188720703125,118,849.3989935165839,759.0858764648438,110,756.419421448801
1006.8402709960938,26,,1206.1314697265625,53,1273.431628454109
12228.8173828125,11,118573.67409593244,1001.9771118164062,89,1409.3720327351307
49428.61328125,4,,1065.2576904296875,85,30409.821090594196
4465.15185546875,17,17127.222117742225,966.80078125,78,1111.77905611231
11903.619140625,8,,1163.67626953125,84,1595.5170852351623
2342.71240234375,8,23284.80939049094,1083.6507568359375,87,365.4032156895515
2179.777099609375,33,,572.416748046875,130,955.3271824483676
1204.688720703125,31,2665.8580363249357,667.5574340820312,98,917.372314017135
559.9227294921875,50,1601.304709571945,657.16748046875,316,2283.60710884762
856.8803100585938,62,2279.694368852052,606.9534301757812,272,8925.055413507182
1396.70654296875,73,344.3704728029147,613.2991333007812,333,5165.16102137817
1159.39501953125,15,,609.9429321289062,300,4725.526827893848
782.048828125,63,1382.0168983077544,600.2659301757812,188,2281.777087541311
1646.7021484375,11,,1071.967529296875,114,2229.894174970039
2168.7509765625,22,,1005.8291625976562,90,577.9096798352286
3496.06494140625,12,,464.5742492675781,177,507.9280449893443
2017.352783203125,24,,345.600830078125,272,2333.7767827632133
2149.18994140625,21,,522.11474609375,147,596.1805262304246
