human_dep_distance_mean,human_tree_depth_mean,human_tree_depth_max,human_subordinate_clause_rate,human_n_sentences,llm_dep_distance_mean,llm_tree_depth_mean,llm_tree_depth_max,llm_subordinate_clause_rate,llm_n_sentences
3.028985507246377,4.0,5.0,0.625,8,3.823232323232323,5.375,11.0,1.25,8
3.3689320388349513,4.666666666666667,8.0,0.8333333333333334,12,3.5177514792899407,5.7272727272727275,7.0,1.6363636363636365,11
3.2295081967213113,4.454545454545454,7.0,1.5454545454545454,11,3.549019607843137,5.5,6.0,1.1666666666666667,6
3.04,4.0,6.0,0.8,5,3.265402843601896,6.428571428571429,8.0,1.7142857142857142,7
3.4609375,4.666666666666667,6.0,1.1666666666666667,6,3.625592417061611,6.333333333333333,8.0,2.0,6
3.0618556701030926,3.857142857142857,6.0,0.5714285714285714,7,4.696774193548387,5.666666666666667,8.0,1.5833333333333333,12
3.3209876543209877,4.5,8.0,0.8333333333333334,12,3.5167464114832536,4.875,7.0,1.5,8
3.264516129032258,4.25,7.0,0.875,8,3.5486725663716814,5.75,7.0,1.25,8
3.218604651162791,4.181818181818182,6.0,1.0,11,3.2731481481481484,5.875,10.0,1.5,8
3.0165289256198347,4.444444444444445,7.0,0.5555555555555556,9,3.7408906882591095,5.333333333333333,7.0,1.3333333333333333,9
3.037593984962406,3.5,5.0,0.75,8,3.8341968911917097,5.857142857142857,8.0,1.7142857142857142,7
3.5260115606936417,5.461538461538462,9.0,1.0,13,3.3548387096774195,6.333333333333333,8.0,1.3333333333333333,6
2.6407766990291264,4.384615384615385,6.0,1.1538461538461537,13,3.6923076923076925,6.6,9.0,1.2,5
3.6203703703703702,5.0,7.0,1.2,5,4.251282051282051,5.333333333333333,7.0,1.3333333333333333,6
3.400621118012422,3.8947368421052633,7.0,0.7894736842105263,19,3.736641221374046,5.0,7.0,0.8,10
3.6390041493775933,3.5714285714285716,6.0,0.21428571428571427,14,3.4479638009049776,5.111111111111111,7.0,1.4444444444444444,9
3.3659574468085105,4.076923076923077,7.0,1.0769230769230769,13,3.7301038062283736,6.3,9.0,1.2,10
2.9203187250996017,3.4705882352941178,6.0,0.6470588235294118,17,3.3051643192488265,4.818181818181818,8.0,1.2727272727272727,11
3.0846153846153848,4.428571428571429,6.0,1.4285714285714286,7,3.323170731707317,5.666666666666667,7.0,2.5,6
3.541095890410959,5.166666666666667,9.0,2.0,6,4.013888888888889,5.142857142857143,8.0,1.7142857142857142,7
3.269230769230769,4.75,8.0,2.75,4,3.235294117647059,6.333333333333333,11.0,1.8888888888888888,9
2.8846153846153846,5.666666666666667,8.0,1.3333333333333333,3,3.5522388059701493,5.363636363636363,9.0,1.3636363636363635,11
3.1159420289855073,4.545454545454546,6.0,1.4545454545454546,11,3.552,7.0,12.0,2.125,8
3.2209302325581395,4.625,6.0,1.25,8,3.688311688311688,6.25,10.0,1.625,8
3.5137254901960784,3.933333333333333,6.0,0.6,15,3.449760765550239,5.875,8.0,1.375,8
3.4674610449129237,4.081967213114754,9.0,1.0819672131147542,61,3.773913043478261,5.444444444444445,7.0,0.8888888888888888,9
2.9066666666666667,5.5,6.0,0.75,4,3.458041958041958,5.333333333333333,8.0,1.0833333333333333,12
3.1353383458646618,4.857142857142857,8.0,1.8571428571428572,7,3.6546546546546548,5.5,8.0,1.3333333333333333,12
3.3013100436681224,3.7333333333333334,5.0,0.7333333333333333,15,3.6651162790697676,6.5,8.0,1.1666666666666667,6
3.391959798994975,4.777777777777778,9.0,2.0,9,3.527638190954774,5.625,7.0,1.5,8
3.3726937269372694,4.923076923076923,7.0,1.0,13,3.3577586206896552,7.375,10.0,1.75,8
3.182926829268293,4.5,5.0,1.75,4,3.7233201581027666,5.625,7.0,1.75,8
3.2295081967213113,4.454545454545454,7.0,1.5454545454545454,11,3.164772727272727,6.0,9.0,1.1428571428571428,7
2.981042654028436,4.384615384615385,7.0,1.0769230769230769,13,3.463768115942029,6.375,8.0,1.625,8
3.3247422680412373,4.454545454545454,7.0,1.0,11,3.422110552763819,5.125,7.0,1.375,8
3.6588235294117646,5.333333333333333,7.0,2.3333333333333335,3,3.5580357142857144,5.75,7.0,1.75,8
3.2797029702970297,5.2631578947368425,9.0,1.1578947368421053,19,3.2395833333333335,6.571428571428571,8.0,1.1428571428571428,7
3.238578680203046,5.25,7.0,1.875,8,3.351111111111111,5.555555555555555,8.0,1.3333333333333333,9
3.819004524886878,4.0,7.0,0.46153846153846156,26,3.4081632653061225,5.333333333333333,7.0,0.8888888888888888,9
2.9618320610687023,3.7777777777777777,5.0,0.5555555555555556,9,3.6157894736842104,5.714285714285714,9.0,1.7142857142857142,7
3.010752688172043,4.333333333333333,7.0,1.4166666666666667,12,3.2590361445783134,5.571428571428571,8.0,1.4285714285714286,7
3.214765100671141,3.5,6.0,0.8,10,3.572139303482587,5.571428571428571,8.0,2.0,7
3.3115577889447234,5.333333333333333,10.0,1.2222222222222223,9,3.3927272727272726,5.6,9.0,1.3,10
2.9057971014492754,3.0,6.0,0.42857142857142855,14,3.145669291338583,5.0,8.0,1.0833333333333333,12
3.4764150943396226,4.2,6.0,0.6,10,3.588744588744589,5.666666666666667,9.0,1.5555555555555556,9
2.9038461538461537,5.0,7.0,0.75,8,3.4518072289156625,5.5,8.0,1.3333333333333333,6
2.9357142857142855,3.7,6.0,0.5,10,3.8689655172413793,5.3,8.0,2.0,10
3.4444444444444446,4.833333333333333,7.0,1.3333333333333333,6,3.5182186234817814,5.0,8.0,1.3,10
3.4563106796116503,4.166666666666667,8.0,0.9444444444444444,18,3.7013422818791946,4.909090909090909,7.0,0.8181818181818182,11
3.1067961165048543,5.4,8.0,1.6,5,3.6030150753768844,5.428571428571429,7.0,1.4285714285714286,7
2.8088235294117645,4.444444444444445,6.0,1.2222222222222223,9,3.028409090909091,5.857142857142857,10.0,1.4285714285714286,7
3.282608695652174,4.166666666666667,9.0,1.3333333333333333,12,3.502222222222222,6.0,8.0,2.4285714285714284,7
3.22962962962963,5.8,9.0,0.6,5,3.823170731707317,5.909090909090909,10.0,1.5454545454545454,11
2.9682539682539684,4.0,6.0,1.0,9,3.3736263736263736,5.25,8.0,1.25,8
3.1490384615384617,4.666666666666667,7.0,0.6666666666666666,12,3.7349397590361444,5.0,6.0,2.0,6
2.6083916083916083,4.875,6.0,1.125,8,4.5103734439834025,5.857142857142857,7.0,1.7142857142857142,7
3.3526970954356847,5.2,9.0,1.7,10,3.4596774193548385,4.8,7.0,1.0,10
2.511111111111111,3.0,4.0,0.2,5,4.022421524663677,4.6,7.0,1.1,10
3.306532663316583,4.166666666666667,8.0,1.5833333333333333,12,3.514705882352941,6.375,8.0,2.375,8
2.8859649122807016,3.6666666666666665,6.0,1.5,6,3.697247706422018,5.375,7.0,1.25,8
2.9240506329113924,3.7,6.0,1.2,10,3.2110552763819094,5.5,8.0,1.0,8
2.588235294117647,4.0,4.0,0.5,2,3.1859504132231407,5.818181818181818,10.0,0.9090909090909091,11
2.8016528925619837,4.375,5.0,1.0,8,3.223744292237443,5.444444444444445,7.0,1.7777777777777777,9
3.3221153846153846,4.2,6.0,1.0,10,3.419811320754717,5.1,7.0,1.4,10
2.672566371681416,5.166666666666667,7.0,1.1666666666666667,6,3.1826923076923075,4.8,7.0,0.7,10
3.359375,5.1,8.0,0.9,10,4.26605504587156,5.0,7.0,0.6666666666666666,3
3.3846153846153846,4.5,7.0,1.375,8,3.7591623036649215,6.166666666666667,9.0,1.1666666666666667,6
3.307142857142857,3.625,5.0,1.0,8,3.321243523316062,4.4,8.0,1.2,10
3.406896551724138,4.5,6.0,1.375,8,3.4416243654822334,6.428571428571429,9.0,1.0,7
3.111969111969112,4.923076923076923,7.0,1.0769230769230769,13,3.8594594594594596,5.125,7.0,1.5,8
3.547945205479452,5.4,10.0,2.1,10,3.577777777777778,5.285714285714286,6.0,1.5714285714285714,7
2.827272727272727,4.285714285714286,7.0,1.2857142857142858,7,3.6066350710900474,6.428571428571429,11.0,1.7142857142857142,7
3.213675213675214,4.666666666666667,10.0,1.0,6,4.555555555555555,5.333333333333333,8.0,0.8888888888888888,9
2.765625,2.727272727272727,8.0,0.45454545454545453,22,3.3014354066985647,5.5,7.0,1.375,8
3.112280701754386,4.333333333333333,7.0,1.1333333333333333,15,3.6635071090047395,4.625,6.0,1.0,8
3.2142857142857144,4.333333333333333,6.0,1.3333333333333333,6,3.591743119266055,5.444444444444445,7.0,1.1111111111111112,9
3.116279069767442,4.454545454545454,6.0,1.3636363636363635,11,3.4558823529411766,3.9166666666666665,6.0,0.9166666666666666,12
3.2435897435897436,5.714285714285714,7.0,1.7142857142857142,7,3.6367713004484306,6.0,10.0,1.75,8
3.073170731707317,3.4285714285714284,5.0,0.42857142857142855,7,3.2051282051282053,5.333333333333333,7.0,1.3333333333333333,9
2.825503355704698,3.391304347826087,6.0,0.6956521739130435,23,3.5625,6.375,8.0,1.5,8
3.4948453608247423,4.2,7.0,1.2666666666666666,15,3.367088607594937,8.142857142857142,12.0,2.7142857142857144,7
3.3004926108374386,5.777777777777778,8.0,1.7777777777777777,9,3.670886075949367,5.5,8.0,1.1666666666666667,6
3.0814814814814815,4.25,6.0,0.875,8,3.4154589371980677,4.7,6.0,0.6,10
3.1512605042016806,3.533333333333333,6.0,0.7333333333333333,15,4.426470588235294,5.666666666666667,7.0,1.8333333333333333,6
3.0364963503649633,4.125,7.0,1.0,8,3.4331983805668016,5.4,9.0,1.2,10
2.9455128205128207,3.4782608695652173,8.0,0.782608695652174,23,3.4770114942528734,4.857142857142857,7.0,1.1428571428571428,7
2.9836065573770494,3.3333333333333335,7.0,0.8666666666666667,15,3.136150234741784,5.444444444444445,9.0,1.1111111111111112,9
3.357142857142857,5.166666666666667,8.0,2.0,6,3.7917981072555205,5.545454545454546,10.0,1.5454545454545454,11
2.8675213675213675,2.909090909090909,6.0,0.7727272727272727,22,3.3373493975903616,5.285714285714286,8.0,1.2857142857142858,7
3.0458715596330275,5.083333333333333,9.0,1.5833333333333333,12,3.5141242937853105,6.166666666666667,8.0,2.1666666666666665,6
3.2433234421364987,4.086956521739131,8.0,0.30434782608695654,23,3.5566502463054186,5.625,8.0,1.375,8
3.2888888888888888,3.6,8.0,0.9333333333333333,15,3.2884615384615383,4.571428571428571,7.0,1.2857142857142858,7
3.0331753554502368,4.142857142857143,7.0,0.7857142857142857,14,3.401826484018265,5.1,8.0,1.0,10
3.253012048192771,4.444444444444445,7.0,0.6666666666666666,9,3.52991452991453,7.25,9.0,1.75,8
3.6843100189035916,5.15,8.0,1.1,20,3.798941798941799,4.875,7.0,0.625,8
2.9411764705882355,2.9,7.0,0.6,10,3.186991869918699,5.166666666666667,6.0,0.8333333333333334,12
2.68,4.454545454545454,6.0,1.0909090909090908,11,3.118483412322275,6.111111111111111,9.0,1.6666666666666667,9
3.3620689655172415,4.0,6.0,1.0769230769230769,13,3.325102880658436,4.909090909090909,8.0,1.2727272727272727,11
3.3574660633484164,3.5,6.0,0.7857142857142857,14,3.336842105263158,5.875,7.0,1.125,8
2.768,3.764705882352941,5.0,0.8823529411764706,17,3.523076923076923,6.333333333333333,9.0,1.8333333333333333,6
2.923076923076923,4.571428571428571,7.0,0.7142857142857143,14,5.075342465753424,3.5,5.0,0.16666666666666666,6
3.214067278287462,5.25,10.0,1.0,16,3.5535055350553506,5.454545454545454,9.0,1.6363636363636365,11
3.4885496183206106,4.333333333333333,6.0,1.8333333333333333,6,3.406417112299465,5.125,7.0,1.0,8
2.768595041322314,3.4444444444444446,6.0,0.5555555555555556,9,3.2211538461538463,6.125,9.0,1.625,8
2.992424242424242,4.285714285714286,9.0,0.5714285714285714,7,3.44,6.142857142857143,9.0,1.7142857142857142,7
3.0961538461538463,5.6,10.0,1.4,10,3.174698795180723,6.0,7.0,2.0,6
2.9044585987261144,4.2727272727272725,7.0,1.0909090909090908,11,3.6930232558139533,5.333333333333333,8.0,0.8888888888888888,9
3.2738095238095237,3.588235294117647,7.0,0.6470588235294118,17,3.3257575757575757,5.083333333333333,8.0,1.0,12
3.122186495176849,3.5714285714285716,6.0,0.5238095238095238,21,3.3757225433526012,5.714285714285714,7.0,1.4285714285714286,7
2.9133333333333336,4.958333333333333,11.0,1.1666666666666667,24,3.9205607476635516,4.75,6.0,1.375,8
3.0784313725490198,4.8,7.0,1.8,5,3.9,6.666666666666667,9.0,1.8333333333333333,6
2.7388059701492535,4.0,5.0,0.5,10,2.9853658536585366,5.888888888888889,9.0,1.6666666666666667,9
2.9672131147540983,4.05,6.0,0.8,20,3.4450549450549453,5.857142857142857,10.0,1.4285714285714286,7
3.03,3.375,6.0,0.6875,16,3.4950980392156863,6.0,8.0,1.8571428571428572,7
2.8511904761904763,4.444444444444445,9.0,1.1111111111111112,9,3.5799457994579944,5.916666666666667,9.0,1.0,12
3.7243589743589745,5.166666666666667,7.0,1.1666666666666667,6,6.047872340425532,3.2857142857142856,5.0,0.5714285714285714,7
2.7309417040358746,3.142857142857143,6.0,0.5714285714285714,21,3.283333333333333,5.8,10.0,0.9,10
3.0748898678414096,4.538461538461538,7.0,1.1538461538461537,13,3.5123152709359604,5.0,8.0,1.0,9
3.1023622047244093,3.8,6.0,0.7,10,3.214492753623188,5.133333333333334,7.0,0.6666666666666666,15
3.4516129032258065,6.75,9.0,2.5,4,3.411764705882353,5.1,8.0,1.1,10
2.917293233082707,2.857142857142857,6.0,0.8571428571428571,14,3.5103734439834025,5.5,10.0,1.1,10
3.467432950191571,4.214285714285714,8.0,0.9285714285714286,14,3.612,5.3,8.0,0.9,10
