human_dep_distance_mean,human_tree_depth_mean,human_tree_depth_max,human_subordinate_clause_rate,human_n_sentences,llm_dep_distance_mean,llm_tree_depth_mean,llm_tree_depth_max,llm_subordinate_clause_rate,llm_n_sentences
1.75,2.0,2.0,0.0,3,3.4545454545454546,5.0,7.0,1.0,2
3.1704545454545454,9.0,10.0,4.5,2,2.8902439024390243,3.5,7.0,1.0,6
2.3125,2.5,3.0,0.0,2,3.293103448275862,3.0,4.0,0.4,5
1.375,2.0,2.0,0.0,2,2.9696969696969697,2.142857142857143,4.0,0.2857142857142857,7
1.7692307692307692,2.5,4.0,0.5,2,3.257575757575758,3.2,8.0,1.4,5
2.0,2.0,2.0,0.0,1,3.6792452830188678,4.333333333333333,9.0,2.0,3
1.0,1.0,1.0,0.0,2,4.121212121212121,3.5,6.0,1.0,4
3.4545454545454546,2.0,3.0,0.5,2,2.727272727272727,2.75,6.0,0.375,8
2.5652173913043477,2.5,3.0,0.0,2,3.4444444444444446,2.8333333333333335,5.0,0.16666666666666666,6
3.193548387096774,2.0,4.0,0.0,3,3.531073446327684,2.909090909090909,6.0,1.0909090909090908,11
2.8,2.2,4.0,0.6,5,3.3138297872340425,3.230769230769231,7.0,1.0769230769230769,13
3.6440677966101696,4.333333333333333,5.0,0.6666666666666666,3,3.7157894736842105,2.9166666666666665,5.0,0.5833333333333334,12
2.5454545454545454,4.0,4.0,0.0,1,3.07035175879397,3.142857142857143,7.0,1.2142857142857142,14
2.92,2.75,5.0,1.5,4,3.748815165876777,3.4615384615384617,7.0,0.9230769230769231,13
2.6,2.0,2.0,0.0,1,3.235294117647059,3.3333333333333335,4.0,0.6666666666666666,6
2.25,2.0,2.0,0.0,2,4.154929577464789,4.0,5.0,1.6666666666666667,3
3.1666666666666665,3.0,3.0,0.0,1,5.062992125984252,3.8,5.0,1.2,5
3.230769230769231,4.0,4.0,1.0,1,4.486666666666666,3.5714285714285716,5.0,1.2857142857142858,7
2.9375,3.0,3.0,1.0,1,4.1,3.625,5.0,1.125,8
2.5,2.0,2.0,0.0,1,3.936936936936937,3.142857142857143,5.0,0.8571428571428571,7
2.4615384615384617,4.0,4.0,2.0,1,3.541935483870968,3.2,5.0,0.6,10
2.7142857142857144,2.0,2.0,0.0,1,9.5859375,3.3333333333333335,6.0,0.0,3
1.8181818181818181,1.5,2.0,0.0,2,10.266666666666667,4.0,4.0,0.5,2
2.8947368421052633,1.6666666666666667,3.0,0.3333333333333333,3,3.4324324324324325,4.75,6.0,0.25,4
1.2,0.75,2.0,0.0,4,4.384615384615385,4.0,4.0,0.6666666666666666,3
2.6,2.0,2.0,0.0,1,6.7368421052631575,2.0,4.0,1.0,3
2.5714285714285716,1.0,2.0,0.0,2,3.6779661016949152,2.1666666666666665,4.0,0.5,6
2.2777777777777777,1.6666666666666667,2.0,0.3333333333333333,3,3.5,2.2,5.0,0.8,5
2.857142857142857,1.5,3.0,0.0,2,3.088235294117647,2.6666666666666665,4.0,0.3333333333333333,3
2.966666666666667,1.6666666666666667,3.0,0.3333333333333333,3,3.130434782608696,4.333333333333333,5.0,1.6666666666666667,3
3.5483870967741935,4.0,4.0,4.0,1,2.923076923076923,3.25,5.0,1.0,4
2.1818181818181817,2.5,3.0,0.0,2,3.090909090909091,3.75,5.0,1.25,4
3.0,4.0,4.0,1.0,1,3.425925925925926,5.0,6.0,1.3333333333333333,3
2.3076923076923075,2.0,2.0,0.0,2,3.5314685314685317,3.3333333333333335,5.0,0.8888888888888888,9
3.125,7.0,7.0,2.0,1,3.745614035087719,3.5,6.0,0.8333333333333334,6
1.9090909090909092,1.6666666666666667,3.0,0.3333333333333333,3,3.8661417322834644,3.5714285714285716,8.0,0.8571428571428571,7
2.4347826086956523,2.5,3.0,0.25,4,3.906832298136646,4.666666666666667,5.0,1.6666666666666667,6
3.3636363636363638,3.75,5.0,1.5,4,4.08641975308642,4.375,7.0,0.875,8
2.3,2.0,2.0,0.0,2,3.5895953757225434,3.7,5.0,0.7,10
3.3529411764705883,5.0,6.0,0.0,2,3.6506849315068495,5.0,7.0,1.1666666666666667,6
3.3333333333333335,5.0,7.0,1.5,2,3.6325088339222615,3.857142857142857,7.0,1.1428571428571428,14
2.466666666666667,2.0,3.0,0.5,2,3.6379310344827585,3.4705882352941178,10.0,1.1176470588235294,17
3.6142857142857143,4.333333333333333,5.0,1.6666666666666667,3,3.3146417445482865,3.5,7.0,0.7083333333333334,24
3.0635451505016724,3.227272727272727,8.0,0.9545454545454546,22,4.959247648902822,4.083333333333333,7.0,1.6666666666666667,12
2.1875,2.5,3.0,0.5,2,3.801169590643275,4.285714285714286,7.0,1.5,14
2.0,3.0,3.0,0.0,1,2.9054054054054053,3.4,6.0,1.0,5
2.5217391304347827,1.75,3.0,0.0,4,4.176470588235294,5.0,7.0,0.0,2
3.0555555555555554,5.25,6.0,1.75,4,3.3294117647058825,3.5,5.0,1.25,4
3.057142857142857,4.25,6.0,0.75,4,3.8468468468468466,5.5,7.0,3.0,4
2.3157894736842106,2.3333333333333335,3.0,0.0,3,3.506172839506173,3.5,5.0,1.25,4
2.5555555555555554,2.4,4.0,0.6,5,3.6666666666666665,2.75,5.0,1.0,4
2.0,1.5,2.0,0.0,2,3.923076923076923,3.5,5.0,1.75,4
3.016759776536313,3.727272727272727,6.0,1.5454545454545454,11,3.6842105263157894,4.333333333333333,7.0,1.6666666666666667,6
2.7777777777777777,4.0,4.0,1.0,1,4.385714285714286,4.4,5.0,2.6,5
3.3333333333333335,4.0,4.0,1.0,1,3.5454545454545454,4.142857142857143,6.0,1.5714285714285714,7
2.25,2.0,2.0,0.0,1,3.3592233009708736,4.5,6.0,2.25,4
3.3,6.0,6.0,3.0,1,3.526315789473684,5.571428571428571,9.0,2.857142857142857,7
3.433333333333333,2.0,3.0,0.6666666666666666,3,3.6036585365853657,6.0,9.0,3.0,6
3.2941176470588234,4.0,4.0,3.0,1,3.923076923076923,3.9,6.0,1.3,10
2.823529411764706,5.0,5.0,1.0,1,4.179012345679013,3.3333333333333335,7.0,2.0,9
2.125,1.0,3.0,0.3333333333333333,3,3.4464285714285716,5.0,7.0,2.2,5
2.75,5.0,5.0,3.0,1,3.54320987654321,5.0,8.0,2.6,5
1.8,2.0,2.0,0.0,1,3.443708609271523,3.3636363636363638,6.0,0.9090909090909091,11
2.5,2.0,2.0,0.0,2,3.6094674556213016,4.125,6.0,1.5,8
2.3333333333333335,3.0,3.0,0.3333333333333333,3,4.2368421052631575,3.7142857142857144,5.0,1.1428571428571428,7
4.309523809523809,3.0,3.0,1.0,2,3.933673469387755,4.25,8.0,1.75,8
2.3703703703703702,2.6666666666666665,4.0,1.3333333333333333,3,3.8662420382165603,4.285714285714286,6.0,1.5714285714285714,7
2.6,2.4,5.0,0.4,5,4.255813953488372,5.0,7.0,1.0,2
3.9375,2.5,4.0,0.0,2,3.2337662337662336,2.8333333333333335,5.0,0.5,6
