human_dep_distance_mean,human_tree_depth_mean,human_tree_depth_max,human_subordinate_clause_rate,human_n_sentences,llm_dep_distance_mean,llm_tree_depth_mean,llm_tree_depth_max,llm_subordinate_clause_rate,llm_n_sentences
1.75,2.0,2.0,0.0,3,4.163636363636364,3.6666666666666665,5.0,0.3333333333333333,3
3.625,5.0,5.0,4.0,2,3.511627906976744,3.6,6.0,1.0,5
1.9333333333333333,2.3333333333333335,3.0,0.0,3,3.054054054054054,3.3333333333333335,4.0,0.3333333333333333,3
1.875,1.5,2.0,0.0,2,3.5,3.2,5.0,0.8,5
1.0,1.0,1.0,0.0,1,3.606060606060606,3.25,5.0,1.0,4
1.7692307692307692,2.5,4.0,0.5,2,4.344827586206897,4.666666666666667,7.0,1.6666666666666667,3
2.0,2.0,2.0,0.0,1,3.0303030303030303,3.75,6.0,1.0,4
1.0,1.0,1.0,0.0,2,3.453125,4.333333333333333,6.0,1.6666666666666667,3
3.3636363636363638,2.0,3.0,0.5,2,3.791208791208791,4.0,6.0,1.2,5
2.5652173913043477,2.5,3.0,0.0,2,3.264705882352941,3.75,5.0,0.75,4
3.3548387096774195,2.0,5.0,0.6666666666666666,3,3.6745098039215685,3.8461538461538463,7.0,1.4615384615384615,13
2.911111111111111,2.0,4.0,0.2,5,3.601769911504425,3.4285714285714284,6.0,0.8571428571428571,14
3.9661016949152543,3.3333333333333335,5.0,2.0,3,3.4642857142857144,3.357142857142857,6.0,0.7857142857142857,14
2.5454545454545454,4.0,4.0,1.0,1,3.1885245901639343,3.4,6.0,0.7333333333333333,15
3.3333333333333335,4.0,5.0,1.3333333333333333,3,3.889655172413793,3.0,5.0,1.125,8
2.6,2.0,2.0,0.0,1,4.148148148148148,3.75,5.0,1.0,4
2.25,2.0,2.0,0.0,2,3.72972972972973,4.25,5.0,1.25,4
3.1666666666666665,2.0,2.0,0.0,1,3.8174603174603177,3.8333333333333335,5.0,0.8333333333333334,6
2.5384615384615383,3.0,3.0,1.0,1,5.088235294117647,2.125,5.0,0.5,16
2.5,4.0,4.0,1.0,1,4.972222222222222,3.4,4.0,1.0,5
2.375,2.0,2.0,0.0,1,3.10989010989011,3.8,5.0,0.6,5
2.0,4.0,4.0,3.0,1,3.803738317757009,2.875,4.0,0.125,8
2.0,2.0,2.0,0.0,1,3.676056338028169,5.0,6.0,2.5,2
2.1818181818181817,1.5,2.0,0.0,2,3.3424657534246576,2.3333333333333335,3.0,0.3333333333333333,6
2.6666666666666665,5.0,5.0,2.0,1,7.323076923076923,4.0,4.0,0.5,2
2.0,1.5,2.0,0.0,2,7.213483146067416,3.5,4.0,2.5,2
2.6,2.0,2.0,0.0,1,3.8395061728395063,3.5,4.0,0.5,4
2.625,3.0,3.0,0.0,1,2.843137254901961,5.0,7.0,1.0,3
2.4444444444444446,1.6666666666666667,2.0,0.3333333333333333,3,3.106382978723404,5.5,6.0,2.0,2
2.5,2.0,4.0,0.5,2,2.793103448275862,1.6666666666666667,3.0,0.0,3
2.6,2.0,3.0,0.6666666666666666,3,3.64,4.0,6.0,1.0,3
3.870967741935484,4.0,4.0,4.0,1,3.4615384615384617,3.0,5.0,0.75,4
2.3636363636363638,2.0,2.0,0.0,2,3.532258064516129,4.666666666666667,7.0,1.6666666666666667,3
3.933333333333333,4.0,4.0,0.0,1,3.116279069767442,2.75,4.0,0.5,4
2.3076923076923075,2.5,3.0,0.0,2,3.8181818181818183,4.166666666666667,7.0,0.8333333333333334,6
