human_dep_distance_mean,human_tree_depth_mean,human_tree_depth_max,human_subordinate_clause_rate,human_n_sentences,llm_dep_distance_mean,llm_tree_depth_mean,llm_tree_depth_max,llm_subordinate_clause_rate,llm_n_sentences
1.75,2.0,2.0,0.0,3,3.7625,3.0,5.0,0.6666666666666666,6
3.625,5.0,5.0,4.0,2,3.4029850746268657,3.5,8.0,1.0,4
1.9333333333333333,2.3333333333333335,3.0,0.0,3,3.3220338983050848,2.8,5.0,0.8,5
1.875,1.5,2.0,0.0,2,3.474747474747475,3.142857142857143,6.0,0.42857142857142855,7
1.0,1.0,1.0,0.0,1,3.642857142857143,2.5,4.0,0.5,6
1.7692307692307692,2.5,4.0,0.5,2,3.6530612244897958,3.6666666666666665,7.0,1.0,6
2.0,2.0,2.0,0.0,1,3.2266666666666666,3.6,7.0,0.6,5
1.0,1.0,1.0,0.0,2,3.657142857142857,3.0,6.0,1.5,4
3.3636363636363638,2.0,3.0,0.5,2,3.8125,2.7142857142857144,4.0,0.42857142857142855,7
2.5652173913043477,2.5,3.0,0.0,2,3.8846153846153846,3.0,4.0,1.0,5
3.3548387096774195,2.0,5.0,0.6666666666666666,3,3.6836363636363636,3.625,8.0,1.25,16
2.911111111111111,2.0,4.0,0.2,5,3.4881516587677726,3.0714285714285716,7.0,0.9285714285714286,14
3.9661016949152543,3.3333333333333335,5.0,2.0,3,3.2463235294117645,3.6470588235294117,6.0,1.1764705882352942,17
2.5454545454545454,4.0,4.0,1.0,1,3.451923076923077,3.2142857142857144,8.0,0.7857142857142857,14
3.3333333333333335,4.0,5.0,1.3333333333333333,3,4.224899598393574,3.0526315789473686,8.0,0.5789473684210527,19
2.6,2.0,2.0,0.0,1,3.694736842105263,2.2222222222222223,5.0,0.3333333333333333,9
2.25,2.0,2.0,0.0,2,3.2162162162162162,3.25,7.0,0.875,8
3.1666666666666665,2.0,2.0,0.0,1,3.511111111111111,2.857142857142857,5.0,0.5714285714285714,14
2.5384615384615383,3.0,3.0,1.0,1,3.772020725388601,3.4444444444444446,4.0,0.5555555555555556,9
2.5,4.0,4.0,1.0,1,4.048913043478261,3.0,4.0,0.45454545454545453,11
2.375,2.0,2.0,0.0,1,5.50251256281407,4.0,6.0,1.25,4
2.0,4.0,4.0,3.0,1,3.3757225433526012,2.6153846153846154,4.0,0.3076923076923077,13
2.0,2.0,2.0,0.0,1,3.876543209876543,3.75,5.0,2.25,4
2.1818181818181817,1.5,2.0,0.0,2,4.75206611570248,4.2,6.0,1.0,5
2.6666666666666665,5.0,5.0,2.0,1,4.129032258064516,5.0,6.0,1.6666666666666667,3
2.0,1.5,2.0,0.0,2,6.685483870967742,3.5,4.0,1.75,4
2.6,2.0,2.0,0.0,1,3.172727272727273,2.5454545454545454,5.0,0.5454545454545454,11
2.625,3.0,3.0,0.0,1,4.0120481927710845,4.0,5.0,1.0,4
2.4444444444444446,1.6666666666666667,2.0,0.3333333333333333,3,2.735632183908046,4.4,7.0,1.0,5
2.5,2.0,4.0,0.5,2,3.375,4.333333333333333,5.0,2.0,3
2.6,2.0,3.0,0.6666666666666666,3,3.276595744680851,3.3333333333333335,4.0,1.0,3
3.870967741935484,4.0,4.0,4.0,1,3.3970588235294117,3.0,5.0,0.6,5
2.3636363636363638,2.0,2.0,0.0,2,3.3043478260869565,5.25,6.0,1.0,4
3.933333333333333,4.0,4.0,0.0,1,4.138461538461539,2.75,4.0,1.25,4
2.3076923076923075,2.5,3.0,0.0,2,3.7142857142857144,3.4,5.0,0.6,10
3.0416666666666665,7.0,7.0,2.0,1,5.1187214611872145,3.7777777777777777,7.0,1.0,9
2.25,2.5,3.0,0.5,2,3.5879396984924625,4.5,6.0,0.75,8
