word,human_count,ai_count,diff
vara,508,540,-32
denna,210,227,-17
samt,185,161,24
resultat,144,0,144
syfte,141,0,141
visa,136,143,-7
företag,126,0,126
studi,110,216,-106
använda,105,131,-26
metod,91,0,91
se,87,0,87
studie,86,0,86
undersöka,83,0,83
arbete,79,0,79
undersökning,75,0,75
intervju,70,0,70
barn,67,0,67
påverka,67,250,-183
ta,63,0,63
sätt,60,0,60
tydlig,0,153,-153
utgångspunkt,0,147,-147
uppsats,0,266,-266
central,0,157,-157
särskilt,0,129,-129
behov,0,128,-128
både,0,234,-234
samtidig,0,219,-219
bidra,0,168,-168
relation,0,138,-138
exempelvis,0,138,-138
enbart,0,134,-134
skapa,0,206,-206
