word,human_count,ai_count,diff
vara,1335,5801,-4466
ju,281,334,-53
ta,181,698,-517
se,166,468,-302
väl,115,0,115
dom,111,0,111
tro,101,0,101
sen,95,548,-453
använda,92,0,92
veta,90,0,90
tycka,89,0,89
röka,88,0,88
själv,84,0,84
år,84,0,84
barn,83,0,83
svensk,83,0,83
denna,81,0,81
tänka,72,0,72
fråga,72,0,72
sverige,71,0,71
bruka,0,447,-447
köra,0,440,-440
låta,0,523,-523
riktig,0,369,-369
känna,0,285,-285
ge,0,295,-295
grej,0,405,-405
faktisk,0,315,-315
folk,0,393,-393
funka,0,351,-351
kännas,0,320,-320
kolla,0,447,-447
typ,0,817,-817
viss,0,435,-435
ändå,0,301,-301
