word,human_count,ai_count,diff
vara,1335,6563,-5228
ju,281,929,-648
ta,181,716,-535
se,166,510,-344
väl,115,0,115
dom,111,0,111
tro,101,0,101
sen,95,925,-830
använda,92,0,92
veta,90,0,90
tycka,89,0,89
röka,88,0,88
själv,84,0,84
år,84,0,84
barn,83,0,83
svensk,83,0,83
denna,81,0,81
tänka,72,0,72
fråga,72,0,72
sverige,71,0,71
bruka,0,364,-364
nån,0,907,-907
nåt,0,557,-557
riktig,0,426,-426
köra,0,536,-536
kolla,0,431,-431
grej,0,741,-741
direkt,0,448,-448
funka,0,388,-388
folk,0,836,-836
låta,0,589,-589
kännas,0,481,-481
typ,0,1677,-1677
viss,0,390,-390
ändå,0,473,-473
