word,human_count,ai_count,diff
vara,1335,4249,-2914
ju,281,0,281
ta,181,874,-693
se,166,463,-297
väl,115,0,115
dom,111,0,111
tro,101,0,101
sen,95,913,-818
använda,92,0,92
veta,90,0,90
tycka,89,0,89
röka,88,0,88
själv,84,0,84
år,84,0,84
barn,83,0,83
svensk,83,0,83
denna,81,0,81
tänka,72,0,72
fråga,72,352,-280
sverige,71,0,71
annars,0,376,-376
låta,0,433,-433
nån,0,532,-532
nåt,0,331,-331
kolla,0,588,-588
funka,0,430,-430
ge,0,275,-275
bruka,0,299,-299
direkt,0,301,-301
folk,0,679,-679
köra,0,611,-611
grej,0,413,-413
sitta,0,388,-388
skriva,0,278,-278
ändå,0,341,-341
