word,human_count,ai_count,diff
vara,1335,6547,-5212
ju,281,448,-167
ta,181,768,-587
se,166,464,-298
väl,115,0,115
dom,111,0,111
tro,101,0,101
sen,95,702,-607
använda,92,0,92
veta,90,0,90
tycka,89,0,89
röka,88,0,88
själv,84,0,84
år,84,0,84
barn,83,0,83
svensk,83,0,83
denna,81,0,81
tänka,72,0,72
fråga,72,0,72
sverige,71,0,71
bruka,0,511,-511
låta,0,608,-608
osv,0,357,-357
riktig,0,380,-380
kännas,0,423,-423
kolla,0,486,-486
grej,0,506,-506
faktisk,0,351,-351
funka,0,416,-416
folk,0,514,-514
köra,0,426,-426
känna,0,341,-341
typ,0,1074,-1074
viss,0,479,-479
ändå,0,335,-335
