tag,Formal Human,Formal LLM
OTHER,0.2548646493695519,0.21096555025002423
ROOT,0.05494764616802402,0.03352070436677049
advmod,0.04297343934820256,0.05977411811868794
amod,0.06877172060716322,0.0813348347255855
case,0.1144974575683179,0.09558727622243271
cc,0.04539804813446109,0.07934952693507939
conj,0.05125372054240303,0.10307209994154265
det,0.05527228058967926,0.036487030844796875
mark,0.05334554550404383,0.05717975086372539
nsubj,0.07227373553461286,0.05619254848622433
obj,0.04791470281045998,0.046369712552787996
obl,0.06114186443969282,0.04999633288327875
punct,0.07734518938338751,0.09017051380906352
