tag,Informal Human,Informal LLM
OTHER,0.2403085400115297,0.23633253350154196
ROOT,0.08553461209304106,0.06528811115446938
advmod,0.10732220690078174,0.09703138316184179
amod,0.036734839817016425,0.04530846990027066
case,0.06411580001235494,0.059769042003672786
cc,0.03333879092018775,0.04523562491589441
conj,0.03633002149819836,0.04632833769648139
det,0.036425651513022586,0.03145909548483057
mark,0.04317232624743899,0.0681374671981088
nsubj,0.09881109747979919,0.09150189015432611
obj,0.051761813178874176,0.05377375330009641
obl,0.04850049446988468,0.044854849401867514
punct,0.11764380585787283,0.11497944212659912
