tag,Formal Human,Formal LLM,Informal Human,Informal LLM
OTHER,0.24936240649752206,0.20975597922591807,0.2229566052629742,0.1907401671706432
ROOT,0.05649937494763941,0.03467500673231228,0.100536600931699,0.067347117207648
advmod,0.04408811144531132,0.06228250086541267,0.09433483071002814,0.11069017314404947
amod,0.06836858053538991,0.08017635769353594,0.04097842507409364,0.0511150510482298
case,0.11339143464342785,0.09505554282030243,0.06720015894401632,0.05726087079931764
cc,0.04529661763493935,0.07975531635917119,0.036750213929070595,0.06670458275864392
conj,0.05327268012501522,0.10440008381682779,0.04394190921801962,0.08476874484128125
det,0.05417832936426224,0.0355249789431257,0.0402488966624334,0.018855913898454833
mark,0.054234404624128464,0.05892443684253727,0.04354095473707107,0.0400357078188465
nsubj,0.07134042943074519,0.05107826296675556,0.09521699022774735,0.08719884866342877
obj,0.049374911753633,0.049452645302929255,0.05050036265537583,0.048996474811829525
obl,0.06430801171409117,0.0536811709055931,0.047170803902127294,0.0442123039359329
punct,0.07628470728389465,0.08523771752557852,0.1166232477453432,0.13207404390169386
