tag,Formal Human,Formal LLM,Informal Human,Informal LLM
ADJ,0.08811299613753983,0.09956098966015135,0.06682898564145517,0.08140252418525937
ADP,0.1401493140977487,0.11860954909023605,0.07635966122666385,0.07713250805975339
ADV,0.04910735412520795,0.059946432164742304,0.11100366549414149,0.10428689805878776
AUX,0.03991572630273877,0.02327286313860979,0.056415054756030425,0.061642930517077865
CCONJ,0.04701891751175202,0.07609803256225285,0.030186528032412407,0.04264650504932735
DET,0.05368778994552548,0.038246942409245095,0.037509562688005975,0.03209028877394624
NOUN,0.27148848551679705,0.29829031721450383,0.16042797161742048,0.1544549803176985
OTHER,0.07421437372507106,0.05704086414009843,0.11187370463398538,0.08996559301809073
PRON,0.05502466839760777,0.02342494497530489,0.11509968863707837,0.11594569937812338
PUNCT,0.07360483574716926,0.09888382608503721,0.1171253323048062,0.11564726400159704
VERB,0.10767553849284202,0.10662523855981812,0.11716984496800208,0.12478480864033938
