tag,Formal Human,Formal LLM
ADJ,0.08594708220836131,0.09938864413065181
ADP,0.1334608463004697,0.1179586932297691
ADV,0.04459722950314727,0.06117854308661106
AUX,0.043379249464641424,0.024543985759220392
CCONJ,0.04486520569898761,0.07966238859376967
DET,0.05441658293500783,0.03664487590006275
NOUN,0.2772330280839115,0.3095601025003667
OTHER,0.07201176788770351,0.049962865495752344
PRON,0.05796696229493238,0.024100775276696657
PUNCT,0.07623982903191784,0.08943985725449509
VERB,0.10988221659091943,0.10755926877260412
