tag,Informal Human,Informal LLM
OTHER,0.2229566052629742,0.1907401671706432
ROOT,0.100536600931699,0.067347117207648
advmod,0.09433483071002814,0.11069017314404947
amod,0.04097842507409364,0.0511150510482298
case,0.06720015894401632,0.05726087079931764
cc,0.036750213929070595,0.06670458275864392
conj,0.04394190921801962,0.08476874484128125
det,0.0402488966624334,0.018855913898454833
mark,0.04354095473707107,0.0400357078188465
nsubj,0.09521699022774735,0.08719884866342877
obj,0.05050036265537583,0.048996474811829525
obl,0.047170803902127294,0.0442123039359329
punct,0.1166232477453432,0.13207404390169386
