tag,Informal Human,Informal LLM
ADJ,0.06682898564145517,0.08140252418525937
ADP,0.07635966122666385,0.07713250805975339
ADV,0.11100366549414149,0.10428689805878776
AUX,0.056415054756030425,0.061642930517077865
CCONJ,0.030186528032412407,0.04264650504932735
DET,0.037509562688005975,0.03209028877394624
NOUN,0.16042797161742048,0.1544549803176985
OTHER,0.11187370463398538,0.08996559301809073
PRON,0.11509968863707837,0.11594569937812338
PUNCT,0.1171253323048062,0.11564726400159704
VERB,0.11716984496800208,0.12478480864033938
