Abstract_POS_Counts,Generated_Abstract_POS_Counts
ADJ:15 | ADP:17 | ADV:4 | AUX:6 | CCONJ:6 | DET:12 | NOUN:39 | PART:1 | PRON:12 | PUNCT:8 | SCONJ:7 | VERB:15,ADJ:14 | ADP:14 | ADV:7 | AUX:3 | CCONJ:9 | DET:14 | NOUN:46 | PART:1 | PRON:9 | PUNCT:14 | SCONJ:7 | VERB:17
ADJ:15 | ADP:27 | ADV:2 | AUX:3 | CCONJ:7 | DET:6 | NOUN:50 | NUM:1 | PART:3 | PRON:2 | PUNCT:11 | SCONJ:4 | VERB:15,ADJ:18 | ADP:20 | ADV:6 | AUX:8 | CCONJ:5 | DET:8 | NOUN:45 | NUM:1 | PART:2 | PRON:2 | PROPN:1 | PUNCT:13 | SCONJ:3 | VERB:16
ADJ:21 | ADP:34 | ADV:7 | AUX:6 | CCONJ:10 | DET:7 | NOUN:70 | NUM:8 | PART:1 | PRON:12 | PROPN:1 | PUNCT:17 | SCONJ:3 | VERB:21,ADJ:21 | ADP:33 | ADV:10 | AUX:2 | CCONJ:13 | DET:8 | NOUN:66 | NUM:8 | PART:1 | PRON:9 | PROPN:1 | PUNCT:18 | SCONJ:2 | VERB:25
ADJ:13 | ADP:36 | ADV:17 | AUX:22 | CCONJ:11 | DET:9 | NOUN:55 | NUM:2 | PART:7 | PRON:29 | PUNCT:16 | SCONJ:10 | VERB:28,ADJ:14 | ADP:28 | ADV:16 | AUX:16 | CCONJ:8 | DET:12 | NOUN:57 | NUM:4 | PART:7 | PRON:14 | PUNCT:19 | SCONJ:8 | VERB:27
ADJ:11 | ADP:14 | ADV:3 | AUX:4 | CCONJ:9 | DET:5 | NOUN:31 | NUM:2 | PART:1 | PRON:5 | PROPN:1 | PUNCT:7 | SCONJ:3 | VERB:9,ADJ:10 | ADP:14 | ADV:4 | AUX:1 | CCONJ:7 | DET:3 | NOUN:32 | NUM:2 | PART:2 | PRON:1 | PUNCT:14 | SCONJ:3 | VERB:12
ADJ:10 | ADP:20 | ADV:4 | CCONJ:9 | DET:9 | NOUN:40 | NUM:3 | PART:1 | PRON:7 | PUNCT:12 | SCONJ:2 | SYM:1 | VERB:16,ADJ:8 | ADP:15 | ADV:7 | CCONJ:9 | DET:7 | NOUN:36 | NUM:3 | PART:1 | PRON:6 | PUNCT:14 | SCONJ:2 | SYM:1 | VERB:19
ADJ:9 | ADP:8 | ADV:7 | AUX:3 | CCONJ:2 | DET:7 | NOUN:23 | NUM:1 | PART:2 | PRON:11 | PROPN:8 | PUNCT:7 | SCONJ:1 | VERB:15,ADJ:8 | ADP:18 | ADV:9 | AUX:6 | CCONJ:2 | DET:5 | NOUN:28 | PART:1 | PRON:8 | PROPN:7 | PUNCT:8 | SCONJ:1 | VERB:12
ADJ:26 | ADP:37 | ADV:22 | AUX:10 | CCONJ:10 | DET:19 | NOUN:58 | NUM:6 | PART:4 | PRON:18 | PROPN:2 | PUNCT:18 | SCONJ:4 | VERB:21,ADJ:23 | ADP:24 | ADV:16 | AUX:9 | CCONJ:12 | DET:12 | NOUN:54 | NUM:6 | PART:1 | PRON:10 | PROPN:4 | PUNCT:21 | SCONJ:4 | VERB:17
ADJ:28 | ADP:23 | ADV:9 | AUX:4 | CCONJ:11 | DET:11 | NOUN:41 | PART:2 | PRON:2 | PROPN:1 | PUNCT:10 | SCONJ:5 | VERB:16,ADJ:21 | ADP:21 | ADV:8 | AUX:2 | CCONJ:9 | DET:11 | NOUN:41 | PART:2 | PRON:5 | PROPN:2 | PUNCT:13 | SCONJ:5 | VERB:16
ADJ:18 | ADP:38 | ADV:9 | AUX:9 | CCONJ:9 | DET:18 | NOUN:57 | NUM:2 | PART:8 | PRON:8 | PROPN:4 | PUNCT:14 | SCONJ:6 | VERB:26,ADJ:23 | ADP:29 | ADV:11 | AUX:5 | CCONJ:6 | DET:11 | NOUN:57 | NUM:1 | PART:6 | PRON:5 | PROPN:2 | PUNCT:16 | SCONJ:8 | VERB:20
ADJ:7 | ADP:19 | ADV:5 | AUX:5 | CCONJ:7 | DET:5 | NOUN:43 | PRON:6 | PROPN:7 | PUNCT:14 | SCONJ:1 | VERB:11,ADJ:7 | ADP:20 | ADV:4 | AUX:2 | CCONJ:8 | DET:9 | NOUN:44 | PART:1 | PRON:10 | PROPN:9 | PUNCT:14 | VERB:14
ADJ:15 | ADP:19 | ADV:4 | AUX:5 | CCONJ:4 | DET:6 | NOUN:44 | NUM:5 | PART:1 | PRON:3 | PUNCT:17 | SCONJ:2 | VERB:16,ADJ:15 | ADP:20 | ADV:6 | AUX:4 | CCONJ:6 | DET:10 | NOUN:44 | NUM:5 | PART:2 | PRON:3 | PUNCT:15 | SCONJ:2 | VERB:19
ADJ:32 | ADP:68 | ADV:12 | AUX:8 | CCONJ:21 | DET:17 | NOUN:114 | NUM:7 | PART:4 | PRON:15 | PROPN:1 | PUNCT:31 | SCONJ:5 | VERB:24,ADJ:35 | ADP:49 | ADV:15 | AUX:2 | CCONJ:19 | DET:19 | NOUN:93 | NUM:9 | PART:3 | PRON:14 | PROPN:1 | PUNCT:24 | SCONJ:7 | SYM:1 | VERB:33
ADJ:27 | ADP:33 | ADV:15 | AUX:13 | CCONJ:2 | DET:13 | NOUN:44 | NUM:8 | PART:4 | PRON:16 | PROPN:1 | PUNCT:12 | SCONJ:9 | VERB:22,ADJ:26 | ADP:22 | ADV:21 | AUX:7 | CCONJ:4 | DET:13 | NOUN:42 | NUM:8 | PART:3 | PRON:6 | PUNCT:14 | SCONJ:8 | VERB:20
ADJ:13 | ADP:13 | ADV:4 | AUX:3 | CCONJ:6 | DET:3 | NOUN:26 | NUM:5 | PART:2 | PRON:5 | PROPN:7 | PUNCT:12 | SCONJ:2 | VERB:12,ADJ:13 | ADP:15 | ADV:9 | AUX:1 | CCONJ:4 | DET:5 | NOUN:27 | NUM:5 | PRON:5 | PROPN:5 | PUNCT:14 | SCONJ:2 | VERB:14
ADJ:30 | ADP:51 | ADV:12 | AUX:13 | CCONJ:24 | DET:7 | NOUN:82 | NUM:16 | PART:7 | PRON:10 | PROPN:26 | PUNCT:30 | SCONJ:5 | VERB:28,ADJ:29 | ADP:43 | ADV:12 | AUX:6 | CCONJ:20 | DET:7 | NOUN:68 | NUM:15 | PART:5 | PRON:4 | PROPN:24 | PUNCT:25 | SCONJ:7 | VERB:27
ADJ:21 | ADP:20 | ADV:5 | AUX:5 | CCONJ:19 | DET:9 | NOUN:71 | NUM:32 | PART:3 | PRON:2 | PROPN:3 | PUNCT:31 | SCONJ:2 | SPACE:5 | VERB:27,ADJ:22 | ADP:31 | ADV:7 | AUX:6 | CCONJ:16 | DET:6 | NOUN:71 | NUM:23 | PART:2 | PRON:2 | PROPN:1 | PUNCT:22 | SCONJ:1 | VERB:11
ADJ:29 | ADP:34 | ADV:17 | AUX:7 | CCONJ:16 | DET:11 | NOUN:66 | PART:6 | PRON:8 | PROPN:1 | PUNCT:21 | SCONJ:3 | VERB:29,ADJ:31 | ADP:30 | ADV:12 | AUX:5 | CCONJ:21 | DET:6 | NOUN:66 | PART:5 | PRON:9 | PROPN:1 | PUNCT:25 | SCONJ:5 | VERB:28
ADJ:21 | ADP:35 | ADV:16 | AUX:6 | CCONJ:10 | DET:9 | NOUN:81 | NUM:6 | PART:7 | PRON:8 | PROPN:7 | PUNCT:21 | SCONJ:4 | SPACE:6 | SYM:1 | VERB:30,ADJ:21 | ADP:40 | ADV:14 | AUX:10 | CCONJ:5 | DET:11 | NOUN:76 | NUM:5 | PART:5 | PRON:4 | PROPN:7 | PUNCT:26 | SCONJ:5 | VERB:30
ADJ:6 | ADP:16 | ADV:12 | AUX:7 | CCONJ:5 | DET:9 | NOUN:33 | NUM:2 | PART:3 | PRON:8 | PROPN:4 | PUNCT:11 | SCONJ:2 | VERB:19,ADJ:6 | ADP:14 | ADV:12 | AUX:4 | CCONJ:6 | DET:6 | NOUN:33 | NUM:2 | PART:5 | PRON:9 | PROPN:4 | PUNCT:10 | SCONJ:1 | VERB:21
ADJ:14 | ADP:20 | ADV:4 | AUX:11 | CCONJ:5 | DET:18 | NOUN:34 | NUM:4 | PART:5 | PRON:11 | PUNCT:8 | SCONJ:4 | VERB:14,ADJ:17 | ADP:12 | ADV:10 | AUX:8 | CCONJ:5 | DET:12 | NOUN:31 | NUM:1 | PART:2 | PRON:8 | PROPN:1 | PUNCT:9 | SCONJ:4 | SPACE:1 | VERB:17
ADJ:12 | ADP:13 | ADV:11 | AUX:6 | CCONJ:1 | DET:5 | NOUN:18 | PART:5 | PRON:6 | PROPN:4 | PUNCT:5 | SCONJ:5 | VERB:17,ADJ:9 | ADP:12 | ADV:11 | AUX:4 | CCONJ:1 | DET:5 | NOUN:23 | PART:4 | PRON:5 | PROPN:3 | PUNCT:7 | SCONJ:4 | VERB:16
ADJ:3 | ADP:14 | ADV:2 | CCONJ:1 | DET:2 | NOUN:19 | PART:1 | PRON:3 | PUNCT:3 | VERB:7,ADJ:5 | ADP:12 | ADV:4 | DET:1 | NOUN:16 | PART:4 | PROPN:2 | PUNCT:6 | VERB:8
ADJ:19 | ADP:29 | ADV:5 | AUX:9 | CCONJ:8 | DET:16 | NOUN:62 | NUM:1 | PART:5 | PRON:11 | PROPN:8 | PUNCT:17 | SCONJ:4 | VERB:24,ADJ:22 | ADP:36 | ADV:10 | AUX:9 | CCONJ:12 | DET:7 | NOUN:63 | NUM:1 | PART:3 | PRON:5 | PROPN:5 | PUNCT:15 | SCONJ:4 | VERB:22
ADJ:16 | ADP:27 | ADV:8 | AUX:7 | CCONJ:8 | DET:7 | NOUN:52 | NUM:3 | PART:8 | PRON:8 | PROPN:2 | PUNCT:10 | SCONJ:2 | VERB:22,ADJ:19 | ADP:22 | ADV:11 | AUX:3 | CCONJ:9 | DET:8 | NOUN:44 | NUM:2 | PART:9 | PRON:7 | PROPN:1 | PUNCT:14 | SCONJ:7 | VERB:27
ADJ:37 | ADP:35 | ADV:13 | AUX:5 | CCONJ:16 | DET:14 | NOUN:78 | NUM:1 | PART:5 | PRON:7 | PUNCT:23 | SCONJ:7 | VERB:29,ADJ:31 | ADP:26 | ADV:18 | AUX:8 | CCONJ:13 | DET:8 | NOUN:64 | NUM:1 | PART:6 | PRON:4 | PROPN:1 | PUNCT:24 | SCONJ:10 | VERB:29
ADJ:18 | ADP:43 | ADV:25 | AUX:4 | CCONJ:11 | DET:13 | NOUN:73 | NUM:5 | PART:5 | PRON:18 | PROPN:5 | PUNCT:27 | SCONJ:4 | SPACE:1 | VERB:33,ADJ:21 | ADP:34 | ADV:15 | AUX:6 | CCONJ:14 | DET:9 | NOUN:76 | NUM:5 | PART:5 | PRON:7 | PROPN:6 | PUNCT:24 | SCONJ:4 | SPACE:1 | VERB:29
ADJ:15 | ADP:9 | ADV:8 | AUX:7 | CCONJ:8 | DET:6 | NOUN:36 | PART:2 | PRON:8 | PUNCT:14 | VERB:15,ADJ:17 | ADP:14 | ADV:8 | AUX:2 | CCONJ:10 | DET:7 | NOUN:41 | NUM:1 | PART:1 | PRON:4 | PUNCT:14 | SCONJ:1 | VERB:13
ADJ:9 | ADP:21 | ADV:10 | AUX:4 | CCONJ:6 | DET:8 | NOUN:30 | NUM:1 | PART:4 | PRON:11 | PUNCT:8 | SCONJ:1 | VERB:16,ADJ:16 | ADP:24 | ADV:6 | AUX:2 | CCONJ:9 | DET:4 | NOUN:35 | NUM:1 | PART:5 | PRON:2 | PUNCT:8 | SCONJ:1 | VERB:17
ADJ:18 | ADP:32 | ADV:14 | AUX:6 | CCONJ:17 | DET:14 | NOUN:84 | PART:11 | PRON:11 | PROPN:2 | PUNCT:14 | SCONJ:2 | VERB:38,ADJ:22 | ADP:33 | ADV:12 | AUX:7 | CCONJ:22 | DET:8 | NOUN:87 | PART:10 | PRON:5 | PROPN:2 | PUNCT:18 | SCONJ:9 | VERB:37
ADJ:16 | ADP:20 | ADV:7 | AUX:4 | CCONJ:5 | DET:8 | NOUN:34 | PART:4 | PRON:12 | PUNCT:5 | SCONJ:6 | VERB:17,ADJ:15 | ADP:25 | ADV:8 | CCONJ:8 | DET:10 | NOUN:40 | PART:5 | PRON:10 | PUNCT:6 | SCONJ:6 | VERB:18
