Row,POS_Diff_ADJ,POS_Diff_ADP,POS_Diff_ADV,POS_Diff_AUX,POS_Diff_CCONJ,POS_Diff_DET,POS_Diff_INTJ,POS_Diff_NOUN,POS_Diff_NUM,POS_Diff_PART,POS_Diff_PRON,POS_Diff_PROPN,POS_Diff_PUNCT,POS_Diff_SCONJ,POS_Diff_SPACE,POS_Diff_SYM,POS_Diff_VERB
1,0.039,0.0978,0.0378,-0.0117,-0.0723,0.039,0.0,0.005,0.0099,-0.0012,-0.1051,0.0,0.0267,-0.0513,0.0099,0.0,-0.0234
2,-0.0667,-0.0667,-0.0898,-0.0232,-0.0454,-0.0009,0.0,0.1276,0.0,0.0,-0.1565,0.087,0.1063,0.0435,0.0,0.0,0.085
3,-0.1019,0.047,0.0125,-0.011,-0.0682,0.0235,0.0,0.0761,0.0517,-0.0055,-0.0157,-0.0055,-0.0847,0.0517,0.0,0.0,0.0298
4,-0.0811,-0.027,0.2792,-0.0811,-0.0811,0.2252,0.0,-0.1892,0.0,-0.0541,-0.0811,0.0,0.1711,0.0,0.0,0.0,-0.0811
5,-0.034,0.0808,-0.006,-0.0625,-0.0126,-0.0084,0.0,0.0359,0.0131,-0.0042,-0.0579,-0.0107,-0.0014,-0.028,0.0588,0.0,0.0374
6,-0.0499,0.0302,-0.006,-0.0323,0.0146,-0.002,0.0,0.0106,0.0,0.0146,-0.002,0.0469,-0.0675,0.0312,0.0,0.0,0.0116
7,-0.0312,0.0688,0.1032,-0.0312,0.001,0.0667,-0.0323,0.0377,0.0,-0.0301,-0.0312,-0.0323,-0.028,0.0,0.0,0.0,-0.0613
8,0.0333,-0.0466,-0.0625,-0.0153,0.0809,-0.0159,0.0,0.0184,0.0,0.0006,-0.0297,0.0164,0.0016,-0.0471,0.0,0.0,0.0661
9,-0.0303,-0.0678,-0.0266,0.0206,-0.0678,0.0545,-0.0169,-0.0472,0.0,0.0,-0.0096,0.0545,0.184,-0.0169,0.0,0.0,-0.0303
10,-0.0303,-0.1061,-0.197,0.0974,-0.0606,-0.0303,0.0,0.0368,0.0,-0.0303,0.1645,0.0,0.2099,-0.0758,0.0,0.0,0.0217
11,0.0306,-0.0111,-0.1079,0.0219,-0.0096,0.0588,0.0,0.0344,0.0091,0.0267,-0.0255,-0.0048,-0.0288,-0.0053,0.0,0.0,0.0114
12,0.161,-0.0779,0.0701,-0.026,-0.039,0.0,0.0,0.0571,0.0,-0.013,-0.1818,0.0,0.0961,0.1221,0.0,0.0,-0.1688
13,-0.0083,0.0,0.0583,-0.0667,0.0583,0.0,0.0,0.05,0.0,0.0,-0.0667,-0.0083,0.05,0.0,0.0,0.0,-0.0667
14,0.4286,0.0,-0.0714,-0.0714,-0.0714,0.0,0.0,-0.2143,0.0,0.0,-0.0714,0.3571,-0.1429,0.0,0.0,0.0,-0.1429
15,-0.16,0.0,-0.08,0.0,-0.08,0.0,0.0,-0.0182,0.0,0.0,-0.16,0.2836,0.2436,0.0,0.0,0.0,-0.0291
16,-0.0929,0.0,-0.0071,0.0357,-0.1,0.0,0.0,0.0143,-0.05,0.0,0.0214,-0.0286,0.15,0.0,0.0,0.0357,0.0214
17,0.0048,0.0942,0.0497,-0.0579,-0.0624,0.0448,0.0,0.1441,0.0,0.0179,0.0183,-0.116,-0.0532,0.0,0.0269,0.009,-0.1201
18,-0.1739,0.25,-0.1739,-0.087,-0.0435,0.0,0.0,0.1196,0.0,0.0,0.1196,0.0,0.1196,0.0,0.0,0.0,-0.1304
19,-0.0417,0.0083,-0.2083,0.025,0.05,-0.0417,0.1,0.0167,0.0,0.05,-0.0167,0.0,0.075,0.0,0.0,0.0,-0.0167
20,0.0306,-0.0065,-0.1433,-0.0563,0.0,-0.0435,0.037,0.0177,0.0,0.037,0.0611,0.0,0.1659,-0.087,0.037,0.0,-0.05
