Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.1056 | ADP:0.1197 | ADV:0.0282 | AUX:0.0423 | CCONJ:0.0423 | DET:0.0845 | NOUN:0.2746 | PART:0.0070 | PRON:0.0845 | PUNCT:0.0563 | SCONJ:0.0493 | VERB:0.1056,,142,0
ADJ:0.1027 | ADP:0.1849 | ADV:0.0137 | AUX:0.0205 | CCONJ:0.0479 | DET:0.0411 | NOUN:0.3425 | NUM:0.0068 | PART:0.0205 | PRON:0.0137 | PUNCT:0.0753 | SCONJ:0.0274 | VERB:0.1027,,146,0
ADJ:0.0963 | ADP:0.1560 | ADV:0.0321 | AUX:0.0275 | CCONJ:0.0459 | DET:0.0321 | NOUN:0.3211 | NUM:0.0367 | PART:0.0046 | PRON:0.0550 | PROPN:0.0046 | PUNCT:0.0780 | SCONJ:0.0138 | VERB:0.0963,,218,0
ADJ:0.0510 | ADP:0.1412 | ADV:0.0667 | AUX:0.0863 | CCONJ:0.0431 | DET:0.0353 | NOUN:0.2157 | NUM:0.0078 | PART:0.0275 | PRON:0.1137 | PUNCT:0.0627 | SCONJ:0.0392 | VERB:0.1098,,255,0
ADJ:0.1048 | ADP:0.1333 | ADV:0.0286 | AUX:0.0381 | CCONJ:0.0857 | DET:0.0476 | NOUN:0.2952 | NUM:0.0190 | PART:0.0095 | PRON:0.0476 | PROPN:0.0095 | PUNCT:0.0667 | SCONJ:0.0286 | VERB:0.0857,,105,0
ADJ:0.0746 | ADP:0.1493 | ADV:0.0299 | CCONJ:0.0672 | DET:0.0672 | NOUN:0.2985 | NUM:0.0224 | PART:0.0075 | PRON:0.0522 | PUNCT:0.0896 | SCONJ:0.0149 | SYM:0.0075 | VERB:0.1194,,134,0
ADJ:0.0865 | ADP:0.0769 | ADV:0.0673 | AUX:0.0288 | CCONJ:0.0192 | DET:0.0673 | NOUN:0.2212 | NUM:0.0096 | PART:0.0192 | PRON:0.1058 | PROPN:0.0769 | PUNCT:0.0673 | SCONJ:0.0096 | VERB:0.1442,,104,0
ADJ:0.1020 | ADP:0.1451 | ADV:0.0863 | AUX:0.0392 | CCONJ:0.0392 | DET:0.0745 | NOUN:0.2275 | NUM:0.0235 | PART:0.0157 | PRON:0.0706 | PROPN:0.0078 | PUNCT:0.0706 | SCONJ:0.0157 | VERB:0.0824,,255,0
ADJ:0.1656 | ADP:0.1411 | ADV:0.0552 | AUX:0.0245 | CCONJ:0.0736 | DET:0.0613 | NOUN:0.2577 | PART:0.0123 | PRON:0.0123 | PROPN:0.0061 | PUNCT:0.0613 | SCONJ:0.0307 | VERB:0.0982,,163,0
ADJ:0.0796 | ADP:0.1681 | ADV:0.0398 | AUX:0.0398 | CCONJ:0.0398 | DET:0.0796 | NOUN:0.2522 | NUM:0.0088 | PART:0.0354 | PRON:0.0354 | PROPN:0.0177 | PUNCT:0.0619 | SCONJ:0.0265 | VERB:0.1150,,226,0
ADJ:0.0538 | ADP:0.1462 | ADV:0.0385 | AUX:0.0385 | CCONJ:0.0538 | DET:0.0385 | NOUN:0.3308 | PRON:0.0462 | PROPN:0.0538 | PUNCT:0.1077 | SCONJ:0.0077 | VERB:0.0846,,130,0
ADJ:0.1064 | ADP:0.1348 | ADV:0.0284 | AUX:0.0355 | CCONJ:0.0284 | DET:0.0426 | NOUN:0.3121 | NUM:0.0355 | PART:0.0071 | PRON:0.0213 | PUNCT:0.1206 | SCONJ:0.0142 | VERB:0.1135,,141,0
ADJ:0.0891 | ADP:0.1894 | ADV:0.0334 | AUX:0.0223 | CCONJ:0.0585 | DET:0.0474 | NOUN:0.3175 | NUM:0.0195 | PART:0.0111 | PRON:0.0418 | PROPN:0.0028 | PUNCT:0.0864 | SCONJ:0.0139 | VERB:0.0669,,359,0
ADJ:0.1233 | ADP:0.1507 | ADV:0.0685 | AUX:0.0594 | CCONJ:0.0091 | DET:0.0594 | NOUN:0.2009 | NUM:0.0365 | PART:0.0183 | PRON:0.0731 | PROPN:0.0046 | PUNCT:0.0548 | SCONJ:0.0411 | VERB:0.1005,,219,0
ADJ:0.1150 | ADP:0.1150 | ADV:0.0354 | AUX:0.0265 | CCONJ:0.0531 | DET:0.0265 | NOUN:0.2301 | NUM:0.0442 | PART:0.0177 | PRON:0.0442 | PROPN:0.0619 | PUNCT:0.1062 | SCONJ:0.0177 | VERB:0.1062,,113,0
ADJ:0.0880 | ADP:0.1496 | ADV:0.0352 | AUX:0.0381 | CCONJ:0.0704 | DET:0.0205 | NOUN:0.2405 | NUM:0.0469 | PART:0.0205 | PRON:0.0293 | PROPN:0.0762 | PUNCT:0.0880 | SCONJ:0.0147 | VERB:0.0821,,341,0
ADJ:0.0824 | ADP:0.0784 | ADV:0.0196 | AUX:0.0196 | CCONJ:0.0745 | DET:0.0353 | NOUN:0.2784 | NUM:0.1255 | PART:0.0118 | PRON:0.0078 | PROPN:0.0118 | PUNCT:0.1216 | SCONJ:0.0078 | SPACE:0.0196 | VERB:0.1059,,255,0
ADJ:0.1089 | ADP:0.1371 | ADV:0.0726 | AUX:0.0282 | CCONJ:0.0645 | DET:0.0444 | NOUN:0.2702 | PART:0.0242 | PRON:0.0323 | PROPN:0.0040 | PUNCT:0.0847 | SCONJ:0.0121 | VERB:0.1169,,248,0
ADJ:0.0784 | ADP:0.1306 | ADV:0.0597 | AUX:0.0224 | CCONJ:0.0373 | DET:0.0336 | NOUN:0.3022 | NUM:0.0224 | PART:0.0261 | PRON:0.0299 | PROPN:0.0261 | PUNCT:0.0784 | SCONJ:0.0149 | SPACE:0.0224 | SYM:0.0037 | VERB:0.1119,,268,0
ADJ:0.0438 | ADP:0.1168 | ADV:0.0876 | AUX:0.0511 | CCONJ:0.0365 | DET:0.0657 | NOUN:0.2409 | NUM:0.0146 | PART:0.0219 | PRON:0.0584 | PROPN:0.0292 | PUNCT:0.0803 | SCONJ:0.0146 | VERB:0.1387,,137,0
ADJ:0.0921 | ADP:0.1316 | ADV:0.0263 | AUX:0.0724 | CCONJ:0.0329 | DET:0.1184 | NOUN:0.2237 | NUM:0.0263 | PART:0.0329 | PRON:0.0724 | PUNCT:0.0526 | SCONJ:0.0263 | VERB:0.0921,,152,0
ADJ:0.1111 | ADP:0.1204 | ADV:0.1019 | AUX:0.0556 | CCONJ:0.0093 | DET:0.0463 | NOUN:0.1667 | PART:0.0463 | PRON:0.0556 | PROPN:0.0370 | PUNCT:0.0463 | SCONJ:0.0463 | VERB:0.1574,,108,0
ADJ:0.0545 | ADP:0.2545 | ADV:0.0364 | CCONJ:0.0182 | DET:0.0364 | NOUN:0.3455 | PART:0.0182 | PRON:0.0545 | PUNCT:0.0545 | VERB:0.1273,,55,0
ADJ:0.0872 | ADP:0.1330 | ADV:0.0229 | AUX:0.0413 | CCONJ:0.0367 | DET:0.0734 | NOUN:0.2844 | NUM:0.0046 | PART:0.0229 | PRON:0.0505 | PROPN:0.0367 | PUNCT:0.0780 | SCONJ:0.0183 | VERB:0.1101,,218,0
ADJ:0.0889 | ADP:0.1500 | ADV:0.0444 | AUX:0.0389 | CCONJ:0.0444 | DET:0.0389 | NOUN:0.2889 | NUM:0.0167 | PART:0.0444 | PRON:0.0444 | PROPN:0.0111 | PUNCT:0.0556 | SCONJ:0.0111 | VERB:0.1222,,180,0
ADJ:0.1370 | ADP:0.1296 | ADV:0.0481 | AUX:0.0185 | CCONJ:0.0593 | DET:0.0519 | NOUN:0.2889 | NUM:0.0037 | PART:0.0185 | PRON:0.0259 | PUNCT:0.0852 | SCONJ:0.0259 | VERB:0.1074,,270,0
ADJ:0.0804 | ADP:0.1124 | ADV:0.0501 | AUX:0.0277 | CCONJ:0.0441 | DET:0.0501 | NOUN:0.2904 | NUM:0.0095 | PART:0.0216 | PRON:0.0605 | PROPN:0.0233 | PUNCT:0.0890 | SCONJ:0.0130 | SPACE:0.0052 | SYM:0.0138 | VERB:0.1089,,1157,0
ADJ:0.1013 | ADP:0.1392 | ADV:0.0506 | AUX:0.0127 | CCONJ:0.1139 | NOUN:0.3797 | NUM:0.0127 | PRON:0.0253 | PUNCT:0.0506 | VERB:0.1139,,79,0
ADJ:0.0571 | ADP:0.1357 | ADV:0.0571 | AUX:0.0571 | CCONJ:0.0357 | DET:0.0786 | NOUN:0.2214 | NUM:0.0071 | PART:0.0571 | PRON:0.0786 | PROPN:0.0071 | PUNCT:0.0714 | SCONJ:0.0071 | VERB:0.1286,,140,0
ADJ:0.1148 | ADP:0.1475 | ADV:0.0369 | AUX:0.0123 | CCONJ:0.0246 | DET:0.0861 | NOUN:0.2459 | NUM:0.0164 | PART:0.0205 | PRON:0.0697 | PUNCT:0.0820 | SCONJ:0.0205 | VERB:0.1230,,244,0
ADJ:0.0625 | ADP:0.1490 | ADV:0.0385 | AUX:0.0433 | CCONJ:0.0433 | DET:0.0769 | NOUN:0.2596 | NUM:0.0096 | PART:0.0337 | PRON:0.0433 | PUNCT:0.0433 | SCONJ:0.0385 | SPACE:0.0048 | VERB:0.1538,,208,0
ADJ:0.0775 | ADP:0.1373 | ADV:0.0704 | AUX:0.0387 | CCONJ:0.0704 | DET:0.0317 | NOUN:0.2923 | NUM:0.0035 | PART:0.0070 | PRON:0.0493 | PROPN:0.0035 | PUNCT:0.0634 | SCONJ:0.0211 | VERB:0.1338,,284,0
ADJ:0.0465 | ADP:0.1395 | ADV:0.0465 | AUX:0.0930 | CCONJ:0.0465 | DET:0.0349 | NOUN:0.2558 | PART:0.0349 | PRON:0.0930 | PROPN:0.0116 | PUNCT:0.0465 | SCONJ:0.0116 | VERB:0.1395,,86,0
ADJ:0.0510 | ADP:0.1412 | ADV:0.0667 | AUX:0.0863 | CCONJ:0.0431 | DET:0.0353 | NOUN:0.2157 | NUM:0.0078 | PART:0.0275 | PRON:0.1137 | PUNCT:0.0627 | SCONJ:0.0392 | VERB:0.1098,,255,0
ADJ:0.0670 | ADP:0.1607 | ADV:0.0625 | AUX:0.0357 | CCONJ:0.0312 | DET:0.0580 | NOUN:0.2723 | PART:0.0179 | PRON:0.0625 | PROPN:0.0089 | PUNCT:0.0714 | SCONJ:0.0312 | VERB:0.1205,,224,0
ADJ:0.1024 | ADP:0.1366 | ADV:0.0146 | AUX:0.0585 | CCONJ:0.0683 | DET:0.0683 | NOUN:0.2488 | NUM:0.0049 | PART:0.0244 | PRON:0.0439 | PROPN:0.0098 | PUNCT:0.0878 | SCONJ:0.0244 | VERB:0.1073,,205,0
ADJ:0.0568 | ADP:0.1477 | ADV:0.0909 | AUX:0.0341 | CCONJ:0.0568 | DET:0.0341 | NOUN:0.1250 | PART:0.0568 | PRON:0.1136 | PROPN:0.0455 | PUNCT:0.0568 | SCONJ:0.0114 | VERB:0.1705,,88,0
ADJ:0.0946 | ADP:0.1300 | ADV:0.0473 | AUX:0.0473 | CCONJ:0.0520 | DET:0.0496 | NOUN:0.2317 | PART:0.0331 | PRON:0.1135 | PUNCT:0.0520 | SCONJ:0.0236 | VERB:0.1253,,423,0
ADJ:0.1073 | ADP:0.0976 | ADV:0.0488 | AUX:0.0439 | CCONJ:0.0244 | DET:0.0683 | NOUN:0.2537 | NUM:0.0390 | PART:0.0244 | PRON:0.0585 | PUNCT:0.0390 | SCONJ:0.0537 | VERB:0.1415,,205,0
ADJ:0.0833 | ADP:0.1603 | ADV:0.0470 | AUX:0.0214 | CCONJ:0.0534 | DET:0.0192 | NOUN:0.2799 | NUM:0.0171 | PART:0.0128 | PRON:0.0278 | PROPN:0.0684 | PUNCT:0.1068 | SCONJ:0.0085 | SYM:0.0021 | VERB:0.0919,,468,0
ADJ:0.1143 | ADP:0.1071 | ADV:0.0714 | AUX:0.0500 | CCONJ:0.0214 | DET:0.0786 | NOUN:0.2714 | NUM:0.0357 | PART:0.0071 | PRON:0.0429 | PROPN:0.0071 | PUNCT:0.0714 | SCONJ:0.0214 | SYM:0.0143 | VERB:0.0857,,140,0
ADJ:0.1111 | ADP:0.1263 | ADV:0.0657 | AUX:0.0354 | CCONJ:0.0354 | DET:0.0606 | NOUN:0.2273 | NUM:0.0101 | PART:0.0404 | PRON:0.0606 | PROPN:0.0202 | PUNCT:0.0606 | SCONJ:0.0253 | VERB:0.1212,,198,0
ADJ:0.1447 | ADP:0.1132 | ADV:0.0566 | AUX:0.0314 | CCONJ:0.0692 | DET:0.0440 | NOUN:0.2453 | NUM:0.0126 | PART:0.0063 | PRON:0.0377 | PUNCT:0.0881 | SCONJ:0.0377 | VERB:0.1132,,159,0
