Abstract_Tokens,Generated_Abstract_Tokens
"Jag,gjorde,inte,lumpen,,,började,på,universitet,istället,.,Skulle,egentligen,börja,efter,en,termin,studier,,,men,jag,skickade,ett,brev,och,slapp,.,Förmodligen,ett,bra,val,av,många,skäl,,,bland,annat,eftersom,jag,stör,mig,på,meningslösa,sysslor,(,enligt,mig,),och,inkompetenta,auktoriteter,(,vilket,man,antagligen,skulle,stött,på,),.,

,Militären,är,i,mina,ögon,inte,till,för,någon,tänkande,människa,,,det,är,ju,därför,nästan,varje,land,i,världen,har,åldern,satt,vid,18,år,,,de,flesta,går,nog,inte,med,frivilligt,efter,att,ha,mognat,lite,.","Jag,gjorde,lumpen,och,det,var,verkligen,en,blandning,av,svett,och,skratt,!,Tycker,nog,att,det,gav,mig,mycket,,,både,disciplin,och,roliga,minnen,.,Men,jag,förstår,att,det,inte,är,för,alla,.,Kul,att,se,fler,som,vill,snacka,om,det,!,😄"
"utbildningsreserven,,,fick,placering,som,stadsskytteslusk,men,den,enheten,las,ner,.,synd,,,många,verkar,ha,haft,kul,;,[,https://www.flashback.info/showthread.php?t=175573](https://www.flashback.info/showthread.php?t=175573,)","Jag,gjorde,lumpen,och,det,var,verkligen,en,blandning,av,upplevelser,!,Lärde,mig,mycket,om,mig,själv,och,fick,några,grymma,kompisar,på,köpet,.,Visst,var,det,tufft,ibland,,,men,det,är,väl,det,som,gör,det,minnesvärt,,,eller,hur,?"
"Känns,ibland,som,jag,är,en,av,de,sista,som,hunnit,med,tre,repövningar,utöver,originallumpen,vid,42,års,ålder,.,Fick,dock,ett,sorgkantat,brev,från,ÖB,för,ett,par,år,sedan,där,han,beklagade,att,det,inte,fanns,någon,plats,för,mig,längre,.,Måste,erkänna,att,jag,hade,görskoj,80,%,av,tjänstgöringen,faktiskt,.","Haha,,,fattar,!,Jag,gjorde,lumpen,själv,och,det,var,verkligen,en,blandning,av,skratt,och,stress,.,Vissa,stunder,var,helt,sjuka,,,men,jag,lärde,mig,mycket,om,mig,själv,.,Också,kul,att,höra,alla,galna,historier,från,andra,!"
"Samma,här,.","Jag,gjorde,lumpen,och,det,var,en,galen,tid,!,Mycket,skratt,,,några,tuffa,stunder,,,men,jag,skulle,inte,vilja,vara,utan,den,upplevelsen,.,En,del,av,att,växa,upp,,,typ,!,😊"
"Jag,gjorde,inte,lumpen,,,och,jag,ångrar,det,inte,.,Inledningsvis,blev,jag,placerad,som,civilpliktig,i,Porjus,vattenkraftverk,,,och,det,hade,säkert,varit,intressant,med,tanke,på,min,senare,utbildning,och,mitt,nuvarande,jobb,,,men,det,hade,varit,11,långa,månader,i,en,liten,by,i,Norrland,.,Min,tjänst,drogs,in,,,och,jag,valde,att,plugga,,,resa,och,jobba,det,året,istället,,,och,känner,att,den,tiden,gav,mer,.,

,I,princip,resonerar,jag,på,samma,sätt,nu,som,den,dagen,för,snart,12,år,sen,jag,mönstrade,.,

,Bra,med,lumpen,:,

,*,självdisciplin,
,*,utveckla,ledaregenskaper,
,*,möte,människor,med,annan,bakgrund,från,resten,av,landet,

,Dåligt,:,

,*,tar,död,på,kreativitet,
,*,ett,år,av,ditt,liv,går,mer,eller,mindre,till,spillo,
,*,tiden,är,bättre,investerad,i,utbildning,eller,jobb","Haha,,,jag,gjorde,lumpen,och,det,var,verkligen,en,blandning,av,snobbigt,och,riktigt,kul,!,Många,galna,minnen,,,men,jag,kan,förstå,att,man,kan,ångra,att,man,inte,testade,.,Det,är,en,helt,unik,upplevelse,!,🍻"
"forsokte,snusa,lite,Copenhagen,och,Camel,snus,nar,jag,bodde,i,Seattle,,,men,det,ar,verkligen,inte,samma,grej,som,hemma,.,Pasarna,ar,alldeles,for,stora,och,,,som,robeph,skriver,,,sa,ar,materialet,lite,off,ocksa,.,Tror,for,ovrigt,inte,att,konceptet,ar,sa,slaende,nar,det,inte,ar,en,del,av,kulturen,som,den,ar,i,Sverige,.","Det,blir,intressant,att,se,!,Amerikanerna,är,ju,lite,skeptiska,mot,tobaksprodukter,,,men,snus,har,ju,ändå,sin,charm,.,Kanske,får,det,fäste,den,här,gången,?,🧐"
"kommenterade,lite,med,en,snubbe,om,just,camel,snus,,,han,var,inte,så,förtjust,,,men,varför,inte,?,med,alla,sluta,röka,på,offentliga,platser,lagar,så,.","Hmm,,,svårt,att,säga,!,Snus,har,ju,sin,charm,,,men,amerikanerna,kanske,inte,är,lika,snabb,på,att,hoppa,på,trenden,.,Vi,får,se,!,🍂,😄"
"reddit,e,fran,Amerika,(,jag,bor,i,amerika,och,orkar,inte,byta,till,svenskt,alfabet,),och,tjejer,har,ar,ingenting,som,svenska,tjejer,och,det,gor,mig,ledsen,.","Jag,håller,med,,,det,känns,som,att,många,av,de,här,könsrollerna,är,aningen,föråldrade,.,Här,i,Sverige,är,det,mycket,mer,vanligt,att,vi,båda,tar,initiativ,i,olika,sammanhang,,,och,det,där,med,dateringen,är,verkligen,inte,så,stel,,,åtminstone,i,min,bekantskapskrets,.,Känns,som,att,det,är,dags,att,uppdatera,vår,syn,på,relationer,!"
"Ehh,...,jag,skoja,bara,.,Egentligen,är,det,en,jättebra,artikel,!,;)","Ja,,,jag,känner,igen,den,förvirringen,!,Här,i,Sverige,är,det,verkligen,mer,blandat,när,det,kommer,till,roller,och,initiativ,.,Såklart,finns,det,traditionella,normer,kvar,,,men,många,av,oss,går,ju,utanför,dem,och,det,känns,mer,naturligt,.,Det,är,intressant,hur,olika,kulturer,och,forum,kan,ha,så,olika,perspektiv,!"
"Ah,!,Du,bör,förbättra,wikipediaartikeln,.","Jag,håller,med,!,Här,hemma,känns,det,som,att,vi,har,kommit,långt,i,jämställdheten,,,och,många,av,de,gamla,könsrollerna,stämmer,inte,längre,.,Så,mycket,beror,ju,också,på,vilket,sammanhang,man,rör,sig,i,.,Känns,som,att,vi,är,ganska,öppna,och,att,det,är,mer,fritt,fram,för,både,tjejer,och,killar,att,ta,initiativ,nu,för,tiden,."
