comparison,register,condition,feature,n_pairs,median_A,median_B,cohens_dz,rank_biserial,p_value,p_fdr_bh,significant_fdr_0.05
human_vs_gpt,informal,baseline,signed_polarity,1149,-0.031875,0.122889,0.5675089651224866,0.6112854277821924,4.926881969729604e-72,5.9122583636755245e-71,True
human_vs_gpt,informal,baseline,affective_extremity,1149,0.183459,0.298018,0.19163322421119178,0.24412759677602452,7.606500825799824e-13,4.5639004954798944e-12,True
human_vs_gpt,informal,baseline,is_subjective,1149,0.0,0.0,0.08530445415470629,0.14081145584725538,0.003947352834119968,0.005263137112159957,True
human_vs_gpt,informal,human_like,signed_polarity,1149,-0.031875,-0.010457,0.044881312163958846,0.10748703976993226,0.0015993217774599572,0.0023989826661899357,True
human_vs_gpt,informal,human_like,affective_extremity,1149,0.183459,0.132637,-0.15908043165022864,-0.1836349188330117,6.972371105732553e-08,1.6733690653758128e-07,True
human_vs_gpt,informal,human_like,is_subjective,1149,0.0,0.0,-0.11106245283623906,-0.20606060606060606,0.00018163594785725287,0.0003113759106124335,True
human_vs_gpt,informal,detector_aware,signed_polarity,1149,-0.031875,-0.082495,-0.20403229118667807,-0.22821356945548113,2.0728406382911958e-11,6.218521914873587e-11,True
human_vs_gpt,informal,detector_aware,affective_extremity,1149,0.183459,0.184885,0.018137938349188417,0.034599462670753395,0.30967314055334394,0.37160776866401274,False
human_vs_gpt,informal,detector_aware,is_subjective,1149,0.0,0.0,-0.0030912369502328466,-0.005494505494505495,0.916511907863894,0.999831172215157,False
human_vs_gpt,informal,detector_evasive,signed_polarity,1149,-0.031875,-0.105851,-0.23204093307623683,-0.23735573466530444,3.186799697856691e-12,1.2747198791426764e-11,True
human_vs_gpt,informal,detector_evasive,affective_extremity,1149,0.183459,0.252395,0.10560173842222723,0.17463805956029818,2.9327818748813707e-07,5.865563749762741e-07,True
human_vs_gpt,informal,detector_evasive,is_subjective,1149,0.0,0.0,0.0,0.0,1.0,1.0,False
human_vs_mistral,informal,baseline,signed_polarity,1149,-0.031875,-0.022396,-0.013646927317964071,0.008091724372800545,0.8121999550054325,0.8121999550054325,False
human_vs_mistral,informal,baseline,affective_extremity,1149,0.183459,0.175954,0.042122124454513285,0.04939190978923071,0.14699065651503412,0.27482774823881506,False
human_vs_mistral,informal,baseline,is_subjective,1149,0.0,0.0,0.03730824726807889,0.0639386189258312,0.2061208111791113,0.27482774823881506,False
human_vs_mistral,informal,human_like,signed_polarity,1149,-0.031875,-0.003171,0.1855424318439493,0.25943315548492074,2.5870289854590275e-14,3.104434782550833e-13,True
human_vs_mistral,informal,human_like,affective_extremity,1149,0.183459,0.168594,-0.029882083502442213,-0.04761948007719378,0.16205260121574439,0.27482774823881506,False
human_vs_mistral,informal,human_like,is_subjective,1149,0.0,0.0,-0.03743043953526419,-0.0670391061452514,0.204641073807586,0.27482774823881506,False
human_vs_mistral,informal,detector_aware,signed_polarity,1149,-0.031875,-0.045282,-0.12984774064368818,-0.12593029855829266,0.00021768118374016168,0.000653043551220485,True
human_vs_mistral,informal,detector_aware,affective_extremity,1149,0.183459,0.17158,0.029882901362528545,0.015812615885268853,0.6424403935128474,0.700844065650379,False
human_vs_mistral,informal,detector_aware,is_subjective,1149,0.0,0.0,0.019440238461635333,0.033419023136246784,0.5098147553515731,0.6117777064218877,False
human_vs_mistral,informal,detector_evasive,signed_polarity,1149,-0.031875,-0.064857,-0.13320768817745793,-0.1400491921141257,3.920439207839634e-05,0.00015681756831358536,True
human_vs_mistral,informal,detector_evasive,affective_extremity,1149,0.183459,0.227761,0.11140510034794114,0.16449994323986833,1.3650483626978981e-06,8.19029017618739e-06,True
human_vs_mistral,informal,detector_evasive,is_subjective,1149,0.0,0.0,0.04082386320738938,0.07086614173228346,0.16658764010038196,0.27482774823881506,False
mistral_vs_gpt,informal,baseline,signed_polarity,1149,-0.022396,0.122889,0.7403232132445331,0.7694025050138116,5.293035899314809e-113,6.35164307917777e-112,True
mistral_vs_gpt,informal,baseline,affective_extremity,1149,0.175954,0.298018,0.17314357990617615,0.2547197941499224,7.484867799464856e-14,4.490920679678914e-13,True
mistral_vs_gpt,informal,baseline,is_subjective,1149,0.0,0.0,0.055275910436147796,0.10303030303030303,0.0612566469679658,0.09188497045194871,False
mistral_vs_gpt,informal,human_like,signed_polarity,1149,-0.003171,-0.010457,-0.19990491990261594,-0.23805804669466832,2.7517751061692025e-12,1.100710042467681e-11,True
mistral_vs_gpt,informal,human_like,affective_extremity,1149,0.168594,0.132637,-0.1547092802458418,-0.18862072880009081,3.054657914709834e-08,9.163973744129502e-08,True
mistral_vs_gpt,informal,human_like,is_subjective,1149,0.0,0.0,-0.08267193673991445,-0.1774193548387097,0.005206002887183147,0.008924576378028251,True
mistral_vs_gpt,informal,detector_aware,signed_polarity,1149,-0.045282,-0.082495,-0.07836950384590637,-0.1182835736178908,0.0005146027906296807,0.0011207346988618366,True
mistral_vs_gpt,informal,detector_aware,affective_extremity,1149,0.17158,0.184885,-0.016166663265351662,0.03598289628031937,0.29072685081969696,0.34887222098363635,False
mistral_vs_gpt,informal,detector_aware,is_subjective,1149,0.0,0.0,-0.026118572553004878,-0.05226480836236934,0.37592906894957023,0.4101044388540766,False
mistral_vs_gpt,informal,detector_evasive,signed_polarity,1149,-0.064857,-0.105851,-0.12041741136480812,-0.11750255420592576,0.0005603673494309183,0.0011207346988618366,True
mistral_vs_gpt,informal,detector_evasive,affective_extremity,1149,0.227761,0.252395,-0.01634278081361035,0.008512506149014266,0.8026307441352146,0.8026307441352146,False
mistral_vs_gpt,informal,detector_evasive,is_subjective,1149,0.0,0.0,-0.045636984744862885,-0.08852459016393442,0.12210082384022718,0.16280109845363622,False
