Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:8 | advcl:3 | advmod:1 | amod:12 | appos:2 | aux:2 | case:23 | cc:5 | ccomp:1 | conj:6 | cop:1 | csubj:1 | det:6 | expl:1 | fixed:7 | mark:10 | nmod:14 | nmod:poss:4 | nsubj:8 | nsubj:pass:3 | nummod:1 | obj:7 | obl:7 | punct:11 | xcomp:2,ROOT:8 | acl:1 | acl:relcl:3 | advcl:5 | advmod:12 | amod:22 | appos:2 | aux:5 | case:18 | cc:18 | ccomp:1 | conj:18 | cop:2 | det:2 | fixed:7 | mark:15 | nmod:8 | nmod:poss:6 | nsubj:14 | nsubj:pass:5 | obj:4 | obl:9 | punct:18 | xcomp:3
ROOT:12 | acl:2 | acl:cleft:1 | acl:relcl:4 | advcl:1 | advmod:7 | amod:16 | aux:1 | case:32 | cc:11 | ccomp:3 | conj:13 | cop:4 | det:6 | expl:1 | fixed:1 | iobj:1 | mark:7 | nmod:18 | nmod:poss:8 | nsubj:15 | nsubj:pass:5 | nummod:7 | obj:7 | obl:15 | obl:agent:1 | parataxis:1 | punct:17 | xcomp:1,ROOT:11 | acl:2 | acl:cleft:1 | acl:relcl:3 | advcl:10 | advmod:21 | amod:17 | appos:3 | aux:7 | case:21 | cc:28 | ccomp:3 | compound:prt:2 | conj:35 | cop:2 | dep:1 | det:12 | dislocated:1 | expl:1 | fixed:3 | mark:25 | nmod:8 | nmod:poss:9 | nsubj:23 | nsubj:pass:8 | obj:16 | obl:15 | parataxis:2 | punct:53 | xcomp:6
ROOT:11 | acl:relcl:5 | advcl:6 | advmod:16 | amod:11 | appos:1 | aux:17 | case:32 | cc:11 | ccomp:6 | compound:prt:2 | conj:9 | cop:4 | det:10 | expl:2 | fixed:1 | mark:16 | nmod:9 | nmod:poss:3 | nsubj:24 | nsubj:pass:2 | nummod:2 | obj:12 | obl:22 | obl:agent:1 | parataxis:2 | punct:16 | xcomp:2,ROOT:6 | acl:cleft:1 | acl:relcl:4 | advcl:2 | advmod:12 | amod:9 | appos:2 | aux:3 | case:9 | cc:15 | ccomp:1 | conj:21 | det:7 | fixed:2 | mark:8 | nmod:4 | nmod:poss:4 | nsubj:15 | nsubj:pass:1 | obj:10 | obl:4 | punct:17 | xcomp:2
ROOT:5 | acl:2 | acl:relcl:1 | advcl:1 | advmod:5 | amod:8 | aux:3 | case:14 | cc:10 | conj:7 | cop:1 | dep:1 | det:5 | mark:3 | nmod:3 | nmod:poss:4 | nsubj:8 | nsubj:pass:1 | obj:7 | obl:9 | punct:7,ROOT:7 | acl:1 | acl:relcl:4 | advcl:6 | advmod:11 | amod:16 | appos:3 | aux:2 | case:22 | cc:20 | ccomp:1 | compound:prt:2 | conj:26 | det:8 | dislocated:1 | fixed:3 | mark:10 | nmod:12 | nmod:poss:8 | nsubj:10 | nsubj:pass:5 | nummod:1 | obj:10 | obl:10 | punct:18 | xcomp:1
ROOT:6 | acl:relcl:2 | advcl:2 | advmod:2 | amod:10 | appos:3 | case:18 | cc:8 | ccomp:3 | compound:prt:2 | conj:8 | det:9 | dislocated:1 | fixed:2 | mark:4 | nmod:8 | nmod:poss:2 | nsubj:7 | nsubj:pass:6 | nummod:2 | obj:3 | obl:11 | parataxis:1 | punct:12 | xcomp:2,ROOT:6 | acl:2 | acl:relcl:2 | advcl:4 | advmod:12 | amod:13 | aux:2 | case:15 | cc:22 | ccomp:4 | compound:prt:1 | conj:31 | cop:1 | det:5 | dislocated:2 | fixed:5 | iobj:1 | mark:13 | nmod:5 | nmod:poss:4 | nsubj:10 | nsubj:pass:9 | obj:6 | obl:10 | parataxis:1 | punct:28 | xcomp:3
ROOT:7 | acl:relcl:2 | advcl:1 | advmod:7 | amod:9 | aux:3 | case:9 | cc:2 | ccomp:1 | conj:2 | cop:2 | det:9 | iobj:1 | mark:3 | nmod:6 | nmod:poss:4 | nsubj:11 | obj:8 | obl:6 | punct:9 | xcomp:2,ROOT:12 | acl:3 | acl:relcl:5 | advcl:5 | advmod:32 | amod:28 | appos:7 | aux:7 | case:49 | cc:33 | ccomp:6 | compound:prt:2 | conj:39 | cop:3 | dep:2 | det:21 | fixed:7 | flat:name:1 | mark:22 | nmod:17 | nmod:poss:16 | nsubj:33 | nsubj:pass:5 | nummod:8 | obj:19 | obl:33 | obl:agent:1 | parataxis:2 | punct:57 | xcomp:2
ROOT:12 | acl:1 | acl:relcl:4 | advcl:3 | advmod:17 | amod:22 | appos:3 | aux:5 | case:29 | cc:10 | compound:prt:4 | conj:9 | cop:6 | csubj:2 | det:21 | dislocated:2 | expl:3 | fixed:8 | mark:12 | nmod:13 | nmod:poss:6 | nsubj:15 | nsubj:pass:5 | nummod:4 | obj:3 | obl:18 | punct:18,ROOT:8 | acl:3 | acl:relcl:1 | advcl:5 | advmod:13 | amod:21 | appos:1 | aux:5 | case:22 | cc:14 | ccomp:3 | compound:prt:1 | conj:14 | cop:1 | dep:2 | det:13 | fixed:4 | mark:17 | nmod:8 | nmod:poss:2 | nsubj:9 | nsubj:pass:10 | nummod:2 | obj:5 | obl:13 | parataxis:2 | punct:14 | xcomp:4
ROOT:8 | acl:2 | acl:relcl:1 | advcl:2 | advmod:8 | amod:20 | case:21 | cc:11 | ccomp:1 | compound:prt:1 | conj:12 | cop:4 | csubj:1 | det:11 | expl:1 | fixed:4 | mark:9 | nmod:7 | nmod:poss:1 | nsubj:10 | nsubj:pass:1 | obj:2 | obl:11 | parataxis:1 | punct:10 | xcomp:3,ROOT:8 | acl:1 | acl:relcl:2 | advcl:5 | advmod:16 | amod:18 | appos:5 | aux:3 | case:21 | cc:22 | ccomp:2 | conj:28 | cop:1 | dep:1 | det:9 | dislocated:1 | mark:8 | nmod:10 | nmod:poss:5 | nsubj:16 | nsubj:pass:4 | obj:10 | obl:10 | parataxis:1 | punct:25 | xcomp:2
ROOT:11 | acl:1 | advcl:8 | advmod:6 | amod:19 | aux:8 | case:28 | cc:8 | ccomp:1 | compound:prt:4 | conj:6 | cop:2 | csubj:1 | det:17 | expl:1 | fixed:3 | mark:20 | nmod:13 | nmod:poss:4 | nsubj:13 | nsubj:pass:4 | nummod:1 | obj:11 | obl:18 | parataxis:2 | punct:14 | xcomp:2,ROOT:8 | acl:2 | acl:relcl:1 | advcl:7 | advmod:14 | amod:25 | aux:7 | case:26 | cc:14 | ccomp:1 | conj:19 | cop:2 | csubj:1 | det:8 | dislocated:2 | fixed:2 | mark:12 | nmod:13 | nmod:poss:6 | nsubj:9 | nsubj:pass:9 | obj:7 | obl:12 | parataxis:1 | punct:15 | xcomp:1
ROOT:9 | acl:1 | acl:relcl:3 | advcl:1 | advmod:3 | amod:6 | appos:5 | case:17 | cc:6 | compound:prt:2 | conj:10 | cop:5 | det:5 | mark:3 | nmod:13 | nsubj:10 | nummod:1 | obj:6 | obl:6 | obl:agent:1 | punct:15 | xcomp:2,ROOT:9 | acl:1 | acl:relcl:3 | advcl:6 | advmod:15 | amod:19 | appos:3 | aux:3 | case:21 | cc:19 | ccomp:2 | conj:30 | cop:1 | dep:2 | det:11 | fixed:1 | mark:12 | nmod:13 | nmod:poss:4 | nsubj:15 | nsubj:pass:8 | obj:13 | obl:9 | parataxis:1 | punct:32 | xcomp:3
