Abstract_POS_Counts,Generated_Abstract_POS_Counts
ADJ:15 | ADP:27 | ADV:1 | AUX:3 | CCONJ:6 | DET:6 | NOUN:51 | NUM:1 | PART:3 | PRON:3 | PUNCT:11 | SCONJ:4 | VERB:15,ADJ:26 | ADP:27 | ADV:9 | AUX:9 | CCONJ:18 | DET:2 | NOUN:64 | PART:3 | PRON:4 | PUNCT:18 | SCONJ:7 | VERB:19
ADJ:21 | ADP:34 | ADV:7 | AUX:6 | CCONJ:10 | DET:6 | NOUN:69 | NUM:7 | PART:1 | PRON:12 | PROPN:2 | PUNCT:18 | SCONJ:4 | VERB:21,ADJ:25 | ADP:28 | ADV:22 | AUX:9 | CCONJ:28 | DET:11 | NOUN:92 | PART:14 | PRON:9 | PUNCT:56 | SCONJ:10 | VERB:45
ADJ:12 | ADP:38 | ADV:16 | AUX:22 | CCONJ:11 | DET:9 | NOUN:56 | NUM:2 | PART:7 | PRON:29 | PUNCT:16 | SCONJ:9 | VERB:28,ADJ:11 | ADP:12 | ADV:13 | AUX:4 | CCONJ:14 | DET:7 | NOUN:54 | PART:2 | PRON:5 | PUNCT:17 | SCONJ:4 | VERB:16
ADJ:11 | ADP:14 | ADV:3 | AUX:6 | CCONJ:8 | DET:5 | NOUN:30 | NUM:2 | PART:1 | PRON:6 | PUNCT:7 | SCONJ:4 | VERB:8,ADJ:19 | ADP:30 | ADV:11 | AUX:2 | CCONJ:21 | DET:8 | NOUN:73 | NUM:1 | PART:5 | PRON:6 | PUNCT:17 | VERB:25
ADJ:11 | ADP:19 | ADV:4 | AUX:1 | CCONJ:9 | DET:9 | NOUN:40 | NUM:3 | PART:1 | PRON:7 | PUNCT:12 | SCONJ:3 | SYM:1 | VERB:14,ADJ:22 | ADP:24 | ADV:11 | AUX:4 | CCONJ:22 | DET:6 | NOUN:63 | PART:4 | PRON:9 | PUNCT:28 | SCONJ:2 | VERB:22
ADJ:6 | ADP:13 | ADV:6 | AUX:6 | CCONJ:2 | DET:7 | NOUN:22 | NUM:2 | PART:1 | PRON:11 | PROPN:7 | PUNCT:9 | SCONJ:1 | VERB:11,ADJ:31 | ADP:56 | ADV:28 | AUX:10 | CCONJ:33 | DET:20 | NOUN:112 | NUM:12 | PART:10 | PRON:17 | PROPN:34 | PUNCT:56 | SCONJ:13 | VERB:45
ADJ:26 | ADP:36 | ADV:20 | AUX:11 | CCONJ:10 | DET:20 | NOUN:61 | NUM:6 | PART:4 | PRON:16 | PROPN:2 | PUNCT:18 | SCONJ:4 | VERB:21,ADJ:22 | ADP:30 | ADV:15 | AUX:4 | CCONJ:14 | DET:13 | NOUN:63 | NUM:2 | PART:4 | PRON:2 | PROPN:2 | PUNCT:14 | SCONJ:6 | VERB:26
ADJ:28 | ADP:23 | ADV:8 | AUX:4 | CCONJ:11 | DET:10 | NOUN:46 | PART:2 | PRON:2 | PROPN:1 | PUNCT:10 | SCONJ:6 | VERB:12,ADJ:19 | ADP:23 | ADV:15 | AUX:4 | CCONJ:23 | DET:9 | NOUN:80 | PART:3 | PRON:4 | PUNCT:25 | SCONJ:4 | VERB:25
ADJ:19 | ADP:38 | ADV:10 | AUX:11 | CCONJ:9 | DET:17 | NOUN:57 | NUM:2 | PART:8 | PRON:8 | PROPN:4 | PUNCT:14 | SCONJ:5 | VERB:24,ADJ:30 | ADP:31 | ADV:13 | AUX:9 | CCONJ:14 | DET:8 | NOUN:66 | PART:3 | PRON:7 | PROPN:2 | PUNCT:15 | SCONJ:4 | VERB:22
ADJ:6 | ADP:19 | ADV:5 | AUX:5 | CCONJ:6 | DET:5 | NOUN:43 | NUM:2 | PRON:6 | PROPN:9 | PUNCT:14 | SCONJ:1 | VERB:9,ADJ:23 | ADP:25 | ADV:14 | AUX:4 | CCONJ:19 | DET:11 | NOUN:78 | PART:6 | PRON:5 | PROPN:5 | PUNCT:31 | SCONJ:4 | SYM:1 | VERB:30
