Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.1027 | ADP:0.1849 | ADV:0.0068 | AUX:0.0205 | CCONJ:0.0411 | DET:0.0411 | NOUN:0.3493 | NUM:0.0068 | PART:0.0205 | PRON:0.0205 | PUNCT:0.0753 | SCONJ:0.0274 | VERB:0.1027,ADJ:0.1262 | ADP:0.1311 | ADV:0.0437 | AUX:0.0437 | CCONJ:0.0874 | DET:0.0097 | NOUN:0.3107 | PART:0.0146 | PRON:0.0194 | PUNCT:0.0874 | SCONJ:0.0340 | VERB:0.0922,146,206
ADJ:0.0963 | ADP:0.1560 | ADV:0.0321 | AUX:0.0275 | CCONJ:0.0459 | DET:0.0275 | NOUN:0.3165 | NUM:0.0321 | PART:0.0046 | PRON:0.0550 | PROPN:0.0092 | PUNCT:0.0826 | SCONJ:0.0183 | VERB:0.0963,ADJ:0.0716 | ADP:0.0802 | ADV:0.0630 | AUX:0.0258 | CCONJ:0.0802 | DET:0.0315 | NOUN:0.2636 | PART:0.0401 | PRON:0.0258 | PUNCT:0.1605 | SCONJ:0.0287 | VERB:0.1289,218,349
ADJ:0.0471 | ADP:0.1490 | ADV:0.0627 | AUX:0.0863 | CCONJ:0.0431 | DET:0.0353 | NOUN:0.2196 | NUM:0.0078 | PART:0.0275 | PRON:0.1137 | PUNCT:0.0627 | SCONJ:0.0353 | VERB:0.1098,ADJ:0.0692 | ADP:0.0755 | ADV:0.0818 | AUX:0.0252 | CCONJ:0.0881 | DET:0.0440 | NOUN:0.3396 | PART:0.0126 | PRON:0.0314 | PUNCT:0.1069 | SCONJ:0.0252 | VERB:0.1006,255,159
ADJ:0.1048 | ADP:0.1333 | ADV:0.0286 | AUX:0.0571 | CCONJ:0.0762 | DET:0.0476 | NOUN:0.2857 | NUM:0.0190 | PART:0.0095 | PRON:0.0571 | PUNCT:0.0667 | SCONJ:0.0381 | VERB:0.0762,ADJ:0.0872 | ADP:0.1376 | ADV:0.0505 | AUX:0.0092 | CCONJ:0.0963 | DET:0.0367 | NOUN:0.3349 | NUM:0.0046 | PART:0.0229 | PRON:0.0275 | PUNCT:0.0780 | VERB:0.1147,105,218
ADJ:0.0821 | ADP:0.1418 | ADV:0.0299 | AUX:0.0075 | CCONJ:0.0672 | DET:0.0672 | NOUN:0.2985 | NUM:0.0224 | PART:0.0075 | PRON:0.0522 | PUNCT:0.0896 | SCONJ:0.0224 | SYM:0.0075 | VERB:0.1045,ADJ:0.1014 | ADP:0.1106 | ADV:0.0507 | AUX:0.0184 | CCONJ:0.1014 | DET:0.0276 | NOUN:0.2903 | PART:0.0184 | PRON:0.0415 | PUNCT:0.1290 | SCONJ:0.0092 | VERB:0.1014,134,217
ADJ:0.0577 | ADP:0.1250 | ADV:0.0577 | AUX:0.0577 | CCONJ:0.0192 | DET:0.0673 | NOUN:0.2115 | NUM:0.0192 | PART:0.0096 | PRON:0.1058 | PROPN:0.0673 | PUNCT:0.0865 | SCONJ:0.0096 | VERB:0.1058,ADJ:0.0650 | ADP:0.1174 | ADV:0.0587 | AUX:0.0210 | CCONJ:0.0692 | DET:0.0419 | NOUN:0.2348 | NUM:0.0252 | PART:0.0210 | PRON:0.0356 | PROPN:0.0713 | PUNCT:0.1174 | SCONJ:0.0273 | VERB:0.0943,104,477
ADJ:0.1020 | ADP:0.1412 | ADV:0.0784 | AUX:0.0431 | CCONJ:0.0392 | DET:0.0784 | NOUN:0.2392 | NUM:0.0235 | PART:0.0157 | PRON:0.0627 | PROPN:0.0078 | PUNCT:0.0706 | SCONJ:0.0157 | VERB:0.0824,ADJ:0.1014 | ADP:0.1382 | ADV:0.0691 | AUX:0.0184 | CCONJ:0.0645 | DET:0.0599 | NOUN:0.2903 | NUM:0.0092 | PART:0.0184 | PRON:0.0092 | PROPN:0.0092 | PUNCT:0.0645 | SCONJ:0.0276 | VERB:0.1198,255,217
ADJ:0.1718 | ADP:0.1411 | ADV:0.0491 | AUX:0.0245 | CCONJ:0.0675 | DET:0.0613 | NOUN:0.2822 | PART:0.0123 | PRON:0.0123 | PROPN:0.0061 | PUNCT:0.0613 | SCONJ:0.0368 | VERB:0.0736,ADJ:0.0812 | ADP:0.0983 | ADV:0.0641 | AUX:0.0171 | CCONJ:0.0983 | DET:0.0385 | NOUN:0.3419 | PART:0.0128 | PRON:0.0171 | PUNCT:0.1068 | SCONJ:0.0171 | VERB:0.1068,163,234
ADJ:0.0841 | ADP:0.1681 | ADV:0.0442 | AUX:0.0487 | CCONJ:0.0398 | DET:0.0752 | NOUN:0.2522 | NUM:0.0088 | PART:0.0354 | PRON:0.0354 | PROPN:0.0177 | PUNCT:0.0619 | SCONJ:0.0221 | VERB:0.1062,ADJ:0.1339 | ADP:0.1384 | ADV:0.0580 | AUX:0.0402 | CCONJ:0.0625 | DET:0.0357 | NOUN:0.2946 | PART:0.0134 | PRON:0.0312 | PROPN:0.0089 | PUNCT:0.0670 | SCONJ:0.0179 | VERB:0.0982,226,224
ADJ:0.0462 | ADP:0.1462 | ADV:0.0385 | AUX:0.0385 | CCONJ:0.0462 | DET:0.0385 | NOUN:0.3308 | NUM:0.0154 | PRON:0.0462 | PROPN:0.0692 | PUNCT:0.1077 | SCONJ:0.0077 | VERB:0.0692,ADJ:0.0898 | ADP:0.0977 | ADV:0.0547 | AUX:0.0156 | CCONJ:0.0742 | DET:0.0430 | NOUN:0.3047 | PART:0.0234 | PRON:0.0195 | PROPN:0.0195 | PUNCT:0.1211 | SCONJ:0.0156 | SYM:0.0039 | VERB:0.1172,130,256
