Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:8 | advcl:3 | advmod:1 | amod:12 | appos:2 | aux:2 | case:23 | cc:5 | ccomp:1 | conj:6 | cop:1 | csubj:1 | det:6 | expl:1 | fixed:7 | mark:10 | nmod:14 | nmod:poss:4 | nsubj:8 | nsubj:pass:3 | nummod:1 | obj:7 | obl:7 | punct:11 | xcomp:2,ROOT:14 | acl:3 | acl:relcl:7 | advcl:7 | advmod:24 | amod:35 | appos:2 | aux:5 | case:31 | cc:26 | ccomp:2 | compound:prt:2 | conj:30 | cop:5 | csubj:1 | dep:1 | det:15 | fixed:6 | iobj:1 | mark:20 | nmod:8 | nmod:poss:1 | nsubj:21 | nsubj:pass:5 | obj:19 | obl:19 | obl:agent:1 | parataxis:1 | punct:35 | xcomp:4
ROOT:12 | acl:2 | acl:cleft:1 | acl:relcl:4 | advcl:1 | advmod:7 | amod:16 | aux:1 | case:32 | cc:11 | ccomp:3 | conj:13 | cop:4 | det:6 | expl:1 | fixed:1 | iobj:1 | mark:7 | nmod:18 | nmod:poss:8 | nsubj:15 | nsubj:pass:5 | nummod:7 | obj:7 | obl:15 | obl:agent:1 | parataxis:1 | punct:17 | xcomp:1,ROOT:21 | acl:2 | acl:relcl:5 | advcl:16 | advmod:27 | amod:16 | aux:17 | case:35 | cc:24 | ccomp:4 | compound:prt:7 | conj:29 | cop:5 | csubj:2 | dep:1 | det:12 | expl:1 | fixed:6 | iobj:1 | mark:35 | nmod:13 | nmod:poss:9 | nsubj:31 | nsubj:pass:12 | nummod:1 | obj:20 | obl:21 | parataxis:1 | punct:42 | xcomp:11
ROOT:11 | acl:relcl:5 | advcl:6 | advmod:16 | amod:11 | appos:1 | aux:17 | case:32 | cc:11 | ccomp:6 | compound:prt:2 | conj:9 | cop:4 | det:10 | expl:2 | fixed:1 | mark:16 | nmod:9 | nmod:poss:3 | nsubj:24 | nsubj:pass:2 | nummod:2 | obj:12 | obl:22 | obl:agent:1 | parataxis:2 | punct:16 | xcomp:2,ROOT:14 | acl:2 | acl:relcl:6 | advcl:5 | advmod:29 | amod:13 | appos:2 | aux:4 | case:30 | cc:23 | ccomp:4 | compound:prt:2 | conj:29 | cop:2 | dep:2 | det:15 | dislocated:1 | fixed:4 | mark:18 | nmod:10 | nmod:poss:1 | nsubj:26 | nsubj:pass:10 | obj:10 | obl:19 | obl:agent:1 | punct:32 | xcomp:5
ROOT:5 | acl:2 | acl:relcl:1 | advcl:1 | advmod:5 | amod:8 | aux:3 | case:14 | cc:10 | conj:7 | cop:1 | dep:1 | det:5 | mark:3 | nmod:3 | nmod:poss:4 | nsubj:8 | nsubj:pass:1 | obj:7 | obl:9 | punct:7,ROOT:21 | acl:4 | acl:relcl:3 | advcl:7 | advmod:22 | amod:28 | appos:3 | aux:7 | case:44 | cc:26 | ccomp:4 | compound:prt:3 | conj:38 | cop:4 | dep:3 | det:22 | dislocated:5 | expl:1 | fixed:1 | mark:25 | nmod:18 | nmod:poss:13 | nsubj:30 | nsubj:pass:13 | nummod:2 | obj:17 | obl:24 | obl:agent:2 | parataxis:1 | punct:55 | xcomp:15
ROOT:6 | acl:relcl:2 | advcl:2 | advmod:2 | amod:10 | appos:3 | case:18 | cc:8 | ccomp:3 | compound:prt:2 | conj:8 | det:9 | dislocated:1 | fixed:2 | mark:4 | nmod:8 | nmod:poss:2 | nsubj:7 | nsubj:pass:6 | nummod:2 | obj:3 | obl:11 | parataxis:1 | punct:12 | xcomp:2,ROOT:11 | acl:relcl:5 | advcl:9 | advmod:27 | amod:18 | appos:1 | aux:5 | case:26 | cc:22 | ccomp:4 | compound:prt:2 | conj:30 | cop:1 | dep:1 | det:15 | dislocated:6 | fixed:4 | mark:21 | nmod:9 | nmod:poss:3 | nsubj:18 | nsubj:pass:15 | obj:12 | obl:16 | parataxis:2 | punct:34 | xcomp:9
ROOT:7 | acl:relcl:2 | advcl:1 | advmod:7 | amod:9 | aux:3 | case:9 | cc:2 | ccomp:1 | conj:2 | cop:2 | det:9 | iobj:1 | mark:3 | nmod:6 | nmod:poss:4 | nsubj:11 | obj:8 | obl:6 | punct:9 | xcomp:2,ROOT:31 | acl:5 | acl:relcl:14 | advcl:13 | advmod:57 | amod:38 | appos:4 | aux:9 | aux:pass:1 | case:77 | cc:35 | ccomp:7 | compound:prt:7 | conj:32 | cop:4 | csubj:3 | dep:2 | det:38 | dislocated:1 | expl:3 | fixed:13 | flat:name:2 | mark:42 | nmod:28 | nmod:poss:21 | nsubj:56 | nsubj:pass:17 | obj:33 | obl:50 | obl:agent:1 | parataxis:5 | punct:78 | xcomp:17
ROOT:12 | acl:1 | acl:relcl:4 | advcl:3 | advmod:17 | amod:22 | appos:3 | aux:5 | case:29 | cc:10 | compound:prt:4 | conj:9 | cop:6 | csubj:2 | det:21 | dislocated:2 | expl:3 | fixed:8 | mark:12 | nmod:13 | nmod:poss:6 | nsubj:15 | nsubj:pass:5 | nummod:4 | obj:3 | obl:18 | punct:18,ROOT:15 | acl:3 | acl:cleft:1 | acl:relcl:4 | advcl:6 | advmod:19 | amod:28 | appos:1 | aux:4 | aux:pass:1 | case:35 | cc:24 | ccomp:3 | compound:prt:1 | conj:32 | cop:4 | det:25 | dislocated:1 | expl:1 | fixed:2 | iobj:1 | mark:20 | nmod:11 | nmod:poss:8 | nsubj:22 | nsubj:pass:9 | nummod:2 | obj:16 | obl:17 | obl:agent:1 | parataxis:1 | punct:36 | xcomp:12
ROOT:8 | acl:2 | acl:relcl:1 | advcl:2 | advmod:8 | amod:20 | case:21 | cc:11 | ccomp:1 | compound:prt:1 | conj:12 | cop:4 | csubj:1 | det:11 | expl:1 | fixed:4 | mark:9 | nmod:7 | nmod:poss:1 | nsubj:10 | nsubj:pass:1 | obj:2 | obl:11 | parataxis:1 | punct:10 | xcomp:3,ROOT:16 | acl:4 | acl:relcl:8 | advcl:6 | advmod:26 | amod:19 | appos:5 | aux:9 | case:44 | cc:27 | ccomp:3 | conj:30 | cop:3 | csubj:1 | det:19 | dislocated:2 | fixed:2 | mark:25 | nmod:12 | nmod:poss:7 | nsubj:27 | nsubj:pass:12 | obj:14 | obl:29 | obl:agent:2 | parataxis:1 | punct:41 | xcomp:8
ROOT:11 | acl:1 | advcl:8 | advmod:6 | amod:19 | aux:8 | case:28 | cc:8 | ccomp:1 | compound:prt:4 | conj:6 | cop:2 | csubj:1 | det:17 | expl:1 | fixed:3 | mark:20 | nmod:13 | nmod:poss:4 | nsubj:13 | nsubj:pass:4 | nummod:1 | obj:11 | obl:18 | parataxis:2 | punct:14 | xcomp:2,ROOT:13 | acl:relcl:8 | advcl:8 | advmod:15 | amod:16 | aux:4 | case:26 | cc:17 | ccomp:3 | compound:prt:3 | conj:23 | cop:3 | csubj:1 | det:9 | dislocated:1 | expl:1 | fixed:3 | mark:22 | nmod:12 | nmod:poss:4 | nsubj:26 | nsubj:pass:6 | obj:12 | obl:14 | punct:28 | xcomp:10
ROOT:9 | acl:1 | acl:relcl:3 | advcl:1 | advmod:3 | amod:6 | appos:5 | case:17 | cc:6 | compound:prt:2 | conj:10 | cop:5 | det:5 | mark:3 | nmod:13 | nsubj:10 | nummod:1 | obj:6 | obl:6 | obl:agent:1 | punct:15 | xcomp:2,ROOT:19 | acl:relcl:10 | advcl:7 | advmod:35 | amod:26 | appos:4 | aux:3 | case:32 | cc:25 | ccomp:3 | compound:prt:2 | conj:47 | cop:6 | dep:2 | det:23 | dislocated:2 | expl:1 | fixed:6 | iobj:1 | mark:21 | nmod:17 | nmod:poss:9 | nsubj:38 | nsubj:pass:8 | obj:16 | obl:21 | parataxis:3 | punct:59 | xcomp:10
ROOT:8 | acl:relcl:2 | advcl:2 | advmod:4 | amod:12 | appos:1 | aux:3 | case:17 | cc:4 | ccomp:2 | conj:7 | cop:2 | det:7 | fixed:1 | mark:4 | nmod:7 | nsubj:13 | nsubj:pass:3 | nummod:4 | obj:7 | obl:10 | obl:agent:1 | parataxis:2 | punct:17 | xcomp:1,ROOT:15 | acl:5 | acl:cleft:1 | acl:relcl:10 | advcl:14 | advmod:27 | amod:24 | appos:4 | aux:7 | case:23 | cc:20 | ccomp:3 | compound:prt:5 | conj:26 | cop:6 | csubj:1 | dep:2 | det:21 | expl:1 | fixed:9 | mark:30 | nmod:11 | nmod:poss:2 | nsubj:37 | nsubj:pass:6 | obj:24 | obl:15 | parataxis:4 | punct:46 | xcomp:6
ROOT:13 | acl:4 | acl:relcl:6 | advcl:2 | advmod:14 | amod:29 | appos:3 | aux:6 | case:63 | cc:20 | conj:21 | cop:3 | csubj:1 | det:17 | expl:2 | fixed:5 | mark:11 | nmod:40 | nmod:poss:5 | nsubj:19 | nsubj:pass:5 | nummod:2 | obj:10 | obl:22 | obl:agent:1 | parataxis:3 | punct:31 | xcomp:1,ROOT:18 | acl:1 | acl:relcl:5 | advcl:8 | advmod:31 | amod:24 | aux:6 | case:20 | cc:22 | ccomp:3 | compound:prt:2 | conj:26 | cop:1 | csubj:2 | det:12 | expl:1 | iobj:1 | mark:23 | nmod:8 | nmod:poss:1 | nsubj:23 | nsubj:pass:8 | obj:18 | obl:12 | parataxis:1 | punct:32 | xcomp:8
ROOT:13 | acl:3 | acl:relcl:6 | advcl:4 | advmod:15 | amod:17 | aux:5 | case:30 | cc:2 | conj:2 | cop:8 | csubj:2 | dep:1 | det:13 | dislocated:1 | expl:2 | fixed:4 | mark:13 | nmod:11 | nmod:poss:1 | nsubj:13 | nsubj:pass:7 | obj:12 | obl:17 | obl:agent:1 | punct:12 | xcomp:4,ROOT:12 | acl:3 | acl:relcl:1 | advcl:8 | advmod:19 | amod:27 | appos:3 | aux:8 | case:34 | cc:22 | ccomp:3 | conj:25 | cop:1 | dep:1 | det:15 | dislocated:1 | mark:18 | nmod:13 | nmod:poss:1 | nsubj:20 | nsubj:pass:6 | obj:16 | obl:18 | parataxis:1 | punct:30 | xcomp:5
ROOT:5 | acl:relcl:4 | advcl:2 | advmod:4 | amod:10 | appos:3 | aux:1 | case:11 | cc:6 | conj:6 | cop:2 | det:3 | expl:1 | fixed:2 | iobj:1 | mark:5 | nmod:10 | nsubj:6 | nsubj:pass:5 | nummod:3 | obj:5 | obl:3 | punct:12 | xcomp:3,ROOT:14 | acl:relcl:6 | advcl:8 | advmod:26 | amod:41 | appos:5 | aux:10 | aux:pass:1 | case:36 | cc:25 | ccomp:4 | compound:prt:1 | conj:33 | cop:3 | dep:1 | det:5 | fixed:12 | iobj:1 | mark:16 | nmod:15 | nmod:poss:1 | nsubj:30 | nsubj:pass:6 | nummod:1 | obj:18 | obl:20 | obl:agent:1 | punct:38 | xcomp:4
ROOT:19 | acl:relcl:4 | advcl:10 | advmod:19 | amod:20 | appos:2 | aux:6 | case:48 | cc:25 | ccomp:1 | compound:prt:1 | conj:19 | cop:7 | det:8 | fixed:2 | mark:10 | nmod:34 | nmod:poss:2 | nsubj:25 | nsubj:pass:6 | nummod:10 | obj:6 | obl:19 | obl:agent:2 | parataxis:2 | punct:33 | xcomp:1,ROOT:17 | acl:1 | acl:relcl:3 | advcl:7 | advmod:27 | amod:31 | appos:3 | aux:6 | case:44 | cc:24 | ccomp:1 | compound:prt:2 | conj:27 | cop:3 | det:7 | fixed:6 | mark:15 | nmod:13 | nmod:poss:2 | nsubj:23 | nsubj:pass:10 | nummod:1 | obj:18 | obl:30 | obl:agent:3 | parataxis:3 | punct:39 | xcomp:5
ROOT:14 | advcl:1 | advmod:5 | amod:15 | appos:3 | aux:2 | case:19 | cc:19 | ccomp:2 | compound:prt:1 | conj:23 | cop:3 | dep:5 | det:9 | expl:2 | mark:5 | nmod:17 | nmod:poss:4 | nsubj:15 | nsubj:pass:4 | nummod:19 | obj:16 | obl:14 | parataxis:2 | punct:36,ROOT:29 | acl:5 | acl:relcl:10 | advcl:14 | advmod:58 | amod:52 | appos:5 | aux:13 | case:62 | cc:50 | ccomp:4 | compound:prt:1 | conj:56 | cop:29 | csubj:1 | dep:1 | det:28 | expl:1 | fixed:8 | mark:41 | nmod:25 | nmod:poss:2 | nsubj:67 | nsubj:pass:13 | nummod:1 | obj:29 | obl:32 | obl:agent:1 | parataxis:3 | punct:68 | xcomp:6
ROOT:13 | acl:relcl:2 | advcl:7 | advmod:13 | amod:21 | appos:2 | aux:5 | case:27 | cc:16 | ccomp:4 | compound:prt:2 | conj:18 | cop:2 | csubj:1 | dep:1 | det:11 | expl:1 | fixed:7 | mark:16 | nmod:14 | nmod:poss:2 | nsubj:10 | nsubj:pass:8 | obj:6 | obl:15 | parataxis:1 | punct:21 | xcomp:2,ROOT:18 | acl:3 | acl:relcl:8 | advcl:6 | advmod:33 | amod:36 | appos:1 | aux:8 | case:31 | cc:40 | ccomp:4 | compound:prt:4 | conj:53 | cop:2 | csubj:1 | det:18 | expl:1 | fixed:3 | mark:20 | nmod:9 | nmod:poss:3 | nsubj:29 | nsubj:pass:11 | nummod:1 | obj:12 | obl:19 | obl:agent:1 | parataxis:1 | punct:49 | xcomp:8
ROOT:17 | acl:3 | acl:cleft:1 | acl:relcl:1 | advcl:4 | advmod:12 | amod:18 | appos:4 | aux:1 | case:34 | cc:12 | ccomp:1 | compound:prt:1 | conj:15 | cop:5 | csubj:2 | dep:7 | det:9 | expl:3 | fixed:2 | flat:name:3 | mark:12 | nmod:21 | nmod:poss:3 | nsubj:9 | nsubj:pass:11 | nummod:5 | obj:13 | obl:18 | punct:21,ROOT:10 | acl:1 | acl:relcl:1 | advcl:8 | advmod:19 | amod:23 | aux:6 | case:32 | cc:17 | ccomp:1 | compound:prt:2 | conj:20 | cop:2 | dep:1 | det:11 | fixed:2 | mark:15 | nmod:14 | nmod:poss:4 | nsubj:16 | nsubj:pass:5 | obj:11 | obl:17 | obl:agent:1 | parataxis:4 | punct:18 | xcomp:2
ROOT:7 | acl:2 | acl:relcl:3 | advcl:4 | advmod:10 | amod:5 | aux:6 | case:13 | cc:5 | ccomp:1 | compound:prt:2 | conj:5 | cop:1 | dep:1 | det:9 | fixed:3 | flat:name:2 | mark:6 | nmod:3 | nmod:poss:4 | nsubj:11 | nsubj:pass:2 | nummod:1 | obj:8 | obl:10 | parataxis:2 | punct:11,ROOT:9 | acl:4 | acl:relcl:3 | advcl:7 | advmod:16 | amod:19 | aux:2 | case:25 | cc:14 | ccomp:2 | compound:prt:8 | conj:24 | dep:1 | det:7 | dislocated:1 | fixed:3 | flat:name:1 | mark:18 | nmod:10 | nmod:poss:8 | nsubj:16 | nsubj:pass:7 | nummod:1 | obj:15 | obl:15 | parataxis:1 | punct:25 | xcomp:6
