Abstract_Entities,Generated_Abstract_Entities
,
Sverige:LOC,
,
"Svenska kyrkan:ORG,Svenska kyrkan:ORG,Kyrkans tidning:ORG,Dagens Nyheter:WRK","Svenska kyrkan:ORG,Dagens Nyheter:WRK,Svenska kyrkan:ORG,Svenska kyrkan:ORG"
,
"Paulus:PRS,Paulus:PRS,Paulus:PRS,Paulus:PRS,Paulus:PRS,Rom:LOC","Paulus:PRS,Rom:LOC,Romarbrevet:WRK,Paulus:PRS,Guds:PRS,under de senaste årtiondena:TME,E.P. Sanders:PRS,Paulus:PRS,Wright:PRS,Guds:PRS,Israels:LOC,Messias:PRS,Anden:PRS,Guds:PRS,Rom:LOC,Paulus:PRS,Guds:PRS,Paulus:PRS,Skriften:WRK,Douglas Moo:PRS,Gud:PRS,Paulus:PRS,Rom:LOC,Jonathan A. Ware:PRS,Paulus:PRS,Kristus:PRS,Robert Jewett:PRS,Romarbrevets:WRK,Paulus:PRS,Rom:LOC,Paulus:PRS,Gud:PRS,Israels Skrift:ORG,Guds:PRS,Kristus:PRS,Paulus:PRS,Guds:PRS,Kristus:PRS,Gud:PRS,Paulus:PRS,Guds:PRS,Guds:PRS"
"Mesopotamien:LOC,Naram-Sin:PRS","Mesopotamien:LOC,Mesopotamien:LOC"
Sverige:LOC,Svenska kyrkan:ORG
"Sveriges:LOC,Sverige:LOC,Sveriges:LOC,Gavlegårdarna:LOC,Gävle:LOC,Gavlegårdarna:LOC,Gavlegårdarna:LOC","Gävle:LOC,Nya Nordostprojektet:WRK,Gavlegårdarna:LOC"
"Petri Tuoris:PRS,verkLondon:LOC,Skövde:LOC,London:LOC,på 1800-talet:TME,Sweeney Todd:PRS","London:LOC,London Crysis:LOC,London:LOC,London Crysis:LOC,London:LOC,London:LOC,London Crysis:LOC,London:LOC"
,
,
,
"Frankrike:LOC,USA:LOC",
"IFN-γ:PRS,SLIT:ORG,SCIT:ORG,SLIT:LOC,SCIT:ORG,SLIT:LOC,SCIT:ORG,IFN-γ:PRS,SLIT:LOC,SCIT:ORG,SLIT:LOC,SCIT:ORG,IFN-γ:PRS,SLIT:LOC,SCIT:ORG,SLIT:LOC,SCIT:ORG",SCIT:ORG
Sverige:LOC,Levonorgestrel:PRS
Quinoas:PRS,
"MALDI-TOF MS:ORG,MALDI-TOF MS:ORG","MALDI-TOF MS:EVN,MALDI-TOF MS:EVN,MALDI-TOF MS:ORG"
"The English School:ORG,Älmhult:LOC,Lpfö 98:OBJ","The English School:ORG,Älmhult:LOC"
,
,
,
"Sverige:LOC,de senaste åren:TME,Migrationsverket:ORG",
"Sverige:LOC,Sverige:LOC",
Livsmedelsverket:ORG,
"Västerbottens läns landsting:ORG,Thesis:PRS,FULLTEXT01.pdf:PRS,Thesis:PRS,Thesis:PRS,Social Sciences:ORG,Malmö:LOC,Foucault:PRS,Textanalys,,https://www.diva-portal.org:PRS,Thesis:PRS,Social Sciences:ORG,Social Sciences:ORG,Abrashis:PRS,Annika Sternlund:PRS,Amanda Sundberg:PRS,Helenas Valentinsons:PRS","Västerbotten:LOC,Västerbotten:LOC"
,Sverige:LOC
"Moderaterna:ORG,Sverige:LOC,Moderaterna:ORG,Moderaterna:ORG",
,
,
Sverige:LOC,
,
,
Halmstad:LOC,
Sverige:LOC,
"Kalmar:LOC,de senaste åren:TME,Öland:LOC,Glasriket:LOC,Kalmar:LOC","Kalmar:LOC,Öland:LOC,Glasriket:LOC,Kalmar:LOC,Kalmar:LOC,Öland:LOC,Glasriket:LOC,Kalmars:LOC,Kalmar:LOC,Kalmar:LOC,Öland:LOC,Glasriket:LOC,Kalmar:LOC,Kalmar:LOC"
Under de senaste åren:TME,
,
"Mellansverige:LOC,H. maximiliani:PRS,Mellansverige:LOC,Örebro universitet:ORG,H. maximiliani:PRS,Europa:LOC,Naturvårdsverkets:ORG,H. maximiliani:PRS",
,
"Sverige:LOC,liggerCogFLUX:PRS",
,urban:PRS
"Skåne:LOC,Skånes:LOC,Skånes:LOC,Film:ORG,Skåne:LOC,Skånes:LOC,Skånes:LOC","Skåne:LOC,Skåne:LOC,en längre period:TME,Skånes:LOC,Skåne:LOC,Malmö:LOC,Lund:LOC,Skåne:LOC,Skånes:LOC,Skåne:LOC"
"Graneheim:PRS,Lundmans:PRS",
,
"Pensionärernas riksorganisations:ORG,Österåkers:LOC,kommun:LOC,Österåkers:LOC,kommun:LOC,Ös-teråkers:LOC","Österåkers:LOC,PRO:ORG,Österåker:LOC,Österåker:LOC"
,
,
Stockholms fondbörs:ORG,
,
,
Positive Accounting:ORG,Positive Accounting:ORG
