Abstract_POS_Counts,Generated_Abstract_POS_Counts
ADJ:15 | ADP:27 | ADV:1 | AUX:3 | CCONJ:6 | DET:6 | NOUN:51 | NUM:1 | PART:3 | PRON:3 | PUNCT:11 | SCONJ:4 | VERB:15,ADJ:46 | ADP:36 | ADV:25 | AUX:13 | CCONJ:26 | DET:15 | NOUN:86 | PART:12 | PRON:16 | PUNCT:35 | SCONJ:9 | VERB:32
ADJ:21 | ADP:34 | ADV:7 | AUX:6 | CCONJ:10 | DET:6 | NOUN:69 | NUM:7 | PART:1 | PRON:12 | PROPN:2 | PUNCT:18 | SCONJ:4 | VERB:21,ADJ:25 | ADP:46 | ADV:30 | AUX:22 | CCONJ:25 | DET:11 | NOUN:114 | PART:16 | PRON:19 | PUNCT:44 | SCONJ:17 | VERB:58
ADJ:12 | ADP:38 | ADV:16 | AUX:22 | CCONJ:11 | DET:9 | NOUN:56 | NUM:2 | PART:7 | PRON:29 | PUNCT:16 | SCONJ:9 | VERB:28,ADJ:19 | ADP:33 | ADV:28 | AUX:7 | CCONJ:25 | DET:15 | NOUN:93 | PART:7 | PRON:10 | PUNCT:32 | SCONJ:10 | VERB:40
ADJ:11 | ADP:14 | ADV:3 | AUX:6 | CCONJ:8 | DET:5 | NOUN:30 | NUM:2 | PART:1 | PRON:6 | PUNCT:7 | SCONJ:4 | VERB:8,ADJ:37 | ADP:50 | ADV:23 | AUX:13 | CCONJ:26 | DET:21 | NOUN:135 | NUM:2 | PART:9 | PRON:23 | PUNCT:56 | SCONJ:12 | VERB:54
ADJ:11 | ADP:19 | ADV:4 | AUX:1 | CCONJ:9 | DET:9 | NOUN:40 | NUM:3 | PART:1 | PRON:7 | PUNCT:12 | SCONJ:3 | SYM:1 | VERB:14,ADJ:24 | ADP:31 | ADV:23 | AUX:8 | CCONJ:22 | DET:15 | NOUN:87 | PART:8 | PRON:20 | PUNCT:36 | SCONJ:12 | VERB:40
ADJ:6 | ADP:13 | ADV:6 | AUX:6 | CCONJ:2 | DET:7 | NOUN:22 | NUM:2 | PART:1 | PRON:11 | PROPN:7 | PUNCT:9 | SCONJ:1 | VERB:11,ADJ:43 | ADP:88 | ADV:57 | AUX:14 | CCONJ:35 | DET:37 | NOUN:180 | NUM:5 | PART:20 | PRON:36 | PROPN:40 | PUNCT:82 | SCONJ:24 | VERB:83
ADJ:26 | ADP:36 | ADV:20 | AUX:11 | CCONJ:10 | DET:20 | NOUN:61 | NUM:6 | PART:4 | PRON:16 | PROPN:2 | PUNCT:18 | SCONJ:4 | VERB:21,ADJ:44 | ADP:42 | ADV:20 | AUX:8 | CCONJ:24 | DET:24 | NOUN:91 | NUM:2 | PART:9 | PRON:16 | PROPN:3 | PUNCT:35 | SCONJ:8 | VERB:40
ADJ:28 | ADP:23 | ADV:8 | AUX:4 | CCONJ:11 | DET:10 | NOUN:46 | PART:2 | PRON:2 | PROPN:1 | PUNCT:10 | SCONJ:6 | VERB:12,ADJ:29 | ADP:45 | ADV:24 | AUX:11 | CCONJ:27 | DET:19 | NOUN:111 | PART:8 | PRON:21 | PUNCT:42 | SCONJ:17 | VERB:48
ADJ:19 | ADP:38 | ADV:10 | AUX:11 | CCONJ:9 | DET:17 | NOUN:57 | NUM:2 | PART:8 | PRON:8 | PROPN:4 | PUNCT:14 | SCONJ:5 | VERB:24,ADJ:26 | ADP:31 | ADV:19 | AUX:8 | CCONJ:18 | DET:10 | NOUN:79 | PART:9 | PRON:14 | PROPN:1 | PUNCT:28 | SCONJ:10 | VERB:35
ADJ:6 | ADP:19 | ADV:5 | AUX:5 | CCONJ:6 | DET:5 | NOUN:43 | NUM:2 | PRON:6 | PROPN:9 | PUNCT:14 | SCONJ:1 | VERB:9,ADJ:38 | ADP:38 | ADV:39 | AUX:9 | CCONJ:24 | DET:25 | NOUN:118 | PART:5 | PRON:30 | PROPN:8 | PUNCT:60 | SCONJ:11 | VERB:51
