Row,POS_Diff_ADJ,POS_Diff_ADP,POS_Diff_ADV,POS_Diff_AUX,POS_Diff_CCONJ,POS_Diff_DET,POS_Diff_INTJ,POS_Diff_NOUN,POS_Diff_NUM,POS_Diff_PART,POS_Diff_PRON,POS_Diff_PROPN,POS_Diff_PUNCT,POS_Diff_SCONJ,POS_Diff_SYM,POS_Diff_VERB
1,-0.0284,0.0823,-0.0644,-0.0165,-0.033,-0.0016,0.0,0.1043,0.0068,-0.0137,-0.0251,0.0,-0.0244,0.0018,0.0,0.0115
2,0.0378,0.0483,-0.0382,-0.024,-0.0126,0.0017,0.0,0.0495,0.0321,-0.0329,0.0105,0.0092,-0.0204,-0.0215,0.0,-0.0395
3,-0.0125,0.0456,-0.0251,0.0644,-0.0353,-0.0117,0.0,-0.0719,0.0078,0.0056,0.0824,0.0,-0.0376,0.004,0.0,-0.0156
4,0.0245,0.0248,-0.0213,0.0289,0.0198,0.002,0.0,-0.0071,0.0147,-0.01,0.0072,0.0,-0.0548,0.0121,0.0,-0.0409
5,0.0085,0.0467,-0.0407,-0.017,-0.0003,0.0212,0.0,0.0316,0.0224,-0.017,-0.0091,0.0,-0.0208,-0.0144,0.0075,-0.0182
6,-0.0001,0.0067,-0.0189,0.0389,-0.0278,0.0176,0.0,-0.0304,0.0125,-0.0173,0.0574,0.0135,-0.0237,-0.0227,0.0,-0.0058
7,-0.0182,0.0264,0.0238,0.0212,-0.0264,0.0128,0.0,-0.0094,0.018,-0.0089,0.019,-0.0004,-0.025,-0.0062,0.0,-0.0269
8,0.0997,0.0292,-0.0106,-0.0029,0.0003,0.014,0.0,0.0061,0.0,-0.0076,-0.0399,0.0061,-0.0432,-0.0055,0.0,-0.0458
9,-0.0062,0.0605,-0.0218,0.0209,-0.0227,0.0405,0.0,-0.0221,0.0088,0.0042,-0.0132,0.0142,-0.0353,-0.0126,0.0,-0.0153
10,-0.0371,0.0629,-0.047,0.0188,-0.0064,-0.0163,0.0,0.072,0.0154,-0.011,-0.0196,0.0517,-0.0239,-0.0164,0.0,-0.0426
11,0.0277,0.0484,-0.0531,0.0034,-0.021,-0.0068,0.0,0.0186,0.0284,-0.025,-0.0157,0.0071,0.007,-0.0278,0.0,0.0092
12,-0.0118,0.0979,-0.0581,-0.0001,-0.0141,0.0095,0.0,0.0644,0.0111,-0.0268,0.0067,0.0028,-0.0145,-0.005,0.0,-0.0621
13,0.0387,0.0414,-0.0004,0.0272,-0.0616,0.0112,0.0,-0.04,-0.0147,-0.0106,0.046,0.0,-0.0417,0.0168,0.0,-0.012
14,-0.0267,0.0015,-0.0448,-0.0101,-0.0097,0.016,0.0,-0.0428,0.0416,0.0125,0.018,0.0462,0.0172,-0.0137,-0.0183,0.0129
15,-0.0255,0.015,-0.0076,0.0138,0.0113,0.0016,0.0,-0.0107,0.0618,0.0041,0.0019,-0.0079,-0.0228,-0.0096,0.0,-0.0257
16,-0.0521,-0.0207,-0.0529,-0.0347,0.0115,-0.006,0.0,0.0669,0.1106,0.0022,-0.034,0.0052,0.0463,-0.0382,-0.0014,-0.0027
17,-0.0239,0.0563,-0.0088,0.0028,-0.0302,0.0051,0.0,0.0253,-0.0023,0.0127,-0.0093,0.0058,-0.0285,-0.0209,0.0,0.0159
18,-0.0111,-0.0109,-0.0188,-0.0113,-0.0188,-0.0074,0.0,-0.0065,0.0191,0.0115,0.0191,0.0268,0.0118,-0.0075,0.0,0.0042
19,-0.031,-0.0101,0.0018,0.0436,-0.0195,0.0396,0.0,-0.0536,0.0109,-0.0117,0.0285,0.0143,-0.013,0.0034,0.0,-0.0033
20,-0.0145,0.0269,-0.0249,0.0305,-0.0229,0.0676,0.0,-0.0643,0.024,0.012,0.044,-0.0023,-0.0614,-0.0086,0.0,-0.0063
21,-0.0166,0.0162,0.0564,0.0098,-0.0216,-0.0025,0.0,-0.0538,0.0,0.0264,0.0042,0.0093,-0.0559,-0.0068,0.0,0.035
22,-0.0247,0.1346,-0.0679,-0.015,-0.0193,-0.0273,0.0,0.1164,0.0,-0.0193,0.0133,-0.0112,-0.0242,-0.0225,0.0,-0.0332
23,-0.0262,0.0058,-0.0566,0.0221,-0.0305,0.0496,0.0,0.0211,0.0138,0.0042,0.0143,0.0223,-0.0058,-0.0141,0.0,-0.02
24,0.0103,0.0436,-0.0243,0.0383,-0.0175,-0.0007,0.0,0.0191,0.0167,0.0122,-0.02,0.0111,-0.0459,-0.0236,0.0,-0.0194
25,0.0461,0.0529,-0.0451,-0.0034,-0.0098,0.0174,0.0,0.0294,0.0037,-0.0071,-0.0139,0.0,-0.0555,-0.0048,0.0,-0.0102
26,0.0049,0.014,-0.0536,0.0033,-0.0297,0.0128,0.0,0.0299,0.0096,0.0008,0.007,0.0146,0.0002,-0.0103,0.013,-0.0166
27,0.0025,0.0365,-0.0095,-0.0047,0.0499,-0.0465,0.0,0.1103,0.0127,-0.031,-0.0212,-0.0019,-0.056,-0.0349,0.0,-0.0063
28,-0.0333,0.0326,-0.0158,0.0352,-0.0257,0.0194,0.0,-0.0521,0.0071,0.0308,0.0253,0.0071,-0.0273,-0.0252,0.0,0.0217
29,0.0351,0.0655,-0.0336,-0.0031,-0.0574,0.0472,0.0,-0.016,0.0185,-0.001,0.001,-0.002,-0.0293,-0.0164,0.0,-0.0082
30,-0.0087,0.0357,-0.0378,0.0406,-0.0126,0.0377,0.0,-0.0187,0.0078,0.0029,0.0019,0.0,-0.0803,0.0212,0.0,0.0105
31,0.0099,0.0301,0.0051,0.0119,0.0121,0.0037,0.0,0.0452,0.0035,-0.0245,-0.0136,0.0012,-0.0415,-0.0091,0.0,-0.0341
32,-0.018,0.0132,-0.0315,0.0796,-0.0126,0.0,0.0,0.0004,0.0062,0.008,0.0285,0.0116,-0.0637,-0.026,0.0,0.0042
33,-0.0079,0.0665,-0.0148,0.0563,-0.0294,-0.0247,0.0,-0.0304,0.0078,0.0,0.0512,-0.0025,-0.0398,0.0003,0.0,-0.0327
34,0.0073,0.079,-0.0513,0.0185,-0.0274,0.0235,0.0,0.0674,0.0,0.0007,-0.0409,-0.0024,-0.0286,-0.0146,0.0,-0.0312
35,0.0318,0.0298,-0.0628,0.0321,0.0041,0.0325,0.0,0.0264,0.0049,-0.0001,-0.0448,0.0098,-0.0122,-0.002,0.0,-0.0496
36,0.0017,0.0375,0.0,0.0262,-0.0121,-0.0068,0.0,-0.0837,0.0,0.0182,0.0582,0.0124,-0.0451,-0.0161,0.0,0.0097
37,-0.0099,0.0358,-0.039,0.02,-0.0252,0.0053,0.0,-0.0319,0.0,0.0082,0.0695,0.0,-0.0422,-0.0021,0.0,0.0114
38,0.025,-0.0079,-0.031,0.0076,-0.0456,0.0115,0.0,-0.0508,0.0293,0.0162,0.0167,0.0146,-0.0392,0.029,0.0,0.0247
39,0.0126,0.0327,-0.021,-0.0006,-0.0215,-0.0182,0.0043,-0.0375,0.015,0.0018,-0.0009,0.0445,0.0143,-0.0113,0.0021,-0.016
40,0.0036,-0.0047,-0.0233,0.0127,-0.039,0.0494,0.0,0.0025,0.0357,-0.008,0.0025,0.0071,-0.0404,0.0003,0.0143,-0.0128
41,-0.0239,0.0506,0.0026,-0.0044,-0.0214,0.0114,0.0,0.0021,0.0069,-0.0006,0.036,0.0101,-0.053,-0.005,0.0,-0.0113
42,0.048,0.0063,-0.0236,0.0172,0.0079,0.0086,0.0,0.0055,0.0102,-0.0149,-0.0417,0.0,-0.0275,0.0118,0.0,-0.0079
43,-0.0305,0.0796,-0.0277,0.0074,-0.0224,0.0043,0.0,0.031,0.0048,-0.0112,0.0208,0.015,-0.0449,-0.0086,0.0075,-0.0251
44,-0.0385,0.003,-0.0324,0.0081,0.0248,-0.0415,0.0,0.0911,0.0132,0.0066,-0.0567,0.0132,0.0253,-0.0212,0.0,0.005
45,0.0145,0.0534,-0.0839,-0.0159,0.0107,0.0062,0.0,0.1269,0.009,-0.0085,-0.045,0.0,0.0017,-0.0082,0.0045,-0.0657
46,-0.0147,0.0117,-0.0242,0.0447,-0.0335,0.0508,0.0,0.0205,0.0122,-0.0192,-0.017,0.0266,-0.0093,-0.0045,0.0,-0.0439
47,-0.0003,0.0351,-0.0331,0.0056,-0.0207,0.0262,0.0,0.0671,0.0188,-0.0009,-0.0065,0.0,-0.0208,-0.0346,0.0,-0.0362
48,0.0016,0.0338,-0.0556,0.0037,0.0156,-0.0144,0.0,0.0946,0.0081,-0.0215,-0.008,-0.0025,-0.0542,0.0111,0.0,-0.0121
49,-0.0356,0.0369,-0.0372,0.0137,-0.0504,0.0158,0.0,0.0497,0.0179,0.0069,0.0039,0.0061,0.0066,0.0034,0.0031,-0.0406
50,-0.0225,0.0794,-0.0408,-0.0344,-0.0047,-0.0025,0.0,0.0528,0.0093,0.0037,-0.0304,0.0,-0.038,0.0017,0.0,0.0264
51,-0.0116,0.0286,-0.0498,0.0154,-0.0308,0.061,0.0,0.0308,0.0069,-0.0005,-0.0132,0.0,-0.0228,-0.018,0.0,0.0042
52,0.0066,-0.0233,-0.0382,0.0031,-0.016,0.033,0.0,-0.0902,0.0083,0.0136,0.0775,0.0083,0.0022,-0.0022,0.0,0.0171
53,0.0021,0.0306,-0.028,0.0154,0.0253,-0.0119,0.0,0.0711,0.0143,-0.0165,-0.0314,0.0286,-0.027,-0.0351,0.0,-0.0372
54,0.0133,0.055,-0.0784,0.0004,-0.0288,-0.0126,0.0,0.0434,0.0074,-0.0038,-0.0126,0.0264,-0.0191,0.011,0.0,-0.0016
