Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.1027 | ADP:0.1849 | ADV:0.0068 | AUX:0.0205 | CCONJ:0.0411 | DET:0.0411 | NOUN:0.3493 | NUM:0.0068 | PART:0.0205 | PRON:0.0205 | PUNCT:0.0753 | SCONJ:0.0274 | VERB:0.1027,ADJ:0.1311 | ADP:0.1026 | ADV:0.0712 | AUX:0.0370 | CCONJ:0.0741 | DET:0.0427 | NOUN:0.2450 | PART:0.0342 | PRON:0.0456 | PUNCT:0.0997 | SCONJ:0.0256 | VERB:0.0912,146,351
ADJ:0.0963 | ADP:0.1560 | ADV:0.0321 | AUX:0.0275 | CCONJ:0.0459 | DET:0.0275 | NOUN:0.3165 | NUM:0.0321 | PART:0.0046 | PRON:0.0550 | PROPN:0.0092 | PUNCT:0.0826 | SCONJ:0.0183 | VERB:0.0963,ADJ:0.0585 | ADP:0.1077 | ADV:0.0703 | AUX:0.0515 | CCONJ:0.0585 | DET:0.0258 | NOUN:0.2670 | PART:0.0375 | PRON:0.0445 | PUNCT:0.1030 | SCONJ:0.0398 | VERB:0.1358,218,427
ADJ:0.0471 | ADP:0.1490 | ADV:0.0627 | AUX:0.0863 | CCONJ:0.0431 | DET:0.0353 | NOUN:0.2196 | NUM:0.0078 | PART:0.0275 | PRON:0.1137 | PUNCT:0.0627 | SCONJ:0.0353 | VERB:0.1098,ADJ:0.0596 | ADP:0.1034 | ADV:0.0878 | AUX:0.0219 | CCONJ:0.0784 | DET:0.0470 | NOUN:0.2915 | PART:0.0219 | PRON:0.0313 | PUNCT:0.1003 | SCONJ:0.0313 | VERB:0.1254,255,319
ADJ:0.1048 | ADP:0.1333 | ADV:0.0286 | AUX:0.0571 | CCONJ:0.0762 | DET:0.0476 | NOUN:0.2857 | NUM:0.0190 | PART:0.0095 | PRON:0.0571 | PUNCT:0.0667 | SCONJ:0.0381 | VERB:0.0762,ADJ:0.0803 | ADP:0.1085 | ADV:0.0499 | AUX:0.0282 | CCONJ:0.0564 | DET:0.0456 | NOUN:0.2928 | NUM:0.0043 | PART:0.0195 | PRON:0.0499 | PUNCT:0.1215 | SCONJ:0.0260 | VERB:0.1171,105,461
ADJ:0.0821 | ADP:0.1418 | ADV:0.0299 | AUX:0.0075 | CCONJ:0.0672 | DET:0.0672 | NOUN:0.2985 | NUM:0.0224 | PART:0.0075 | PRON:0.0522 | PUNCT:0.0896 | SCONJ:0.0224 | SYM:0.0075 | VERB:0.1045,ADJ:0.0736 | ADP:0.0951 | ADV:0.0706 | AUX:0.0245 | CCONJ:0.0675 | DET:0.0460 | NOUN:0.2669 | PART:0.0245 | PRON:0.0613 | PUNCT:0.1104 | SCONJ:0.0368 | VERB:0.1227,134,326
ADJ:0.0577 | ADP:0.1250 | ADV:0.0577 | AUX:0.0577 | CCONJ:0.0192 | DET:0.0673 | NOUN:0.2115 | NUM:0.0192 | PART:0.0096 | PRON:0.1058 | PROPN:0.0673 | PUNCT:0.0865 | SCONJ:0.0096 | VERB:0.1058,ADJ:0.0578 | ADP:0.1183 | ADV:0.0766 | AUX:0.0188 | CCONJ:0.0470 | DET:0.0497 | NOUN:0.2419 | NUM:0.0067 | PART:0.0269 | PRON:0.0484 | PROPN:0.0538 | PUNCT:0.1102 | SCONJ:0.0323 | VERB:0.1116,104,744
ADJ:0.1020 | ADP:0.1412 | ADV:0.0784 | AUX:0.0431 | CCONJ:0.0392 | DET:0.0784 | NOUN:0.2392 | NUM:0.0235 | PART:0.0157 | PRON:0.0627 | PROPN:0.0078 | PUNCT:0.0706 | SCONJ:0.0157 | VERB:0.0824,ADJ:0.1202 | ADP:0.1148 | ADV:0.0546 | AUX:0.0219 | CCONJ:0.0656 | DET:0.0656 | NOUN:0.2486 | NUM:0.0055 | PART:0.0246 | PRON:0.0437 | PROPN:0.0082 | PUNCT:0.0956 | SCONJ:0.0219 | VERB:0.1093,255,366
ADJ:0.1718 | ADP:0.1411 | ADV:0.0491 | AUX:0.0245 | CCONJ:0.0675 | DET:0.0613 | NOUN:0.2822 | PART:0.0123 | PRON:0.0123 | PROPN:0.0061 | PUNCT:0.0613 | SCONJ:0.0368 | VERB:0.0736,ADJ:0.0721 | ADP:0.1119 | ADV:0.0597 | AUX:0.0274 | CCONJ:0.0672 | DET:0.0473 | NOUN:0.2761 | PART:0.0199 | PRON:0.0522 | PUNCT:0.1045 | SCONJ:0.0423 | VERB:0.1194,163,402
ADJ:0.0841 | ADP:0.1681 | ADV:0.0442 | AUX:0.0487 | CCONJ:0.0398 | DET:0.0752 | NOUN:0.2522 | NUM:0.0088 | PART:0.0354 | PRON:0.0354 | PROPN:0.0177 | PUNCT:0.0619 | SCONJ:0.0221 | VERB:0.1062,ADJ:0.0903 | ADP:0.1076 | ADV:0.0660 | AUX:0.0278 | CCONJ:0.0625 | DET:0.0347 | NOUN:0.2743 | PART:0.0312 | PRON:0.0486 | PROPN:0.0035 | PUNCT:0.0972 | SCONJ:0.0347 | VERB:0.1215,226,288
ADJ:0.0462 | ADP:0.1462 | ADV:0.0385 | AUX:0.0385 | CCONJ:0.0462 | DET:0.0385 | NOUN:0.3308 | NUM:0.0154 | PRON:0.0462 | PROPN:0.0692 | PUNCT:0.1077 | SCONJ:0.0077 | VERB:0.0692,ADJ:0.0833 | ADP:0.0833 | ADV:0.0855 | AUX:0.0197 | CCONJ:0.0526 | DET:0.0548 | NOUN:0.2588 | PART:0.0110 | PRON:0.0658 | PROPN:0.0175 | PUNCT:0.1316 | SCONJ:0.0241 | VERB:0.1118,130,456
ADJ:0.0993 | ADP:0.1348 | ADV:0.0284 | AUX:0.0355 | CCONJ:0.0284 | DET:0.0426 | NOUN:0.3050 | NUM:0.0284 | PART:0.0071 | PRON:0.0213 | PROPN:0.0071 | PUNCT:0.1206 | SCONJ:0.0142 | VERB:0.1277,ADJ:0.0716 | ADP:0.0864 | ADV:0.0815 | AUX:0.0321 | CCONJ:0.0494 | DET:0.0494 | NOUN:0.2864 | PART:0.0321 | PRON:0.0370 | PUNCT:0.1136 | SCONJ:0.0420 | VERB:0.1185,141,405
ADJ:0.0891 | ADP:0.1894 | ADV:0.0334 | AUX:0.0251 | CCONJ:0.0585 | DET:0.0474 | NOUN:0.3231 | NUM:0.0111 | PART:0.0111 | PRON:0.0446 | PROPN:0.0028 | PUNCT:0.0864 | SCONJ:0.0139 | VERB:0.0641,ADJ:0.1009 | ADP:0.0915 | ADV:0.0915 | AUX:0.0252 | CCONJ:0.0726 | DET:0.0379 | NOUN:0.2587 | PART:0.0379 | PRON:0.0379 | PUNCT:0.1009 | SCONJ:0.0189 | VERB:0.1262,359,317
