Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:8 | advcl:3 | advmod:1 | amod:12 | appos:2 | aux:2 | case:23 | cc:5 | ccomp:1 | conj:6 | cop:1 | csubj:1 | det:6 | expl:1 | fixed:7 | mark:10 | nmod:14 | nmod:poss:4 | nsubj:8 | nsubj:pass:3 | nummod:1 | obj:7 | obl:7 | punct:11 | xcomp:2,ROOT:49 | acl:3 | acl:relcl:6 | advcl:12 | advmod:35 | amod:39 | appos:2 | aux:17 | case:54 | cc:35 | ccomp:10 | compound:prt:8 | conj:34 | cop:7 | csubj:2 | det:17 | expl:3 | fixed:8 | mark:36 | nmod:23 | nmod:poss:3 | nsubj:72 | nsubj:pass:2 | nummod:5 | obj:37 | obl:31 | punct:60 | xcomp:7
ROOT:12 | acl:2 | acl:cleft:1 | acl:relcl:4 | advcl:1 | advmod:7 | amod:16 | aux:1 | case:32 | cc:11 | ccomp:3 | conj:13 | cop:4 | det:6 | expl:1 | fixed:1 | iobj:1 | mark:7 | nmod:18 | nmod:poss:8 | nsubj:15 | nsubj:pass:5 | nummod:7 | obj:7 | obl:15 | obl:agent:1 | parataxis:1 | punct:17 | xcomp:1,ROOT:85 | acl:1 | acl:cleft:2 | acl:relcl:5 | advcl:18 | advmod:49 | amod:15 | appos:2 | aux:25 | aux:pass:2 | case:56 | cc:29 | ccomp:14 | compound:prt:11 | conj:24 | cop:4 | csubj:1 | det:12 | dislocated:5 | expl:7 | fixed:3 | iobj:1 | mark:38 | nmod:20 | nmod:poss:7 | nsubj:116 | nsubj:pass:1 | nummod:2 | obj:34 | obl:36 | parataxis:1 | punct:87 | xcomp:10
ROOT:11 | acl:relcl:5 | advcl:6 | advmod:16 | amod:11 | appos:1 | aux:17 | case:32 | cc:11 | ccomp:6 | compound:prt:2 | conj:9 | cop:4 | det:10 | expl:2 | fixed:1 | mark:16 | nmod:9 | nmod:poss:3 | nsubj:24 | nsubj:pass:2 | nummod:2 | obj:12 | obl:22 | obl:agent:1 | parataxis:2 | punct:16 | xcomp:2,ROOT:52 | acl:3 | acl:cleft:1 | acl:relcl:6 | advcl:18 | advmod:29 | amod:26 | appos:1 | aux:7 | case:46 | cc:22 | ccomp:5 | compound:prt:16 | conj:23 | cop:3 | csubj:2 | det:15 | expl:2 | fixed:4 | mark:33 | nmod:12 | nmod:poss:2 | nsubj:68 | nsubj:pass:10 | nummod:1 | obj:25 | obl:34 | obl:agent:2 | punct:51 | xcomp:9
ROOT:5 | acl:2 | acl:relcl:1 | advcl:1 | advmod:5 | amod:8 | aux:3 | case:14 | cc:10 | conj:7 | cop:1 | dep:1 | det:5 | mark:3 | nmod:3 | nmod:poss:4 | nsubj:8 | nsubj:pass:1 | obj:7 | obl:9 | punct:7,ROOT:39 | acl:4 | acl:relcl:3 | advcl:11 | advmod:29 | amod:36 | aux:8 | case:36 | cc:25 | ccomp:7 | compound:prt:8 | conj:27 | cop:4 | csubj:2 | det:22 | dislocated:3 | expl:4 | fixed:3 | mark:25 | nmod:8 | nmod:poss:16 | nsubj:59 | nsubj:pass:5 | obj:20 | obl:25 | parataxis:1 | punct:41 | xcomp:7
ROOT:6 | acl:relcl:2 | advcl:2 | advmod:2 | amod:10 | appos:3 | case:18 | cc:8 | ccomp:3 | compound:prt:2 | conj:8 | det:9 | dislocated:1 | fixed:2 | mark:4 | nmod:8 | nmod:poss:2 | nsubj:7 | nsubj:pass:6 | nummod:2 | obj:3 | obl:11 | parataxis:1 | punct:12 | xcomp:2,ROOT:49 | acl:2 | acl:relcl:2 | advcl:13 | advmod:39 | amod:14 | aux:8 | case:50 | cc:28 | ccomp:11 | compound:prt:8 | conj:43 | cop:4 | csubj:1 | det:18 | dislocated:4 | expl:4 | fixed:2 | mark:27 | nmod:15 | nmod:poss:1 | nsubj:61 | nsubj:pass:6 | obj:28 | obl:33 | punct:63 | xcomp:5
ROOT:7 | acl:relcl:2 | advcl:1 | advmod:7 | amod:9 | aux:3 | case:9 | cc:2 | ccomp:1 | conj:2 | cop:2 | det:9 | iobj:1 | mark:3 | nmod:6 | nmod:poss:4 | nsubj:11 | obj:8 | obl:6 | punct:9 | xcomp:2,ROOT:95 | acl:10 | acl:relcl:11 | advcl:21 | advmod:62 | amod:28 | appos:2 | aux:9 | case:74 | cc:31 | ccomp:22 | compound:prt:10 | conj:26 | cop:6 | csubj:1 | det:37 | dislocated:1 | expl:3 | fixed:5 | flat:name:2 | mark:66 | nmod:37 | nmod:poss:22 | nsubj:141 | nsubj:pass:6 | nummod:9 | obj:75 | obl:57 | obl:agent:1 | punct:109 | xcomp:15
ROOT:12 | acl:1 | acl:relcl:4 | advcl:3 | advmod:17 | amod:22 | appos:3 | aux:5 | case:29 | cc:10 | compound:prt:4 | conj:9 | cop:6 | csubj:2 | det:21 | dislocated:2 | expl:3 | fixed:8 | mark:12 | nmod:13 | nmod:poss:6 | nsubj:15 | nsubj:pass:5 | nummod:4 | obj:3 | obl:18 | punct:18,ROOT:44 | acl:1 | acl:relcl:4 | advcl:1 | advmod:15 | amod:27 | appos:1 | aux:5 | case:52 | cc:19 | ccomp:7 | compound:prt:4 | conj:20 | cop:5 | csubj:1 | det:24 | expl:2 | fixed:1 | flat:name:3 | mark:16 | nmod:20 | nmod:poss:6 | nsubj:49 | nsubj:pass:6 | nummod:3 | obj:22 | obl:35 | punct:44 | xcomp:7
ROOT:8 | acl:2 | acl:relcl:1 | advcl:2 | advmod:8 | amod:20 | case:21 | cc:11 | ccomp:1 | compound:prt:1 | conj:12 | cop:4 | csubj:1 | det:11 | expl:1 | fixed:4 | mark:9 | nmod:7 | nmod:poss:1 | nsubj:10 | nsubj:pass:1 | obj:2 | obl:11 | parataxis:1 | punct:10 | xcomp:3,ROOT:53 | acl:2 | acl:relcl:4 | advcl:6 | advmod:32 | amod:25 | appos:2 | aux:8 | case:45 | cc:23 | ccomp:16 | compound:prt:8 | conj:20 | cop:5 | det:24 | expl:2 | fixed:4 | mark:33 | nmod:11 | nmod:poss:1 | nsubj:71 | nsubj:pass:11 | nummod:1 | obj:22 | obl:33 | obl:agent:2 | parataxis:2 | punct:52 | xcomp:11
ROOT:11 | acl:1 | advcl:8 | advmod:6 | amod:19 | aux:8 | case:28 | cc:8 | ccomp:1 | compound:prt:4 | conj:6 | cop:2 | csubj:1 | det:17 | expl:1 | fixed:3 | mark:20 | nmod:13 | nmod:poss:4 | nsubj:13 | nsubj:pass:4 | nummod:1 | obj:11 | obl:18 | parataxis:2 | punct:14 | xcomp:2,ROOT:32 | acl:2 | acl:relcl:7 | advcl:9 | advmod:26 | amod:33 | aux:3 | case:37 | cc:15 | ccomp:10 | compound:prt:6 | conj:14 | cop:5 | csubj:1 | det:12 | dislocated:1 | expl:3 | fixed:4 | mark:19 | nmod:17 | nsubj:54 | nsubj:pass:7 | obj:22 | obl:20 | parataxis:1 | punct:35 | xcomp:3
ROOT:9 | acl:1 | acl:relcl:3 | advcl:1 | advmod:3 | amod:6 | appos:5 | case:17 | cc:6 | compound:prt:2 | conj:10 | cop:5 | det:5 | mark:3 | nmod:13 | nsubj:10 | nummod:1 | obj:6 | obl:6 | obl:agent:1 | punct:15 | xcomp:2,ROOT:45 | acl:1 | acl:relcl:7 | advcl:10 | advmod:18 | amod:12 | appos:5 | aux:2 | case:37 | cc:25 | ccomp:11 | compound:prt:7 | conj:22 | cop:1 | det:10 | dislocated:2 | expl:4 | fixed:1 | iobj:1 | mark:26 | nmod:16 | nmod:poss:14 | nsubj:64 | nsubj:pass:4 | obj:24 | obl:27 | obl:agent:1 | punct:54 | xcomp:5
