Abstract_Entities,Generated_Abstract_Entities
,"Kraften:WRK,Lazarus:PRS,Folkman:PRS,Harlows:PRS,Harlow:PRS"
Sverige:LOC,"UNESCO:ORG,Öhman:PRS,Sund:PRS,Wals:PRS,van der:PRS,Dewey:PRS,Kunskap:ORG"
,"Kolbs:PRS,Argyris:PRS,Schön:PRS"
"Svenska kyrkan:ORG,Svenska kyrkan:ORG,Kyrkans tidning:ORG,Dagens Nyheter:WRK","Svenska kyrkan:ORG,Kyrkans tidning:ORG,Dagens Nyheter:WRK,Svenska kyrkan:ORG,Svenska kyrkan:ORG,Svenska kyrkan:ORG,Kyrkans tidning:ORG,Dagens Nyheter:WRK,Svenska kyrkans:ORG,Bibeln:WRK,Svenska kyrkan:ORG,Svenska kyrkan:ORG,Svenska kyrkan:ORG,Kyrkans tidning:ORG,Dagens Nyheter:WRK,Svenska kyrkan:ORG,Svenska kyrkan:ORG"
,Sverige:LOC
"Paulus:PRS,Paulus:PRS,Paulus:PRS,Paulus:PRS,Paulus:PRS,Rom:LOC","Paulus:PRS,Rom:LOC,Sander:PRS,Dunn:PRS,Wright:PRS,Moo:LOC,Jewett:PRS,Paulus:PRS,Samtidigt:TME,Paulus:PRS,Romarbrevet:WRK,Paulus:PRS,Paulus:PRS,Jesus:PRS,Kristi:PRS,Gud:PRS,Gud:PRS,Sander:PRS,Sander:PRS,Romarbrevet:WRK,Gud:PRS,Rom:LOC,Paulus:PRS,Dunn:PRS,Paulus:PRS,Rom:LOC,Gud:PRS,Paulus:PRS,Paulus:PRS,Dunn:PRS,Wright:PRS,Romarbrevet:WRK,Wright:PRS,Guds:PRS,Guds:PRS,Rom:LOC,Gud:PRS,Jesus:PRS,Jesus:PRS,Wright:PRS,Guds:PRS,Rom:LOC,Guds:PRS,Kristus:PRS,Paulus:PRS,Paulus:PRS,Guds:PRS,Paulus:PRS,Paulus:PRS,i senare:TME,Kristi:PRS,Rom:LOC,Paulus:PRS,Jesus:PRS,Jesus:PRS,Romarbrevet:WRK,Rom:LOC,Rom:LOC,Paulus:PRS,Gud:PRS,Gud:PRS,Paulus:PRS,Rom:LOC,Sander:PRS,Dunn:PRS,Wright:PRS,Paulus:PRS,Israels:LOC,Paulus:PRS,Gud:PRS,Jesus Kristus:PRS,Paulus:PRS,Kristus:PRS,Rom:LOC,Paulus:PRS,Gud:PRS,Israel:LOC,Paulus:PRS,Jesus Kristus:PRS,Gud:PRS,Gud:PRS,Romarbrevet:WRK,Sander:PRS,Dunn:PRS,Wright:PRS,Jewett:PRS,Rom:LOC"
"Mesopotamien:LOC,Naram-Sin:PRS","Mesopotamiens:LOC,Mesopotamien:LOC,Shulgihymner:PRS,Ur:ORG,Mesopotamiens:LOC,Mesopotamien:LOC"
Sverige:LOC,Sverige:LOC
"Sveriges:LOC,Sverige:LOC,Sveriges:LOC,Gavlegårdarna:LOC,Gävle:LOC,Gavlegårdarna:LOC,Gavlegårdarna:LOC","Nya Nordostprojektet:WRK,Gävle:LOC,Nya Nordostprojektet:WRK,Gävle:LOC,Gavlegårdarna:LOC,Gavlegårdarna:LOC,Gavlegårdarna:LOC,Nya Nordostprojektet:WRK,Gävle:LOC"
"Petri Tuoris:PRS,verkLondon:LOC,Skövde:LOC,London:LOC,på 1800-talet:TME,Sweeney Todd:PRS","London:LOC,London:LOC,London:LOC,London Crysis:LOC,London:LOC,London Crysis:LOC,i 1800-talets:TME,London:LOC,om 1800-talets:TME,London:LOC,London Crysis:LOC,London:LOC,London:LOC,London:LOC,London:LOC,London:LOC,London Crysis:LOC,London:LOC,London:LOC,London Crysis:LOC"
