Abstract_POS_Counts,Generated_Abstract_POS_Counts
ADJ:15 | ADP:27 | ADV:1 | AUX:3 | CCONJ:6 | DET:6 | NOUN:51 | NUM:1 | PART:3 | PRON:3 | PUNCT:11 | SCONJ:4 | VERB:15,ADJ:49 | ADP:65 | ADV:38 | AUX:25 | CCONJ:34 | DET:16 | NOUN:156 | NUM:5 | PART:10 | PRON:51 | PROPN:8 | PUNCT:58 | SCONJ:23 | SYM:1 | VERB:78
ADJ:21 | ADP:34 | ADV:7 | AUX:6 | CCONJ:10 | DET:6 | NOUN:69 | NUM:7 | PART:1 | PRON:12 | PROPN:2 | PUNCT:18 | SCONJ:4 | VERB:21,ADJ:32 | ADP:70 | ADV:61 | AUX:30 | CCONJ:29 | DET:11 | NOUN:158 | NUM:4 | PART:8 | PRON:78 | PROPN:8 | PUNCT:86 | SCONJ:24 | SYM:1 | VERB:123
ADJ:12 | ADP:38 | ADV:16 | AUX:22 | CCONJ:11 | DET:9 | NOUN:56 | NUM:2 | PART:7 | PRON:29 | PUNCT:16 | SCONJ:9 | VERB:28,ADJ:30 | ADP:56 | ADV:44 | AUX:10 | CCONJ:22 | DET:16 | NOUN:140 | NUM:3 | PART:8 | PRON:39 | PROPN:3 | PUNCT:48 | SCONJ:23 | VERB:86
ADJ:11 | ADP:14 | ADV:3 | AUX:6 | CCONJ:8 | DET:5 | NOUN:30 | NUM:2 | PART:1 | PRON:6 | PUNCT:7 | SCONJ:4 | VERB:8,ADJ:39 | ADP:45 | ADV:36 | AUX:16 | CCONJ:26 | DET:22 | NOUN:135 | PART:7 | PRON:33 | PUNCT:41 | SCONJ:11 | VERB:67
ADJ:11 | ADP:19 | ADV:4 | AUX:1 | CCONJ:9 | DET:9 | NOUN:40 | NUM:3 | PART:1 | PRON:7 | PUNCT:12 | SCONJ:3 | SYM:1 | VERB:14,ADJ:19 | ADP:58 | ADV:47 | AUX:13 | CCONJ:28 | DET:18 | NOUN:154 | PART:2 | PRON:47 | PROPN:1 | PUNCT:63 | SCONJ:18 | VERB:71
ADJ:6 | ADP:13 | ADV:6 | AUX:6 | CCONJ:2 | DET:7 | NOUN:22 | NUM:2 | PART:1 | PRON:11 | PROPN:7 | PUNCT:9 | SCONJ:1 | VERB:11,ADJ:41 | ADP:93 | ADV:62 | AUX:16 | CCONJ:32 | DET:36 | INTJ:1 | NOUN:185 | NUM:21 | PART:22 | PRON:92 | PROPN:82 | PUNCT:114 | SCONJ:42 | VERB:155
ADJ:26 | ADP:36 | ADV:20 | AUX:11 | CCONJ:10 | DET:20 | NOUN:61 | NUM:6 | PART:4 | PRON:16 | PROPN:2 | PUNCT:18 | SCONJ:4 | VERB:21,ADJ:30 | ADP:54 | ADV:21 | AUX:10 | CCONJ:20 | DET:24 | NOUN:118 | NUM:7 | PART:3 | PRON:39 | PROPN:11 | PUNCT:43 | SCONJ:11 | VERB:53
ADJ:28 | ADP:23 | ADV:8 | AUX:4 | CCONJ:11 | DET:10 | NOUN:46 | PART:2 | PRON:2 | PROPN:1 | PUNCT:10 | SCONJ:6 | VERB:12,ADJ:34 | ADP:55 | ADV:35 | AUX:17 | CCONJ:23 | DET:24 | NOUN:148 | NUM:1 | PART:4 | PRON:34 | PROPN:1 | PUNCT:52 | SCONJ:25 | VERB:76
ADJ:19 | ADP:38 | ADV:10 | AUX:11 | CCONJ:9 | DET:17 | NOUN:57 | NUM:2 | PART:8 | PRON:8 | PROPN:4 | PUNCT:14 | SCONJ:5 | VERB:24,ADJ:38 | ADP:41 | ADV:31 | AUX:9 | CCONJ:15 | DET:12 | NOUN:101 | PART:3 | PRON:33 | PROPN:3 | PUNCT:35 | SCONJ:15 | VERB:62
ADJ:6 | ADP:19 | ADV:5 | AUX:5 | CCONJ:6 | DET:5 | NOUN:43 | NUM:2 | PRON:6 | PROPN:9 | PUNCT:14 | SCONJ:1 | VERB:9,ADJ:17 | ADP:46 | ADV:24 | AUX:4 | CCONJ:22 | DET:9 | NOUN:111 | PART:10 | PRON:54 | PROPN:17 | PUNCT:55 | SCONJ:9 | VERB:78
