Row,POS_Diff_ADJ,POS_Diff_ADP,POS_Diff_ADV,POS_Diff_AUX,POS_Diff_CCONJ,POS_Diff_DET,POS_Diff_INTJ,POS_Diff_NOUN,POS_Diff_NUM,POS_Diff_PART,POS_Diff_PRON,POS_Diff_PROPN,POS_Diff_PUNCT,POS_Diff_SCONJ,POS_Diff_SPACE,POS_Diff_SYM,POS_Diff_VERB
1,0.0233,0.0796,-0.0548,-0.02,-0.014,0.0152,0.0,0.0965,-0.0013,0.0043,-0.0622,-0.013,-0.0187,-0.0099,0.0,-0.0016,-0.0237
2,0.052,0.0592,-0.0523,-0.014,0.0058,0.0123,0.0,0.098,0.0266,-0.0065,-0.0529,-0.0019,-0.0363,-0.0149,0.0,-0.0014,-0.0738
3,-0.0097,0.0429,-0.0206,0.0674,0.0014,0.005,0.0,-0.0456,0.0021,0.0123,0.0398,-0.0057,-0.0282,-0.0083,0.0,0.0,-0.0531
4,0.0232,0.0392,-0.0467,0.0236,0.0218,0.0016,0.0,0.0033,0.019,-0.0051,-0.0119,0.0,-0.0191,0.0151,0.0,0.0,-0.064
5,0.0468,0.0342,-0.0573,-0.0166,0.0153,0.0338,0.0,0.0128,0.0224,0.0038,-0.035,-0.0019,-0.0273,-0.011,0.0,0.0075,-0.0272
6,0.0165,0.0314,-0.0047,0.0416,-0.013,0.0311,-0.001,0.0254,-0.0019,-0.0125,0.0132,-0.0152,-0.0282,-0.0327,0.0,0.0,-0.0501
7,0.0344,0.0196,0.0311,0.0206,-0.0058,0.0243,0.0,-0.0266,0.0077,0.0089,-0.0251,-0.017,-0.0262,-0.0091,0.0,0.0,-0.037
8,0.1075,0.0371,-0.0171,-0.0076,0.024,0.0159,0.0,0.0024,-0.0019,0.0047,-0.052,0.0042,-0.037,-0.0105,0.0,0.0,-0.0701
9,-0.0114,0.0651,-0.0337,0.0261,0.0021,0.045,0.0,-0.0016,0.0088,0.0279,-0.0475,0.0102,-0.026,-0.0156,0.0,0.0,-0.0496
10,0.0089,0.0453,-0.0141,0.0297,-0.002,0.0188,0.0,0.0874,0.0154,-0.0219,-0.0722,0.0319,-0.0129,-0.012,0.0,0.0,-0.1019
11,0.0119,0.0337,-0.0636,0.0056,-0.0084,-0.0011,0.0,0.0314,0.0284,-0.0067,-0.027,0.0071,0.0286,-0.0157,0.0,0.0,-0.024
12,0.0013,0.0993,-0.0382,-0.0003,0.0192,0.0058,0.0,0.1129,0.0111,-0.0166,-0.057,0.0028,-0.0175,-0.0161,-0.0023,0.0,-0.1045
13,0.0695,0.0577,0.0165,0.0139,-0.0383,0.0063,0.0,-0.0249,-0.0182,0.0107,-0.0017,-0.0095,-0.0477,0.0077,0.0,0.0,-0.0418
14,0.0183,-0.0152,-0.0507,-0.0171,-0.0076,0.0037,0.0,-0.0027,0.0385,0.0101,-0.0032,0.0164,0.0208,-0.0051,0.0,-0.0209,0.0144
15,0.0,0.0475,-0.0142,0.0081,0.0158,-0.0045,-0.0025,0.0019,0.057,0.0076,-0.024,-0.0071,-0.0225,-0.0203,0.0,0.0,-0.0429
16,-0.0085,-0.011,-0.0714,-0.0057,0.0383,0.0006,0.0,0.0491,0.0989,0.0063,-0.0615,0.0005,0.0296,-0.0378,0.0196,0.0,-0.0472
17,0.0168,0.0469,0.0031,0.0139,-0.0093,-0.0007,0.0,-0.0047,-0.002,0.016,-0.0271,0.004,-0.0362,-0.0044,0.0,0.0,-0.0162
